year,election_date,election_type,source_file,sheet,family,contest,county_office,district,kind,n_candidates,n_precincts,n_rows,total_votes,retained
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #3 GRANITE SCHOOL DISTRICT,,,,3,19,57,944,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #3 JORDAN SCHOOL DISTRICT,,,,5,30,150,2014,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #4 SALT LAKE CITY SCHOOL DISTRICT,,,,3,20,60,728,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #6 JORDAN SCHOOL DISTRICT,,,,5,32,160,1208,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #7 GRANITE SCHOOL DISTRICT,,,,6,21,126,899,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,School Prc #7 JORDAN SCHOOL DISTRICT,,,,3,21,63,761,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #20,,,,2,2,4,61,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #22,,,,2,12,24,360,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #26,,,,2,14,28,672,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #34,,,,2,14,28,1052,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #36,,,,2,22,44,2432,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,St. Rep #51,,,,2,14,28,1988,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,Township,,,,3,1,3,45,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,US Rep Dist #1,,,,4,53,212,3893,no
2002,2002-06-25,primary,2002-06-25-primary-canvass.xls,PRI02CAN,G,US Rep Dist #2,,,,2,280,560,15534,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #1,,,,2,743,1486,155275,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #2,,,,2,743,1486,204276,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #3,,,,2,743,1486,199122,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #4,,,,2,743,1486,203437,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #5,,,,2,743,1486,196107,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Constitutional Amendment #6,,,,2,743,1486,198435,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Granite School District # 3,,,,2,32,64,5975,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Granite School District # 5,,,,2,32,64,6985,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Granite School District # 6,,,,2,32,64,7567,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Granite School District # 7,,,,1,35,35,7380,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Jordan School District # 1,,,,1,34,34,7496,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Jordan School District # 2,,,,2,46,92,11062,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Jordan School District # 3,,,,2,45,90,13852,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Jordan School District # 6,,,,2,42,84,8622,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Jordan School District # 7,,,,2,35,70,9128,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Murray School District # 2,,,,1,7,7,1667,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Murray School District # 3,,,,1,5,5,1178,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Murray School District # 4,,,,1,7,7,1422,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Retention-Acomb,,,,2,191,382,44087,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Retention-Adamson,,,,2,191,382,43585,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Retention-Bench,,,,2,743,1486,183399,no
2002,2002-11-05,general,2002-11-05-general-canvass.xls,2002 CANV,G,Retention-Billings,,,,2,743,1486,183853,no
