local_path,url,year,election_date,election_type,role,format,status,bytes,sha256,retrieved,provenance,notes
raw/1996/1996-11-12-general-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/1996-11-12-general-election.pdf,1996,1996-11-12,general,summary,pdf,mirrored,47216,aef28bb574a83a438cf298abf165da12563afadeb3e134127ac89530117ba5ab,2026-08-01,fresh download from saltlakecounty.gov,"PDF-ONLY ERA (1996): the county published no machine-readable canvass — mirrored + catalogued, UNPARSED by design. county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py"
raw/1998/1998-06-23-primary-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/1998-06-23-primary-election.pdf,1998,1998-06-23,primary,summary,pdf,mirrored,86394,92492f1db735e21416d304f3e2e5e0adcf0fd521f454563bf8a45e4a6a2f8da0,2026-08-01,fresh download from saltlakecounty.gov,"PDF-ONLY ERA (1998): the county published no machine-readable canvass — mirrored + catalogued, UNPARSED by design. county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py"
raw/1998/1998-11-03-general-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/1998-11-03-general-election.pdf,1998,1998-11-03,general,summary,pdf,mirrored,356570,3c077cf07541375f2cdc0d36218d31a242669518c0cb0244a351094ec8262ce1,2026-08-01,fresh download from saltlakecounty.gov,"PDF-ONLY ERA (1998): the county published no machine-readable canvass — mirrored + catalogued, UNPARSED by design. county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py"
raw/2000/2000-06-27-primary-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2000-06-27-primary-election.pdf,2000,2000-06-27,primary,summary,pdf,mirrored,88055,1ce3c90064c9ccbb1b685d1fb20772f27ba1c8656b9ce097629b7d959908020e,2026-08-01,fresh download from saltlakecounty.gov,"PDF-ONLY ERA (2000): the county published no machine-readable canvass — mirrored + catalogued, UNPARSED by design. county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py"
raw/2000/2000-11-07-general-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2000-11-07-general-election.pdf,2000,2000-11-07,general,summary,pdf,mirrored,65808,f1236047f07c4f9faa9378b3c43e6bb6bacc5b66c89b0ed5f9f7718a9584ab05,2026-08-01,fresh download from saltlakecounty.gov,"PDF-ONLY ERA (2000): the county published no machine-readable canvass — mirrored + catalogued, UNPARSED by design. county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py"
raw/2002/2002-06-25-primary-canvass.xls,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2002-06-25-primary-canvass.xls?v=01032022145530,2002,2002-06-25,primary,sovc,xls,mirrored,336896,1ee533b7bcf0bcfa3711a5319b83f5676a40c1cea1e290bde8ddfcce6f8b9363,2026-08-01,copied from local mirror ~/Desktop/slco-election-archive,precinct-grain Statement of Votes Cast — PARSED by normalize_sovc_county.py (see reconciliation_county.csv for the gate)
raw/2002/2002-06-25-primary-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2002-06-25-primary-election.pdf,2002,2002-06-25,primary,summary,pdf,mirrored,81175,f8b76b7eeaba74c63fb03b6a56534eae0afbc1936119ef839aed2f66a499f20d,2026-08-01,fresh download from saltlakecounty.gov,county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py
raw/2002/2002-11-05-general-canvass.xls,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2002-11-05-general-canvass.xls?v=01032022145530,2002,2002-11-05,general,sovc,xls,mirrored,3637248,777546c4b160abf2245078bb638da6e7970f8c1552671769aca6ac9d94941fcc,2026-08-01,copied from local mirror ~/Desktop/slco-election-archive,precinct-grain Statement of Votes Cast — PARSED by normalize_sovc_county.py (see reconciliation_county.csv for the gate)
raw/2002/2002-11-05-general-election.pdf,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2002-11-05-general-election.pdf,2002,2002-11-05,general,summary,pdf,mirrored,115666,57fc0d49200bc5d6b4087ee15b629073ce1611dac0a11f74b459e6cdb72f61ef,2026-08-01,fresh download from saltlakecounty.gov,county's certified summary/certification PDF — NOT parsed; used as the independent cross-check in verify_against_certifications.py
raw/2004/2004-06-22-primary-canvass.xls,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/election-results/historical-election-results/2004-06-22-primary-canvass.xls?v=01032022145530,2004,2004-06-22,primary,sovc,xls,mirrored,193536,e9629bf0adec2440972d889b38e5d2f2a53ba7ae104cbbdcc1bd026a704e5b38,2026-08-01,copied from local mirror ~/Desktop/slco-election-archive,precinct-grain Statement of Votes Cast — PARSED by normalize_sovc_county.py (see reconciliation_county.csv for the gate)
