grouping,key,n_zone_polygons
regional_category,Single Family,18984
regional_category,Multifamily,3700
regional_category,Commercial,1705
regional_category,Parks and Open Space,1233
regional_category,Mixed Use,835
regional_category,Agricultural,662
regional_category,Manufacturing,432
regional_category,Office,317
regional_category,Public,257
regional_category,Forestry,161
regional_category,Industrial,88
regional_category,PUD,60
regional_category,Downtown,59
regional_category,City Center,34
regional_category,Utility,24
regional_category,Mobile Home,19
regional_category,Airport,17
regional_category,Resort,7
regional_category,Town Center,5
regional_category,Medical/Hospital,4
regional_category,Senior Multifamily,4
regional_category,Undesignated,4
regional_category,Historical,3
municipality,Taylorsville,15736
municipality,Salt Lake City,4711
municipality,Millcreek,1250
municipality,Murray,942
municipality,West Jordan City,785
municipality,Cottonwood Heights,545
municipality,MAGNA,542
municipality,KEARNS,522
municipality,West Valley City,488
municipality,Sandy,423
municipality,Riverton,416
municipality,South Jordan City,416
municipality,Draper,402
municipality,UNINCORPORATED,371
municipality,Herriman,269
municipality,Holladay,225
municipality,Midvale,109
municipality,Bluffdale,88
municipality,South Salt Lake City,87
municipality,White City,86
municipality,Brighton,85
municipality,EMIGRATION,68
municipality,COPPERTON,30
municipality,Alta,18
