layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
Salt Lake County Parcels (LIR),"Parcel boundaries joined to county assessor/tax-roll attributes (owner, acreage, market value, year built, building sqft, primary-residence flag, property class) via the statewide Land Information Records (LIR) schema.",UGRC / Utah SGID (in coordination with SLCo Assessor),https://opendata.gis.utah.gov/datasets/utah-salt-lake-county-parcels-lir,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_SaltLake_LIR/FeatureServer/0,ArcGIS FeatureServer (query -> geojson/csv/shp/gpkg),Updated monthly; layer last-edited 2026-03-27,CC BY 4.0 (UGRC/SGID),high,"~397k parcels. The authoritative growth/housing base layer: land value, built year, unit counts per parcel. Do NOT bulk-download; query by bbox/where. Exports: csv,shapefile,geoPackage,geojson,kml,excel."
Salt Lake County Parcels (geometry),Parcel boundary polygons only (no tax-roll attributes).,UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-salt-lake-county-parcels,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Parcels_SaltLake/FeatureServer/0,ArcGIS FeatureServer,Updated monthly,CC BY 4.0 (UGRC/SGID),medium,~397k polygons. Use the LIR variant instead unless you only need geometry.
Utah Address Points,Point locations for every USPS-assigned address in Utah; the state's authoritative geocoding base.,UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-address-points,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahAddressPoints/FeatureServer/0,ArcGIS FeatureServer,Continuously updated (has views),CC BY 4.0 (UGRC/SGID),medium,Statewide; filter to SLCo by county field or bbox. Backs address->district lookups (cf. geo/address_to_district.py).
Salt Lake County Address Points (SGID subset),"SLCo-only address points, ~538k, county+municipality verified addressing.",UGRC / Utah SGID (SLCo addressing source),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/SaltLake_County_Addresses/FeatureServer/0,ArcGIS FeatureServer,Live service,CC BY 4.0 (UGRC/SGID),medium,"~538,168 points. Convenience county cut of UtahAddressPoints."
Utah Municipal Boundaries,"Incorporated municipal (city/town) boundaries statewide, COGO-derived, maintained with annexation updates.",UGRC / Utah SGID,https://opendata.gis.utah.gov/datasets/utah-municipal-boundaries,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahMunicipalBoundaries/FeatureServer/0,ArcGIS FeatureServer,Continuously updated,CC BY 4.0 (UGRC/SGID),high,Which land is in which city vs unincorporated — the frame for every jurisdictional growth question. Filter to SLCo by county field.
Utah County Boundaries,County boundary polygons statewide (includes Salt Lake County / FIPS 49035).,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/UtahCountyBoundaries/FeatureServer/0,ArcGIS FeatureServer,Continuously updated,CC BY 4.0 (UGRC/SGID),low,County extent for clipping/joins.
SGID Generalized Zoning,UGRC work-in-progress generalized zoning layer for participating Utah cities/towns.,UGRC / Utah SGID,https://gis.utah.gov/products/sgid/planning/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/planning_generalized_zoning/FeatureServer/1,ArcGIS FeatureServer,Work in progress (partial coverage),CC BY 4.0 (UGRC/SGID),medium,Only 297 polygons statewide — sparse for SLCo. Prefer Salt Lake County's own countywide Zones layer (below) for SLCo zoning.
Utah Housing Unit Inventory,"Best-effort inventory of housing units per parcel / per development (SF, ADU, townhome, condo, apartment, mobile-home park, PUD) built from parcel/LIR/assessor data.",UGRC + WFRC + MAG,https://gis.utah.gov/products/sgid/planning/housing-unit-inventory/,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/HousingUnitInventory/FeatureServer/0,ArcGIS FeatureServer,Periodic (parcel-vintage based),CC BY 4.0 (UGRC/SGID),high,~696k units statewide incl. SLCo. Directly answers housing supply/type/density questions. Filter to SLCo by county/bbox.
Residential Growth in the Salt Lake Valley,"Time-lapse dissolved polygons of residential build-out in the Salt Lake Valley, 1050-2022.",UGRC / Utah SGID,https://gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Residential_Growth_in_the_Salt_Lake_Valley/FeatureServer/0,ArcGIS FeatureServer,Through 2022,CC BY 4.0 (UGRC/SGID),high,168 polygons; historical growth footprint by era — good for narrative/trend context.
Census Tracts 2020,2020 Census tract polygons (P.L. 94-171 redistricting geography).,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusTracts2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),medium,716 tracts statewide; the standard demographic join geography.
Census Block Groups 2020,2020 Census block-group polygons.,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusBlockGroups2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),low,Finer demographic geography for housing/density analysis.
Census Blocks 2020,2020 Census block polygons (finest census geography).,UGRC / Utah SGID (US Census),https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/CensusBlocks2020/FeatureServer/0,ArcGIS FeatureServer,2020 vintage,Public domain (US Census),low,Large layer; query by bbox.
Eligible Opportunity Zones,Census tracts designated as federal Opportunity Zones (development-incentive geography).,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/Eligible_Opportunity_Zones/FeatureServer/0,ArcGIS FeatureServer,Federal OZ designation,CC BY 4.0 (UGRC/SGID),medium,Development-incentive overlay relevant to where growth is subsidized.
Enterprise Zones,Utah Enterprise Zone boundaries (state tax-credit development areas).,UGRC / Utah SGID,https://opendata.gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/EnterpriseZones/FeatureServer/0,ArcGIS FeatureServer,Live service,CC BY 4.0 (UGRC/SGID),low,109 polygons; economic-development overlay.
Water-Related Land Use,Annual agricultural/water-related land-use and crop-type polygons in and around Utah.,UGRC / Utah SGID (DWRe),https://gis.utah.gov,https://services1.arcgis.com/99lidPhWCzftIe9K/arcgis/rest/services/WaterRelatedLandUse/FeatureServer/0,ArcGIS FeatureServer,2021 edition,CC BY 4.0 (UGRC/SGID),low,Agricultural land use only (NOT urban zoning) — useful for ag-to-urban conversion questions.
SLCo Countywide Zoning (Zones),"Harmonized countywide zoning polygons across ALL Salt Lake County municipalities + unincorporated, with per-polygon municipal zone code, a normalized regional category (Single Family, Multifamily, Mixed Use, Commercial, etc.), the adopting municipality, and links to the source ordinance.",Salt Lake County (Surveyor's Office),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Land/MapServer/7,ArcGIS MapServer layer (query -> json/geojson),Per-polygon date_current (2020+); continuously maintained,Public — Salt Lake County open data (no explicit license; attribute source),high,"STANDOUT SLCo-distinct layer: 28,614 polygons giving a single cross-municipal zoning picture SGID does not. See derived/ for the category summary. This is the go-to for county-wide zoning/land-use composition."
SLCo Parcels (Recorder),"County Recorder parcel polygons with parcel_id, owner name/address, acreage, tax district, source document, vesting date.",Salt Lake County (Recorder),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Land/MapServer/1,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,high,"~397,598 parcels, Recorder-native. UGRC LIR parcels (above) add assessor value/building attributes; use whichever schema fits."
SLCo Parcels (Tax Year),Parcel polygons as of the tax-assessment year snapshot.,Salt Lake County (Assessor/Recorder),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Land/MapServer/2,ArcGIS MapServer layer,Annual tax-year snapshot,Public — Salt Lake County open data,medium,Point-in-time parcel roll for year-over-year comparison.
SLCo Subdivisions,Recorded subdivision plat boundaries countywide.,Salt Lake County (Surveyor),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/1,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,high,Subdivision activity is a direct residential-growth signal.
SLCo County Boundary,Salt Lake County outer boundary polygon.,Salt Lake County,https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/2,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,low,County extent for clipping.
SLCo Municipalities,Municipal (city/town/metro-township) boundaries as maintained by the county.,Salt Lake County,https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/3,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,high,County-maintained city boundaries incl. metro townships (Millcreek etc.).
SLCo Annexations,Municipal annexation boundaries/history.,Salt Lake County,https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/4,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,high,Annexations move land between jurisdictions — key to growth/boundary questions.
SLCo County Council Districts,The 9-member County Council's district boundaries (elected legislative body).,Salt Lake County (Clerk),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/13,ArcGIS MapServer layer,2022-2032 redistricting,Public — Salt Lake County open data,medium,Ties votes/representation to geography; pairs with the legislative + roster modules.
SLCo Service Districts,"Special/service district boundaries (e.g. municipal-services, improvement districts).",Salt Lake County,https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/17,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,low,Service-provision overlays for unincorporated areas.
