referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
39,medium,subject,Council,PlanningCommission,33,4886,2022-05-05,"Amendments Related to Water Efficient Landscaping Standards Amend Title 21, Chapter 25, Landscaping Standards, of the Sandy Municipal Code",4907,2022-06-07,"Amendments to SD(R-2-A) Fluckiger District Amend Title 21, Chapter 19, Special Development Districts, Section 26, SD(R-2-A) District, of the Sandy Municipal Code",,0.307,
90,medium,subject,Council,PlanningCommission,82,6045,2024-10-17,General Plan Amendment - Pace of Progress: Sandy General Plan 2050 Comprehensive update of the City's General Plan and including five station area plans and six neighborhood activity center plans,6140,2025-01-07,Community Development Department requesting City Council action regarding the draft Pace of Progress: Sandy General Plan 2050.,,0.5,
97,medium,subject,Council,PlanningCommission,26,6324,2025-06-19,Amendments to Title 21 of the Land Development Code related to Residential Parking Standards,6336,2025-07-15,Amendments to Title 21 of the Land Development Code related to Residential Parking Standards and Minimum Dwelling Size,,0.559,
94,medium,subject,Council,PlanningCommission,348,5867,2024-05-16,"Riverside Park Rezone 9016 S. RIverside Drive from CvC to PUD(12) [Community #2, Civic Center]",6261,2025-04-29,"Community Development Department requesting City Council action regarding the Riverside Park Rezone application (File #REZ11272023-006661), proposing that one parcel be rezoned from the CvC Zone to the PUD(12) Zone.",,0.56,
109,medium,subject,Council,PlanningCommission,33,4288,2021-02-18,"Amendments Related to Storm Water and Floodplains Amend Title 21, Chapter 15 - Sensitive Area Overlay Zone; Chapter 16 - Floodplain Overlay Zone; Chapter 20 -Residential Development Standards; Chapter 22 - Manufactured Home Parks; Chapter 23 - Commercial, Office, Industrial, and Transit Corridor Development Standards; Chapter 24 - Parking, Access, and Circulation; Chapter 25 - Landscaping Standards; Chapter 27 - Grading and Excavation; Chapter 30 - Subdivision Review; Chapter 32 - Site Plan Review; and Chapter 37 - Definitions of the Sandy Municipal Code. Review and Adoption of Amendments to the Standard Specifications and Details for Municipal Construction",1000007,2021-03-23,"A motion was made by Zach Robinson, seconded by Brooke Christensen to adopt Ordinance 21-08, an ordinance amending portions of Title 21 of the Sandy City Municipal Code chapter 15, “sesitive area overlay zone”, chapter 16, “floodplain overlay zone”, chapter 20, “residential development standards”, chapter 22, “manufactured home parks”, chapter 23, “commercial, office, industrial, and transit corridor development standards”, chapter 24, “parking, access, and circulation”, chapter 25, “landscaping standards”, chapter 27, “grading and excavation”, chapter 30, “subdivision review”, chapter 32, “si",,0.691,
13,medium,subject,Council,PlanningCommission,33,4172,2020-12-03,Bell Canyon Preservation Rezone South corner at Wasatch Blvd. and Little Cottonwood Rd. (12 parcels) [Community #30 - Granite],4175,2021-01-05,"Community Development Department presenting a rezone application (File #ZONE-11-20-5944, Bell Canyon Preservation) on behalf of the Sandy City Parks and Recreation Department, requesting that 8.1 acres located at the south corner of the intersection of Wasatch Boulevard and Little Cottonwood Road.",,0.722,
74,medium,subject,Council,PlanningCommission,12,5770,2024-03-07,"General Plan Amendment – Parks, Trails and Recreation Master Plan Updating the City’s Parks Master Plan",5790,2024-03-19,"Community Development Department presenting a General Plan Amendment (File #GPA02202024-006718) for City Council Action, on behalf of the Parks and Recreation Department, requesting that an updated Parks, Trails and Recreation Master Plan be adopted.",,0.785,
114,medium,subject,Council,PlanningCommission,110,5976,2024-10-17,Amendments to Title 21 of the Land Development Code related to Short Term Rentals,1000020,2025-02-04,"A motion was made by Zach Robinson, seconded by Ryan Mecham to adopt Ordinance 25-08, an ordinance amending the Sandy City Municipal Code Title 15 ""Business Licensing"", Chapter 11, ""Short-Term Rentals"", Section 4, ""Short-Term Rental Business License Application and Renewal""; also providing a saving clause and effective date for the ordinance",,0.797,
37,medium,subject,Council,PlanningCommission,292,4288,2021-02-18,"Amendments Related to Storm Water and Floodplains Amend Title 21, Chapter 15 - Sensitive Area Overlay Zone; Chapter 16 - Floodplain Overlay Zone; Chapter 20 -Residential Development Standards; Chapter 22 - Manufactured Home Parks; Chapter 23 - Commercial, Office, Industrial, and Transit Corridor Development Standards; Chapter 24 - Parking, Access, and Circulation; Chapter 25 - Landscaping Standards; Chapter 27 - Grading and Excavation; Chapter 30 - Subdivision Review; Chapter 32 - Site Plan Review; and Chapter 37 - Definitions of the Sandy Municipal Code. Review and Adoption of Amendments to the Standard Specifications and Details for Municipal Construction",4699,2021-12-07,"Floodplain Code Updates Amend Title 21, Chapter 16, Floodplain Overlay Zone of the Sandy Municipal Code",,0.801,
115,medium,subject,Council,PlanningCommission,19,6351,2025-08-07,Kershaw Annexation (R-1-8 Zone) Homes along 1350 E. and 1380/1400 E. south of 9400 S. [Community #17],1000021,2025-08-26,"A motion was made by Ryan Mecham, seconded by Marci Houseman, to adopt Ordinance 25-21, an ordinance annexing parcels of a contiguous unincorporated area, totaling approximately 8.85 acres, for homes located along 1350, 1400/1380 East, South of 9400 South (total of 24 properties) in Salt Lake County into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",,0.84,
70,medium,subject,Council,PlanningCommission,47,5656,2023-12-14,Meek Rezone 3761 E. Little Cottonwood Lane from R-1-15 to R-1-8 [Community #30 - Granite],5715,2024-01-30,"Community Development Department requesting action regarding the Meek Rezone Application (File #REZ10182023-6641), submitted by Robert Meek, requesting that two parcels (0.53 acres) at 3761 E. and 3771 E. Little Cottonwood Lane be rezoned from the R-1-15 Zone to the R-1-8 Zone.",,0.858,
100,medium,subject,Council,PlanningCommission,26,6411,2025-09-04,Amendments to Title 21 of the Land Development Code related to Brewpubs,6425,2025-09-30,"Amendments to Title 15 Business Licensing, Chapter 2, Alcoholic Beverage Regulations Related to Brewpubs",,0.861,
31,medium,subject,Council,PlanningCommission,19,4572,2021-09-16,The Orchard at Farnsworth Farms Subdivision (Preliminary Review) 11237 S. Farnsworth Ln. [Community #11 - Crescent],4592,2021-10-05,The Orchard at Farnsworth Farms 11237 S. 700 East [Community #11 - Crescent],,0.939,
110,medium,subject,Council,PlanningCommission,5,6067,2024-11-07,Bridger Boulevard Annexation (R-1-10 Zone) Along Bridger Boulevard between Alta Canyon Drive and Willow Creek Drive [Community #18],1000016,2024-11-12,"A motion was made by Ryan Mecham, seconded by Alison Stroud to adopt Ordinance 24-21, an ordinance annexing territory located along Bridger Boulevard between Alta Canyon Drive and Willow Creek Drive in Salt Lake County, comprising approximately 5.69 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",,0.992,
1,medium,subject,Council,PlanningCommission,12,3906,2020-05-21,"Limits on Dogs as Household Pets Amend Title 21, Chapter 11, Special Use Standards, Section 3 - Animals (Farm and Household Pets), of the Sandy Municipal Code",3922,2020-06-02,"Public Meeting: Limits on Dogs as Household Pets Amend Title 21, Chapter 11, Special Use Standards, Section 3 - Animals (Farm and Household Pets), of the Sandy Municipal Code",,1.0,
2,medium,subject,Council,PlanningCommission,26,3905,2020-05-21,"Solar Carports - Proposed Amendment to the SD(Harada) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 14 - SD(Harada), of the Sandy Municipal Code",3956,2020-06-16,"Solar Carports - Proposed Amendment to the SD(Harada) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 14 - SD(Harada), of the Sandy Municipal Code",,1.0,
3,medium,subject,Council,PlanningCommission,33,3928,2020-06-04,"Jolley Pharmacy (2nd Request) - Proposed Amendments to the SD(Carnation) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 20 - SD(Carnation), of the Sandy Municipal Code",3975,2020-07-07,"Jolley Pharmacy - Proposed Amendments to the SD(Carnation) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 20 - SD(Carnation), of the Sandy Municipal Code",,1.0,
6,medium,subject,Council,PlanningCommission,26,4013,2020-08-06,"KLM Endeavors - Heavy Commercial Use in RD Zone Amend Title 21, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District of the Sandy Municipal Code",4054,2020-09-01,"KLM Endeavors - Heavy Commercial Use in RD Zone Amend Title 21, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District of the Sandy Municipal Code",,1.0,
10,medium,subject,Council,PlanningCommission,33,4061,2020-09-17,"Amend Public Notice Requirements Amend Title 21, Chapter 36 - Notice Requirements, of the Sandy Municipal Code",4103,2020-10-20,"Amend Public Notice Requirements Amend Title 21, Chapter 36 - Notice Requirements, of the Sandy Municipal Code",,1.0,
17,medium,subject,Council,PlanningCommission,19,4288,2021-02-18,"Amendments Related to Storm Water and Floodplains Amend Title 21, Chapter 15 - Sensitive Area Overlay Zone; Chapter 16 - Floodplain Overlay Zone; Chapter 20 -Residential Development Standards; Chapter 22 - Manufactured Home Parks; Chapter 23 - Commercial, Office, Industrial, and Transit Corridor Development Standards; Chapter 24 - Parking, Access, and Circulation; Chapter 25 - Landscaping Standards; Chapter 27 - Grading and Excavation; Chapter 30 - Subdivision Review; Chapter 32 - Site Plan Review; and Chapter 37 - Definitions of the Sandy Municipal Code. Review and Adoption of Amendments to the Standard Specifications and Details for Municipal Construction",4315,2021-03-09,"Amendments Related to Storm Water and Floodplains: Amend portions of Title 1, THE CODE; ORDINANCES; ETHICS; Title 9 - STORMWATER; and Title 10 - STREETS AND PUBLIC IMPROVEMENTS of the Sandy Municipal Code. Amend portions of Title 21, Chapter 15 - Sensitive Area Overlay Zone; Chapter 16 - Floodplain Overlay Zone; Chapter 20 -Residential Development Standards; Chapter 22 - Manufactured Home Parks; Chapter 23 - Commercial, Office, Industrial, and Transit Corridor Development Standards; Chapter 24 - Parking, Access, and Circulation; Chapter 25 - Landscaping Standards; Chapter 27 - Grading and Excavation; Chapter 30 - Subdivision Review; Chapter 32 - Site Plan Review; and Chapter 37 - Definitions of the Sandy Municipal Code. Review and Adoption of Amendments to the Standard Specifications and Details for Municipal Construction.",,1.0,
20,medium,subject,Council,PlanningCommission,19,4330,2021-03-18,"Kuwahara Wholesale - Proposed SD(FM-HSN) Zone Amend Title 21, Chapter 19, Special Development (SD) Districts, of the Sandy Municipal Code",4352,2021-04-06,"Kuwahara Wholesale - Proposed SD(FM-HSN) Zone Amend Title 21, Chapter 19, Special Development (SD) Districts, of the Sandy Municipal Code",,1.0,
23,medium,subject,Council,PlanningCommission,26,4415,2021-05-20,"Comcast Corp - Amend Standards to the RD Zone Amend Title 21, Chapter 23, “Commercial, Office, Industrial, and Transit Corridor Development Standards” of the Sandy Municipal Code",4436,2021-06-15,"Comcast Corp - Amend Standards to the RD Zone Amend Title 21, Chapter 23, “Commercial, Office, Industrial, and Transit Corridor Development Standards” of the Sandy Municipal Code",,1.0,
25,medium,subject,Council,PlanningCommission,12,4465,2021-06-17,"Effects of Eminent Domain Proceedings Amend Title 21, Chapter 2, General Provisions, of the Sandy Municipal Code",4481,2021-06-29,"Effects of Eminent Domain Proceedings Amend Title 21, Chapter 2, General Provisions, of the Sandy Municipal Code",,1.0,
29,medium,subject,Council,PlanningCommission,26,4552,2021-09-02,"Amendments Related to Accessory Apartments (Internal Accessory Dwelling Units, I-ADUs) Amend Title 21, Chapter 7, Permitted Land Uses in Residential Districts; Title 21, Chapter 8, Permitted Land Uses in Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts; Title 21, Chapter 11, Special Use Standards; and Title 21, Chapter 37, Definitions, of the Sandy Municipal Code",4584,2021-09-28,"*Continued from 9/21/21 public hearing* Amendments Related to Accessory Apartments (Internal Accessory Dwelling Units, I-ADUs) Amend Title 21, Chapter 7, Permitted Land Uses in Residential Districts; Title 21, Chapter 8, Permitted Land Uses in Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts; Title 21, Chapter 11, Special Use Standards; and Title 21, Chapter 37, Definitions, of the Sandy Municipal Code",,1.0,
30,medium,subject,Council,PlanningCommission,5,4583,2021-09-23,"Amendments Related to Accessory Apartments (Internal Accessory Dwelling Units, I-ADUs) Amend Title 21, Chapter 7, Permitted Land Uses in Residential Districts; Title 21, Chapter 8, Permitted Land Uses in Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts; Title 21, Chapter 11, Special Use Standards; and Title 21, Chapter 37, Definitions, of the Sandy Municipal Code",4584,2021-09-28,"*Continued from 9/21/21 public hearing* Amendments Related to Accessory Apartments (Internal Accessory Dwelling Units, I-ADUs) Amend Title 21, Chapter 7, Permitted Land Uses in Residential Districts; Title 21, Chapter 8, Permitted Land Uses in Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts; Title 21, Chapter 11, Special Use Standards; and Title 21, Chapter 37, Definitions, of the Sandy Municipal Code",,1.0,
34,medium,subject,Council,PlanningCommission,40,4600,2021-10-07,"Centennial Village - Amend CBD-A&C Zone for Auto Dealers & Related Uses Amend Title 21, Chapter 8, Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District of the Sandy Municipal Code.",4618,2021-11-16,"Centennial Village - Amend CBD-A&C Zone for Auto Dealers & Related Uses Amend Title 21, Chapter 8, Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District of the Sandy Municipal Code.",,1.0,
35,medium,subject,Council,PlanningCommission,33,4643,2021-11-04,"Shops at South Town - Amend Setbacks in CBD Zone Amend Title 21, Chapter 23, General Commercial, Office, Industrial, and Transit Development Standards of the Sandy Municipal Code",4690,2021-12-07,"Shops at South Town - Amend Setbacks in CBD Zone Amend Title 21, Chapter 23, General Commercial, Office, Industrial, and Transit Development Standards of the Sandy Municipal Code",,1.0,
38,medium,subject,Council,PlanningCommission,5,4695,2021-12-02,"Floodplain Code Updates Amend Title 21, Chapter 16, Floodplain Overlay Zone of the Sandy Municipal Code",4699,2021-12-07,"Floodplain Code Updates Amend Title 21, Chapter 16, Floodplain Overlay Zone of the Sandy Municipal Code",,1.0,
44,medium,subject,Council,PlanningCommission,75,5057,2022-09-01,Amendments to Mobile Food and Street Vendor Businesses,5137,2022-11-15,Community Development Department proposing code amendments to Mobile Food and Street Vendor Businesses,,1.0,
46,medium,subject,Council,PlanningCommission,33,5414,2023-06-15,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),5434,2023-07-18,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),,1.0,
47,medium,subject,Council,PlanningCommission,19,5449,2023-07-20,Amendments to Title 21 of the Land Development Code related to Major Sports Venue Sign Theme,5458,2023-08-08,Amendments to Title 21 of the Land Development Code related to Major Sports Venue Sign Theme,,1.0,
60,medium,subject,Council,PlanningCommission,26,5529,2023-09-07,"Amendments to Title 21 of the Land Development Code related to Violations, Enforcement and Penalties in the Sensitive Area Overlay Zone",5540,2023-10-03,"Amendments to Title 21 of the Land Development Code related to Violations, Enforcement and Penalties in the Sensitive Area Overlay Zone",,1.0,
61,medium,subject,Council,PlanningCommission,26,5515,2023-09-07,"Amendment to Title 21, of the Land Development Code to the definition of a ""Transitional Housing Facility""",5564,2023-10-03,"Amendment to Title 21, of the Land Development Code to the definition of a ""Transitional Housing Facility""",,1.0,
68,medium,subject,Council,PlanningCommission,26,5652,2023-12-14,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards,5654,2024-01-09,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards,,1.0,
69,medium,subject,Council,PlanningCommission,5,5651,2023-12-14,"Amendments to Title 21, Chapter 8 of the Land Development Code related to Limiting Transitional Housing Facilities in the City",5655,2023-12-19,"Amendments to Title 21, Chapter 8 of the Land Development Code related to Limiting Transitional Housing Facilities in the City",,1.0,
71,medium,subject,Council,PlanningCommission,159,5550,2023-09-21,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,5748,2024-02-27,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,,1.0,
72,medium,subject,Council,PlanningCommission,26,5712,2024-02-01,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,5748,2024-02-27,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,,1.0,
73,medium,subject,Council,PlanningCommission,19,5765,2024-03-07,"Amendments to Title 21, Chapter 11 Section 5 of the Land Development Code related Home Occupations",5776,2024-03-26,"Amendments to Title 21, Chapter 11 Section 5 of the Land Development Code related to Home Occupations",,1.0,
75,medium,subject,Council,PlanningCommission,12,5778,2024-04-04,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards and Public Notice Requirements,5814,2024-04-16,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards and Public Notice Requirements,,1.0,
80,medium,subject,Council,PlanningCommission,33,5857,2024-05-16,Amendments to Title 21 of the Land Development Code related to Improvement Completion Assurances for Public Sidewalks,5895,2024-06-18,Amendments to Title 21 of the Land Development Code related to Improvement Completion Assurances for Public Sidewalks,,1.0,
81,medium,subject,Council,PlanningCommission,33,5850,2024-05-16,Amendments to Title 21 of the Land Development Code related to Rear Setback Exceptions,5898,2024-06-18,Amendments to Title 21 of the Land Development Code related to Rear Yard Setback Exceptions,,1.0,
82,medium,subject,Council,PlanningCommission,33,5864,2024-05-16,Amendments to Title 21 of the Land Development Code related to Accessory Apartments (aka Internal Accessory Dwelling Units (IADUs)),5913,2024-06-18,Amendments to Title 21 of the Land Development Code related to Accessory Apartments (aka Internal Accessory Dwelling Units (IADUs)),,1.0,
83,medium,subject,Council,PlanningCommission,12,5928,2024-07-18,"Amendments to Title 21 of the Land Development Code related to Home-based Microschools, Micro-education Entities, Charter and Public Schools",5941,2024-07-30,"Amendments to Title 21 of the Land Development Code related to Home-based Microschools, Micro-education Entities, Charter and Public Schools",,1.0,
84,medium,subject,Council,PlanningCommission,12,5935,2024-07-18,Amendments to Title 21 of the Land Development Code related to Accessory Structures in the Open Space District,5943,2024-07-30,Amendments to Title 21 of the Land Development Code related to Accessory Structures in the Open Space District,,1.0,
86,medium,subject,Council,PlanningCommission,26,5982,2024-09-19,Amendments to Title 21 of the Land Development Code related to removing fines from the Land Development Code (Chapters 11 and 15),6044,2024-10-15,Amendments to Title 21 of the Land Development Code related to removing fines from the Land Development Code (Chapters 11 and 15),,1.0,
87,medium,subject,Council,PlanningCommission,19,6086,2024-11-21,"Shoshone Annexation (R-1-8) Homes along Shoshone Avenue, Shoshone Circle and Shoshone Court [Community #17]",6100,2024-12-10,"Shoshone Annexation (R-1-8) Homes along Shoshone Avenue, Shoshone Circle and Shoshone Court [Community #17]",,1.0,
96,medium,subject,Council,PlanningCommission,26,6323,2025-06-19,Amendments to Title 21 of the Land Development Code related to Appeals and Variances,6332,2025-07-15,Amendments to Title 21 of the Land Development Code related to Appeals and Variances,,1.0,
99,medium,subject,Council,PlanningCommission,26,6411,2025-09-04,Amendments to Title 21 of the Land Development Code related to Brewpubs,6413,2025-09-30,Amendments to Title 21 of the Land Development Code related to Brewpubs,,1.0,
102,medium,subject,Council,PlanningCommission,26,6446,2025-10-16,Amendments to Title 21 of the Land Development Code related to Boundary Adjustments,6451,2025-11-11,Amendments to Title 21 of the Land Development Code related to Boundary Adjustments,,1.0,
104,medium,subject,Council,PlanningCommission,47,6495,2025-12-04,Amendments to Title 21 of the Land Development Code related to Automall Zone Land Use Matrix,6540,2026-01-20,Amendments to Title 21 of the Land Development Code related to Automall Zone Land Use Matrix,,1.0,
108,medium,subject,Council,PlanningCommission,26,4240,2021-01-21,Transportation Master Plan - General Plan Amendment,1000006,2021-02-16,"A motion was made by Marci Houseman, seconded by Cyndi Sharkey to adopt Ordinance #21-04, an ordinance amending the Sandy City General Plan by adopting an update to the Transportation Master Plan; and providing an effective date and invite the staff to schedule a revisit following the EIS. A friendly amendment was offered by Zach Robinson and accepted to add language to the motion to include all EIS on all projects with a review of the EIS prior to initiating the next phase of a project. Any project that includes a modification of a neighborhood needs to come back to Council as a stand alone i",,1.0,
89,low,address,Council,PlanningCommission,26,6087,2024-11-21,"886 E. 7800 S. Rezone 886 E. 7800 S. from R-1-8 to RM (10) [Community #6, High Point]",6122,2024-12-17,"Community Development Department requesting City Council action regarding the 886 E. 7800 S. Rezone Application (File #REZ06212024-006789), submitted by Andrew Gutierrez, requesting that two parcels (0.91 acres) be rezoned from the R-1-8 Zone to the RM(10) Zone.",886 e 7800 s,0.127,
24,low,address,Council,PlanningCommission,117,4283,2021-02-18,Coppercreek Rezone 1368 E. Coppercreek Road from CN and R-1-8 to RM(10) [Community #16 - Falcon Park],4447,2021-06-15,"Community Development Department presenting a zone change application (File #REZ04192021-6030, Coppercreek Residences) submitted by Utah Development Group, requesting that 0.55 acres addressed as 1368 E. Coppercreek Road be rezoned to the R-1-8 Zone.",1368 e coppercreek,0.16,
116,low,address,Council,PlanningCommission,19,6650,2026-03-19,Hilton Annexation (R-1-20 Zone) 10424 S Dimple Dell Road [Community #29],1000023,2026-04-07,"A motion was made by Alison Stroud, seconded by Kris Nicholl to adopt Ordinance 26-15 [Item 9] with an amendment to add animal rights designation to the zoning of this property located at 10424 S Dimple Dell Road",10424 s dimple dell,0.619,
28,low,subject,Council,PlanningCommission,418,3988,2020-07-16,Partial Street Vacation of 9270 South Approximately 9270 South State Street [Community #4 - HIstoric Sandy],4553,2021-09-07,"Partial Street Vacation of Benson Way Approximately 9270 South and Benson Way [Historic Sandy, Community #4]",,0.655,
112,low,address,Council,PlanningCommission,5,6071,2024-11-07,Wells/Tarassov Annexation (R-1-10 Zone) 8411 S. 1475 E. and 1491 E. 8425 S. [Community #15],1000018,2024-11-12,"A motion was made by Ryan Mecham, seconded by Alison Stroud to adopt Ordinance 24-23, an ordinance annexing territory located at 1491 East 8425 South and 8411 South 1475 East in Salt Lake County, comprising approximately 0.63 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",1491 e 8425 s; 8411 s 1475 e,0.66,
111,low,address,Council,PlanningCommission,5,6069,2024-11-07,Herzberg Annexation (R-1-20 Zone) 10479 S. Dimple Dell Road [Community #19],1000017,2024-11-12,"A motion was made by Ryan Mecham, seconded by Alison Stroud to adopt Ordinance 24-22, an ordinance annexng territory located at 10479 South Dimple Dell Road in Salt Lake County, comprising approximately 0.49 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",10479 s dimple dell,0.706,
113,low,address,Council,PlanningCommission,5,6073,2024-11-07,Cummings Annexation (R-1-20 and R-1-40 Zone) 2152 E. and 2162 E. Creek Road [Community #18],1000019,2024-11-12,"A motion was made by Ryan Mecham, seconded by Alison Stroud to adopt Ordinance 24-24, an ordinance annexing territory located at 2152 E and 2162 E Creek Road in Salt Lake County, comprising approximately 3.64 acres into the municipality of Sandy City; establishing zoning for the annexed property; also providing a severance and effective date for the annexation",2162 e creek,0.743,
53,low,subject,Council,PlanningCommission,439,4937,2022-06-16,Brand Estates Rezone 285 E. 11000 S. from R-1-40A to R-1-10 and R-1-15 [Community #11 - Crescent],5518,2023-08-29,"Brand Estates Rezone #2 285 East 11000 South Crescent, Community #11",285 e 11000 s,0.801,
42,low,subject,Council,PlanningCommission,-226,5393,2023-06-01,"Sheep Ranch Subdivision 3170 E. Little Cottonwood Road [Community #30, Alta Canyon]",5080,2022-10-18,CC Sheep Ranch Annexation (R-1-15 Zone) 3170 E. Little Cottonwood Road [Community 30],3170 e little cottonwood,0.93,
49,low,subject,Council,PlanningCommission,-65,5605,2023-11-02,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",5470,2023-08-29,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",10600 s 1000 e,1.0,
78,low,subject,Council,PlanningCommission,-275,6147,2025-01-16,"FBAC Development II Annexation (ID Zone) 8700 S. 700 W. [Community #1, Northwest Exposure]",5829,2024-04-16,"FBAC Development Annexation (ID) Zone 8700 S. 700 W. [Community #1, Northwest Exposure]",8700 s 700 w,1.0,
40,high,address+subject,Council,PlanningCommission,61,4937,2022-06-16,Brand Estates Rezone 285 E. 11000 S. from R-1-40A to R-1-10 and R-1-15 [Community #11 - Crescent],5038,2022-08-16,"Community Development Department presenting, for City Council action, a zone change application (File #REZ05042022, Brand Estates) submitted by Next Level Homes, requesting that 5.0 acres at 267 E. and 285 E. 11000 S. be rezoned to the R-1-10 and R-1-15 Zones.",285 e 11000 s,0.214,
16,high,address+subject,Council,PlanningCommission,19,4283,2021-02-18,Coppercreek Rezone 1368 E. Coppercreek Road from CN and R-1-8 to RM(10) [Community #16 - Falcon Park],4284,2021-03-09,"Community Development Department presenting a rezone application (File #ZONE-01-21-5975, Coppercreek Rezone) submitted by Utah Development Group, requesting that 0.62 acres of a 1.02 acre parcel located at 1368 E. Coppercreek Road be rezoned to the RM(10) Zone.",1368 e coppercreek,0.258,
58,high,address+subject,Council,PlanningCommission,26,5489,2023-08-03,"Brand Estates Rezone 285 East 11000 South [Crescent, #11]",5519,2023-08-29,"Sophie Lane (Street Vacation) 285 East 11000 South Crescent, Community #11",285 e 11000 s,0.394,
56,high,address+subject,Council,PlanningCommission,26,5490,2023-08-03,"Sophie Lane (Street Vacation) 285 East 11000 South [Crescent, Community #11]",5518,2023-08-29,"Brand Estates Rezone #2 285 East 11000 South Crescent, Community #11",285 e 11000 s,0.401,
57,high,address+subject,Council,PlanningCommission,89,5392,2023-06-01,"Brand Estates Subdivision 285 East 11000 South [Community #11, Crescent]",5519,2023-08-29,"Sophie Lane (Street Vacation) 285 East 11000 South Crescent, Community #11",285 e 11000 s,0.401,
