BodyId,BodyName,BodyTypeName
138,City Council,Primary Legislative Body
139,Board of Adjustment,Boards or Commission
140,Planning Commission,Boards or Commission
173,Community Development,Department
186,CDBG Committee,Community Development Block Grant Committee
187,Historic Preservation Committee,Committee
192,Public Utilities Advisory Board,Boards or Commission
194,Arts Guild,Committee
195,Civic Center Architectural Review Committee,Committee
197,Community Development Director,Boards or Commission
