legistar_person_id,full_name,person_id
120,Daystar,
145,View Only,
169,Legistar System,
170,Granicus User,
171,System Administrator,
181,Granicus Training,
183,Granicus BA,
184,Bruce Cline,
185,Derek Maxfield,
186,Robert DeKorver,
187,Carrie Phillips,
188,Tim Norris,
189,Kevin  Thacker,
190,Terry Cummings,
191,Cindy Roberts,
192,Rick Smith,
193,Mike Gladbach,
194,Ryan Kump,
195,Paul Browning,
196,Brian Kelley,
197,Brett Neumann,
198,Glade Jardine,
199,Helen Kurtz,
200,Roger Parker,
201,Erica Langenfass,
202,Shane Pace,
203,Scott Ellis,
204,Richard Benham,
205,Kim Bell,
206,Rod Sorenson,
207,Justin Sorenson,
208,Geneal Fox,
209,Nick Duerksen,
210,Kasey Dunlavy,
211,Vickey Barrett,
212,Molly Spira,
213,Wendy Downs,
214,Scott Earl,23
215,Dan Medina,
216,Todd Asay,
217,Kevin Bybee,
218,Jetta Valentine,
219,Mitch Stone,
220,Chris Dodd,
222,Corliss Lipzinski,
224,Tina Davis,
225,Mike Applegarth,
226,Pam Lehman,
227,Verene Froisland,
228,Jared Gerber,
229,Mike Wilcox,
230,Brian McCuistion,
231,Doug Wheelwright,
232,Andrew King,
233,Wade Sanner,
234,Lesley Casaril,
235,James Sorensen,
236,Mike Coulam,
237,Jennifer Ford,
238,Amy Thomas,
239,Chris Edwards,
240,Elyse George,
241,Scott Bond,
242,Marsha Millet,
243,Nicole Martin,
244,John Hiskey,
245,Katrina Frederick,
246,Mearle Marsh,
247,Jeff Mulcahy,
248,Chase Parker,
249,Korban Lee,
250,Byron Jorgenson,
251,Scott Cowdell,
252,Dennis Tenney,
253,Kris Nicholl,14
254,Chris McCandless,
255,Steve Fairbanks,
256,Linda Martinez Saville,
257,Stephen P. Smith,
258,Mayor Tom Dolan,
259,Adam Anderson,
260,Scott Marsell,
261,Mark Wooten,
262,Robert Wall,
263,Steven Osborn,
264,Pat Casaday,
265,Doug Johnson,
266,Vaida Mikulis,
267,Maren Barker,
268,LeAnn Edmunds,
269,Joe Baker,
270,Jared Clayton,
271,Monica Collard,18
272,Nancy Day,
273,Scott Sabey,
274,Ron Mortimer,21
275,Cheri Burdick,
276,Doug Haymore,
277,Lisa Hartman,
278,Michael Christopherson,17
279,Brian Jones,
280,Bruce Bryner,
281,Steven Wrigley,24
282,Burke Staker,
283,Matt Hale,
284,Tyler Brown,
285,Brandon Weninger,
286,Dave Goldhardt,
287,Darien Alcorn,
288,Josh Chandler,
289,Tom Ward,
290,Dustin Fratto,
291,Stephen R. Geddes,
292,Erika Glissmeyer,
293,Suzane Inglet,
294,Marilyn Morgan,
295,Adam Oakley,
296,Rosalie Losser,
297,Donald Gerdy,
298,Julie Barrus,
299,Erik Allen,
300,Wade Greenwood,
301,Tom Dolan,
302,Macleans Geojaja,
303,Mike Tester,
304,Allan Setterberg,
305,Jeff Smith,
306,Tim Zurver,
307,Terry Lauritzen,
308,Peggy Bird,
309,Jeff Lovell,12
310,Andy Pierucci,
311,Tom Christensen,
312,Drew Weaver,
313,Diana Van Uitert,
314,Doris Richards,
315,Carolyn Heninger,
316,John Winder,
317,Jamie Tsandes,11
318,Harold Haugen,
319,Jay Seegmiller,
320,Scott Poelman,
321,Lance Neward,
322,James Marshall,
323,Larry Bowler,
324,Jeff Budge,
325,William Bustos,
326,Don Milne,
327,David Colling,
328,Art Hunter,
329,Colleen Hansen,
330,Raima Tobler-Fleming,
331,Cyndi Sharkey,7
332,Lindsey Madsen,
333,Jake Warner,
334,Brooke Christensen,3
335,Zach Robinson,25
336,Evelyn Everton,
337,Steve Van Maren,
338,Bob Thompson,
339,Matt Huish,
340,Eric Richards,
341,Jamie Jacobson,
342,Dave Bromley,9
343,Cory Shupe,
344,Kurt Bradburn,
345,Mitch Vance,
346,Bill O'Neal,
347,Greg Wilson,
348,Nate Nichol,
349,Sean Kowallis,
350,Sheldon Wayne,
351,Terry Parkin,
352,Florence Reynolds,
353,Nicole Varela,
354,Teako Warfield-Graham,
355,Sam Burge,
356,Zach Whalen,
357,Cameron Duncan,5
358,Jim Lewis,
359,Darryll Wolnik,
360,Brynn Bohlender,
361,Martha Haddock,
362,Sandra Haak,
363,Joel Frost,
364,Claire Hague,
366,Craig Evans,
367,Ashlee Radcliff,
368,Marci Houseman,16
369,Alison Stroud,2
370,Monica Zoltanski,19
371,Daniel Schoenfeld,8
372,NH Rather,20
373,Rian Weaver,
375,Jennifer Gillen,
376,David Rodgers,
377,Elizabeth Theriault,
378,John Kirkham,
379,Patrick Casaday,
380,Rebekah Cowdell,
381,Jillian Gallard,
382,Anthony Guarino,
383,Eyisha Malieitulua,
384,Ryan McConaghie,
385,Cyndie Nell,
386,Brooke D'Sousa,4
387,Ryan Mecham,22
388,Lance Soffe,
389,Megan Johnson,
390,Melissa Anderson,
391,Thomas Irvin,
392,Sarah Stringham,
393,Hannah Knudson,
394,David Hart,10
395,Eleanore Mearns,
396,Jim Edwards,
397,Aaron Dekeyzer,1
398,Craig Kitterman,6
399,Jennifer George,13
400,Administrator IT,
401,LaNiece Davenport,15
402,Josh  Chandler,
403,Clinton Spencer,
404,Cache Hancey,
405,Nick Stenquist,
406,Grant Hancock,
