year,election_type,office,district,contest,contest_verbatim,n_seats,n_candidates,voting_method,total_votes,total_first_choice_votes,winner,winner_votes,winner_pct,runner_up,runner_up_votes,margin_votes,margin_pct,registered_voters,ballots_cast,turnout_pct,uncontested,suppressed_precincts,note,source_file
2019,municipal general,Council,At-Large,Sandy City Council At-Large,,2,4,plurality,,27235,CYNDI SHARKEY,8044,29.54,JIM EDWARDS,6490,837,3.07,,,,,,,
2019,municipal general,Council,2,Sandy City Council District 2,,1,2,plurality,,3922,ALISON STROUD,2003,51.07,MAREN BARKER,1919,84,2.14,,,,,,,
2019,municipal general,Council,4,Sandy City Council District 4,,1,2,plurality,,4565,MONICA 'MONICA Z' ZOLTANSKI,2313,50.67,BROOKE D'SOUSA,2252,61,1.34,,,,,,,
2021,municipal general,Mayor,,Sandy City Mayor,,1,8,RCV,,21165,"MONICA ""MONICA Z"" ZOLTANSKI",8620,50.06,JIM BENNETT,8599,21,0.12,,,,,,,
2021,municipal general,Council,At-Large,Sandy City Council At-Large,,1,6,RCV,,20114,BROOKE D'SOUSA,9224,51.97,AARON DEKEYZER,8526,698,3.93,,,,,,,
2021,municipal general,Council,1,Sandy City Council District 1,,1,3,RCV,,3770,RYAN MECHAM,1811,51.06,KATIE JOHNSON,1736,75,2.11,,,,,,,
2021,municipal general,Council,3,Sandy City Council District 3,,1,3,RCV,,6748,ZACH ROBINSON,3557,59.69,JIM EDWARDS,2402,1155,19.38,,,,,,,
2023,municipal general,Council,At-Large,Sandy City Council At-Large,,2,4,plurality,,28773,CYNDI SHARKEY,8676,30.15,JIM BENNETT,6703,1036,3.6,,,,,,,
2023,municipal general,Council,2,Sandy City Council District 2,,1,1,plurality,,2942,ALISON STROUD,2942,100.0,,0,2942,100.0,,,,,,,
2023,municipal general,Council,4,Sandy City Council District 4,,1,2,plurality,,4746,MARCI HOUSEMAN,2435,51.31,SCOTT EARL,2311,124,2.61,,,,,,,
2025,municipal general,Mayor,,Sandy City Mayor,,1,2,plurality,,24819,"MONICA ""MONICA Z"" ZOLTANSKI",15220,61.32,CYNDI SHARKEY,9599,5621,22.65,,,,,,,
2025,municipal general,Council,At-Large,Sandy City Council At-Large,,1,2,plurality,,23392,BROOKE D'SOUSA,15665,66.97,EVAN TOBIN,7727,7938,33.93,,,,,,,
2025,municipal general,Council,1,Sandy City Council District 1,,1,2,plurality,,4411,BROOKE CHRISTENSEN,2378,53.91,SHANA DAVIS,2033,345,7.82,,,,,,,
2025,municipal general,Council,3,Sandy City Council District 3,,1,2,plurality,,7718,KRIS NICHOLL,4385,56.82,IVA WILLIAMS,3333,1052,13.63,,,,,,,
