date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2025-01-07,Sandy City General Plan (comprehensive update; interactive/web plan),general_plan,https://www.sandy.utah.gov/798/Sandy-City-General-Plan,2026-07-05,html,none,raw/sandy-city-general-plan-page.html,,city,"Current adopted General Plan, comprehensive update adopted by City Council Jan 7 2025 (per Sandy's 2025 state MIH report), together with five station area plans and a NEW Moderate Income Housing Element. Delivered as an interactive ArcGIS web plan (Open Map: sandycity.maps.arcgis.com app 975e67ed4298468b8a698d49e8ec2e1c) -- NO consolidated PDF and no chapter PDFs are published for the 2025 plan. Retained artifact is the GP landing page HTML (hosts the interactive map). See AVAILABILITY.md."
2022-09,Sandy City General Plan Chapter 10 - Moderate Income Housing (MIH Element),mih_element,https://content.civicplus.com/api/assets/0b089a52-4104-4535-8671-931eeadd2a53?cache=1800,2026-07-05,text,pdftotext-layout,raw/chapter-10-moderate-income-housing.pdf,13,city,"Moderate Income Housing element (Utah Code 10-9a-403). Dated Sept 2022; adopted as part of the 2022 General Plan amendment (Ordinance 22-10). Last PDF-form MIH element Sandy publishes; its Implementation Plan was revised by Ord 23-01 (2023). Superseded in element form by the new MIH Element inside the Jan 7 2025 interactive General Plan (web-only, no PDF). Sidecar text/chapter-10-moderate-income-housing.txt."
2023-01-31,Ordinance #23-01 -- amending the Sandy City General Plan by adopting revisions to the Implementation Plan of the MIH Element,mih_element,https://content.civicplus.com/api/assets/703d1196-82b1-467f-a47a-8d82e8f1232e,2026-07-05,text,pdftotext-layout,raw/ord-23-01-mih-amendment-signed.pdf,6,city,Signed adopting ordinance revising the MIH Element Implementation Plan/strategies. Planning Commission positive recommendation public hearing 2023-01-19; City Council meeting 2023-01-31 (join to meeting_minutes/all_votes.csv by date). Born-digital text layer despite 'signed'. Sidecar text/ord-23-01-mih-amendment-signed.txt.
2017,Sandy City 2017 Biennial Moderate Income Housing Report,mih_annual_report,https://content.civicplus.com/api/assets/96150f3f-73a5-467e-84f4-3974ef322e38,2026-07-05,text,pdftotext-layout,raw/2017-biennial-moderate-income-housing-report.pdf,16,city,Pre-HB462 biennial MIH review report filed with the state (former 10-9a-403 reporting regime). Retrieved from Sandy Long Range Planning page (/797). Sidecar text/2017-biennial-moderate-income-housing-report.txt.
2023,Utah HCD Moderate Income Housing Annual Reports 2023 (statewide compilation; Sandy included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-05,text,pdftotext-layout,raw/23reports.pdf,1109,state,"State (DWS/HCD) compilation of all municipalities' filed MIH annual reports, report year 2023. Sandy's filing = PDF pages ~699-715; extracted to text/sandy-2023-mih-annual-report.txt. NOTE: compilation uses a merged/2-up layout so adjacent Salt Lake County (prior) and Santa Clara (next) column text bleeds into the page range -- cite the page range, not the sidecar as Sandy-exclusive."
2024,Utah HCD Moderate Income Housing Annual Reports 2024 (statewide compilation; Sandy included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-05,text,pdftotext-layout,raw/24reports.pdf,1030,state,"Report year 2024. Sandy filing = PDF pages ~640-654 (contact jwarner@sandy.utah.gov). Extracted to text/sandy-2024-mih-annual-report.txt. Two-up column layout interleaves Salt Lake County (left column) text on the same pages -- page-range convenience extract, full compilation authoritative."
2025,Utah HCD Moderate Income Housing Annual Reports 2025 (statewide compilation; Sandy included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-05,text,pdftotext-layout,raw/25reports.pdf,1303,state,Report year 2025. Sandy filing = PDF pages ~804-820 (header 'Sandy city' / Jake Warner). Confirms new General Plan + MIH Element adopted 2025-01-07 and five station area plans; links to sandy.utah.gov/798. Extracted to text/sandy-2025-mih-annual-report.txt.
2021,Utah HCD SB 34 Municipal Progress Summaries 2019-2021 (Sandy included),compliance_letter,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-05,text,pdftotext-layout,raw/sb34.pdf,199,state,"State (DWS/HCD) SB 34 municipal MIH progress/compliance summaries 2019-2021. Sandy = PDF pages 134-135 (header 'SANDY, CITY'). HCD publishes no per-city compliance letter; this progress summary is the closest published compliance artifact. Sandy pages extracted to text/sandy-sb34-2019-2021-progress.txt."
2024,Sandy City General Plan (pre-2025) Chapter 1 - Introduction,general_plan,https://content.civicplus.com/api/assets/f96c7def-0c12-4a67-9606-10e28b9b7597?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-01-introduction.pdf,8,city,"Pre-2025 chaptered GP. UNDATED in body; date here = as-posted state of the city GP page chapter list (Wayback capture 2024-04-20 of /798), the last era the chaptered GP was the adopted plan. Chapter list recovered from that snapshot's widget JSON after the city replaced the page post-2025-01-07 adoption. Sidecar text/chapter-01-introduction.txt."
2017-11,Sandy City General Plan (pre-2025) Chapter 2 - Goals and Policies,general_plan,https://content.civicplus.com/api/assets/2a74c15e-0966-4894-9efe-2043a4379de0?cache=1800,2026-07-16,text,pdftotext-layout,raw/chapter-02-goals-and-policies.pdf,71,city,In-body: 'Adopted January 1997 (Revised November 2017)'. date = last revision. Sidecar text/chapter-02-goals-and-policies.txt.
