precinct,district,source_year
SAN001,2,2025
SAN002,2,2025
SAN003,2,2025
SAN004,2,2025
SAN005,2,2025
SAN006,2,2025
SAN007,3,2025
SAN008,3,2025
SAN009,2,2025
SAN010,2,2025
SAN011,2,2025
SAN012,2,2025
SAN013,3,2025
SAN014,3,2025
SAN015,3,2025
SAN016,1,2025
SAN017,1,2025
SAN018,1,2025
SAN019,1,2025
SAN020,1,2025
SAN021,2,2025
SAN022,3,2025
SAN023,3,2025
SAN024,3,2025
SAN025,3,2025
SAN026,3,2025
SAN027,1,2025
SAN028,1,2025
SAN029,1,2025
SAN030,1,2025
SAN031,2,2025
SAN032,2,2025
SAN033,2,2025
SAN034,2,2025
SAN035,3,2025
SAN036,3,2025
SAN037,3,2025
SAN038,3,2025
SAN039,3,2025
SAN040,1,2025
SAN041,1,2025
SAN042,3,2025
SAN043,2,2025
SAN044,3,2025
SAN045,3,2025
SAN046,3,2025
SAN047,3,2025
SAN048,4,2025
SAN049,1,2025
SAN050,1,2025
SAN051,4,2025
SAN052,4,2025
SAN053,4,2025
SAN054,4,2025
SAN055,4,2025
SAN056,1,2025
SAN057,4,2025
SAN058,4,2025
SAN059,4,2025
SAN060,4,2025
SAN061,4,2025
SAN062,4,2025
SAN063,4,2025
SAN064,4,2025
SAN065,4,2025
SAN066,4,2025
SAN067,4,2025
SAN068,3,2025
SAN069,4,2025
SAN070,4,2025
SAN071,2,2025
SAN072,3,2025
SAN073,2,2025
SAN074,3,2025
SAN075,2,2025
SAN076,1,2025
SAN077,3,2025
SAN078,3,2025
SAN079,1,2025
SAN080,1,2025
SAN081,4,2025
SAN082,1,2025
SAN083,2,2025
SAN084,1,2025
SAN085,1,2025
SAN086,1,2025
SAN087,4,2025
SAN088,4,2025
SAN089,3,2025
SAN090,1,2025
SAN091,2,2025
SAN092,2,2025
SAN093,3,2025
SAN094,1,2025
SAN095,2,2025
SAN096,2,2025
SAN097,3,2025
SAN098,3,2025
SAN099,4,2025
SAN901,3,2025
SAN902,2,2025
SAN903,1,2025
SAN904,2,2025
SAN905,3,2025
SAN906,2,2025
SAN907,1,2025
SAN908,2,2025
SAN909,2,2025
SAN910,4,2025
SAN911,2,2025
