city,plan_id,district_id,precinct_id,effective_start,effective_end,source,confidence,note
sandy,plan_2022,District 1,SAN016,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN017,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN018,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN019,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN020,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN027,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN028,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN029,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN030,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN040,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN041,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN049,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN050,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN056,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN076,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN079,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN080,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN082,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN084,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN085,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN086,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN090,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN094,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN903,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 1,SAN907,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN001,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN002,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN003,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN004,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN005,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN006,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN009,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN010,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
sandy,plan_2022,District 2,SAN011,2022-05-03,,geo/precinct_to_district.csv (2025),high,Sandy-city-GIS district polygons -> precinct point-in-polygon (source_year 2025 = the current layer). All four districts are additionally corroborated by the district-winner precinct cross-check on the plan_2022 cycles (see --check): 2023 D2/D4 + 2025 D1/D3 all reconcile on the winning individual.
