city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
sandy,District 1,plan_2022,2022-05-03,,geo/council_districts.geojson,Resolution 22-24C (Alternative Map 4-1b),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"CURRENT post-2020-census boundaries. Resolution 22-24C (Alternative Map 4-1b) adopted 2022-05-03 on a UNANIMOUS 7-0 roll call (motion Scott Earl / second Brooke D'Sousa) — 'amending the Sandy City Council District Boundaries, updating the Sandy City Council Districts map, and selecting Alternative Map 4-1b'. Sandy kept 4 districts (2022-03-01 direction motions m2 5-2 + m3 6-1). In force for the 2023 & 2025 elections; the 2021 election used the prior lines. geometry_ref = the 4 Sandy-city-GIS council-district polygons (current layer, matches the 2026 minutes)."
sandy,District 1,plan_pre2022,2020-01-01,2022-05-03,geo/council_districts_pre2022.geojson,prior map (pre-2022 redistricting cycle),,low,"Prior-plan (pre-2022) district boundaries RECONSTRUCTED 2026-07-11 by dissolving current-vintage precinct shapes by the pre-2022 (2012-cycle) precinct->district assignment (geometry_ref = geo/council_districts_pre2022.geojson; all 76 SAN precincts present, 0 holes, 1 conflict — SAN024 reassigned 2019 D2->2021 D3, resolved to D3=latest). In force for the 2019/2021 elections. effective_start = data floor. VALIDATION 2026-07-19 (LM-wave follow-up): fetched Sandy's own authoritative GIS (gis.sandy.utah.gov Common/City_Council_Districts) — it is the CURRENT 2022 plan (carries the current members Christensen/Stroud/Nicholl/Houseman; centroid-agrees with the CURRENT precinct assignment 110/110 (100%) but with the pre-2022 assignment only 21/76 (28%, ~random). The city publishes NO pre-2022 boundary layer (Common + Historic folders enumerated). A fragmentation control PROVES SEVERE precinct renumbering: the CURRENT-assignment dissolve yields clean 1-2-piece districts, but this pre-2022 dissolve yields 8-13-piece fragments (D1=9,D2=8,D3=10,D4=13) -> the old SAN codes were renumbered between the SOVC vintage and the current UGRC shapes (the millcreek defect). No authoritative prior layer exists to replace it -> geometry confidence DOWNGRADED medium->low. The district_precincts precinct-CODE composition stays medium (a faithful SOVC record, geometry-independent). See scripts/roster_boundary_recon.md."
sandy,District 2,plan_2022,2022-05-03,,geo/council_districts.geojson,Resolution 22-24C (Alternative Map 4-1b),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"CURRENT post-2020-census boundaries. Resolution 22-24C (Alternative Map 4-1b) adopted 2022-05-03 on a UNANIMOUS 7-0 roll call (motion Scott Earl / second Brooke D'Sousa) — 'amending the Sandy City Council District Boundaries, updating the Sandy City Council Districts map, and selecting Alternative Map 4-1b'. Sandy kept 4 districts (2022-03-01 direction motions m2 5-2 + m3 6-1). In force for the 2023 & 2025 elections; the 2021 election used the prior lines. geometry_ref = the 4 Sandy-city-GIS council-district polygons (current layer, matches the 2026 minutes)."
sandy,District 2,plan_pre2022,2020-01-01,2022-05-03,geo/council_districts_pre2022.geojson,prior map (pre-2022 redistricting cycle),,low,"Prior-plan (pre-2022) district boundaries RECONSTRUCTED 2026-07-11 by dissolving current-vintage precinct shapes by the pre-2022 (2012-cycle) precinct->district assignment (geometry_ref = geo/council_districts_pre2022.geojson; all 76 SAN precincts present, 0 holes, 1 conflict — SAN024 reassigned 2019 D2->2021 D3, resolved to D3=latest). In force for the 2019/2021 elections. effective_start = data floor. VALIDATION 2026-07-19 (LM-wave follow-up): fetched Sandy's own authoritative GIS (gis.sandy.utah.gov Common/City_Council_Districts) — it is the CURRENT 2022 plan (carries the current members Christensen/Stroud/Nicholl/Houseman; centroid-agrees with the CURRENT precinct assignment 110/110 (100%) but with the pre-2022 assignment only 21/76 (28%, ~random). The city publishes NO pre-2022 boundary layer (Common + Historic folders enumerated). A fragmentation control PROVES SEVERE precinct renumbering: the CURRENT-assignment dissolve yields clean 1-2-piece districts, but this pre-2022 dissolve yields 8-13-piece fragments (D1=9,D2=8,D3=10,D4=13) -> the old SAN codes were renumbered between the SOVC vintage and the current UGRC shapes (the millcreek defect). No authoritative prior layer exists to replace it -> geometry confidence DOWNGRADED medium->low. The district_precincts precinct-CODE composition stays medium (a faithful SOVC record, geometry-independent). See scripts/roster_boundary_recon.md."
sandy,District 3,plan_2022,2022-05-03,,geo/council_districts.geojson,Resolution 22-24C (Alternative Map 4-1b),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"CURRENT post-2020-census boundaries. Resolution 22-24C (Alternative Map 4-1b) adopted 2022-05-03 on a UNANIMOUS 7-0 roll call (motion Scott Earl / second Brooke D'Sousa) — 'amending the Sandy City Council District Boundaries, updating the Sandy City Council Districts map, and selecting Alternative Map 4-1b'. Sandy kept 4 districts (2022-03-01 direction motions m2 5-2 + m3 6-1). In force for the 2023 & 2025 elections; the 2021 election used the prior lines. geometry_ref = the 4 Sandy-city-GIS council-district polygons (current layer, matches the 2026 minutes)."
sandy,District 3,plan_pre2022,2020-01-01,2022-05-03,geo/council_districts_pre2022.geojson,prior map (pre-2022 redistricting cycle),,low,"Prior-plan (pre-2022) district boundaries RECONSTRUCTED 2026-07-11 by dissolving current-vintage precinct shapes by the pre-2022 (2012-cycle) precinct->district assignment (geometry_ref = geo/council_districts_pre2022.geojson; all 76 SAN precincts present, 0 holes, 1 conflict — SAN024 reassigned 2019 D2->2021 D3, resolved to D3=latest). In force for the 2019/2021 elections. effective_start = data floor. VALIDATION 2026-07-19 (LM-wave follow-up): fetched Sandy's own authoritative GIS (gis.sandy.utah.gov Common/City_Council_Districts) — it is the CURRENT 2022 plan (carries the current members Christensen/Stroud/Nicholl/Houseman; centroid-agrees with the CURRENT precinct assignment 110/110 (100%) but with the pre-2022 assignment only 21/76 (28%, ~random). The city publishes NO pre-2022 boundary layer (Common + Historic folders enumerated). A fragmentation control PROVES SEVERE precinct renumbering: the CURRENT-assignment dissolve yields clean 1-2-piece districts, but this pre-2022 dissolve yields 8-13-piece fragments (D1=9,D2=8,D3=10,D4=13) -> the old SAN codes were renumbered between the SOVC vintage and the current UGRC shapes (the millcreek defect). No authoritative prior layer exists to replace it -> geometry confidence DOWNGRADED medium->low. The district_precincts precinct-CODE composition stays medium (a faithful SOVC record, geometry-independent). See scripts/roster_boundary_recon.md."
sandy,District 4,plan_2022,2022-05-03,,geo/council_districts.geojson,Resolution 22-24C (Alternative Map 4-1b),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"CURRENT post-2020-census boundaries. Resolution 22-24C (Alternative Map 4-1b) adopted 2022-05-03 on a UNANIMOUS 7-0 roll call (motion Scott Earl / second Brooke D'Sousa) — 'amending the Sandy City Council District Boundaries, updating the Sandy City Council Districts map, and selecting Alternative Map 4-1b'. Sandy kept 4 districts (2022-03-01 direction motions m2 5-2 + m3 6-1). In force for the 2023 & 2025 elections; the 2021 election used the prior lines. geometry_ref = the 4 Sandy-city-GIS council-district polygons (current layer, matches the 2026 minutes)."
sandy,District 4,plan_pre2022,2020-01-01,2022-05-03,geo/council_districts_pre2022.geojson,prior map (pre-2022 redistricting cycle),,low,"Prior-plan (pre-2022) district boundaries RECONSTRUCTED 2026-07-11 by dissolving current-vintage precinct shapes by the pre-2022 (2012-cycle) precinct->district assignment (geometry_ref = geo/council_districts_pre2022.geojson; all 76 SAN precincts present, 0 holes, 1 conflict — SAN024 reassigned 2019 D2->2021 D3, resolved to D3=latest). In force for the 2019/2021 elections. effective_start = data floor. VALIDATION 2026-07-19 (LM-wave follow-up): fetched Sandy's own authoritative GIS (gis.sandy.utah.gov Common/City_Council_Districts) — it is the CURRENT 2022 plan (carries the current members Christensen/Stroud/Nicholl/Houseman; centroid-agrees with the CURRENT precinct assignment 110/110 (100%) but with the pre-2022 assignment only 21/76 (28%, ~random). The city publishes NO pre-2022 boundary layer (Common + Historic folders enumerated). A fragmentation control PROVES SEVERE precinct renumbering: the CURRENT-assignment dissolve yields clean 1-2-piece districts, but this pre-2022 dissolve yields 8-13-piece fragments (D1=9,D2=8,D3=10,D4=13) -> the old SAN codes were renumbered between the SOVC vintage and the current UGRC shapes (the millcreek defect). No authoritative prior layer exists to replace it -> geometry confidence DOWNGRADED medium->low. The district_precincts precinct-CODE composition stays medium (a faithful SOVC record, geometry-independent). See scripts/roster_boundary_recon.md."
sandy,At-Large,citywide,2020-01-01,,geo/council_districts.geojson,Sandy City Code (at-large seats / mayor — whole city),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"the 3 At-Large council seats: represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of the district polygons (city extent)."
sandy,Citywide,citywide,2020-01-01,,geo/council_districts.geojson,Sandy City Code (at-large seats / mayor — whole city),https://gis.sandy.utah.gov/arcgis/rest/services/Common/City_Council_Districts/MapServer/0,high,"the separately-elected Mayor: represents the ENTIRE city on every date, unchanged by the 2022 redistricting. geometry_ref = union of the district polygons (city extent)."
