date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,word_count
2022-10-25,"October 25, 2022 Sandy City Council Meeting Recording",CityCouncil,https://www.youtube.com/watch?v=JyXeBqOlc60,JyXeBqOlc60,,https://www.youtube.com/channel/UCJAb3H4Dtsc2AOsYedLjPew,2026-07-05,na,yt-dlp --list-subs (no caption track published),,0
2025-01-14,City Council - Sandy City - 2025-01-14,CityCouncil,https://www.youtube.com/watch?v=x0s8DWGtgXo,x0s8DWGtgXo,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-01-14_city-council.vtt,31183
2025-01-15,"City Council Budget Priorities Workshop January 14, 2025 - Sandy City - 2025-01-15",CityCouncil,https://www.youtube.com/watch?v=FwViJ8g_ql0,FwViJ8g_ql0,,https://sandy.openutah.org/,2026-07-05,na,yt-dlp --write-auto-sub (YouTube timedtext),,0
2025-01-16,Planning Commission - Sandy City - 2025-01-16,PlanningCommission,https://www.youtube.com/watch?v=2tSL1zvXa18,2tSL1zvXa18,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-01-16_planning-commission.vtt,20111
2025-01-21,City Council - Sandy City - 2025-01-21,CityCouncil,https://www.youtube.com/watch?v=CKGPmbnP6uQ,CKGPmbnP6uQ,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-01-21_city-council.vtt,23223
2025-01-28,City Council - Sandy City - 2025-01-28,CityCouncil,https://www.youtube.com/watch?v=FVLbCzA-1f8,FVLbCzA-1f8,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-01-28_city-council.vtt,12455
2025-02-04,City Council - Sandy City - 2025-02-04,CityCouncil,https://www.youtube.com/watch?v=St9FXlYiIvs,St9FXlYiIvs,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-02-04_city-council.vtt,33662
2025-02-11,City Council - Sandy City - 2025-02-11,CityCouncil,https://www.youtube.com/watch?v=M_UZBy4_Urk,M_UZBy4_Urk,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-02-11_city-council.vtt,21459
2025-02-20,Planning Commission - Sandy City - 2025-02-20,PlanningCommission,https://www.youtube.com/watch?v=LRq8dgu3IMA,LRq8dgu3IMA,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-02-20_planning-commission.vtt,4765
2025-02-25,City Council - Sandy City - 2025-02-25,CityCouncil,https://www.youtube.com/watch?v=E6WCBuRtVQM,E6WCBuRtVQM,asr,https://sandy.openutah.org/,2026-07-05,caption,yt-dlp --write-auto-sub (YouTube timedtext),raw/2025-02-25_city-council.vtt,15595
