date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2023-12-06,2023,City Council Meeting,Council,1,"A motion was made by Ryan Mecham, seconded by Marci Houseman, to approve the Consent Calendar",Procedural/Administrative,Unanimous (voice),Ryan Mecham,Marci Houseman,,,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,2,"A motion was made by Brooke D'Sousa, seconded by Ryan Mecham to act as the Sandy Board of Muncipal Canvassers",Other,Unanimous (voice),Brooke D'Sousa,Ryan Mecham,,,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Alison Stroud,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Zach Robinson,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Marci Houseman,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Cyndi Sharkey,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Ryan Mecham,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Brooke D'Sousa,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Scott Earl,Aye,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
2023-12-06,2023,City Council Meeting,Council,3,"A motion was made by Cyndi Sharkey, seconded by Marci Houseman, acting as the Sandy Board of Municipal Canvassers, to certify the results of the November 21, 2023 Sandy City General Election",Other,7-0 Pass,Cyndi Sharkey,Marci Houseman,Monica Zoltanski,Absent,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-meeting.md
