vote_id,motion_id,person_id,vote_value
1,1,5,Aye
2,1,6,Absent
3,1,10,Aye
4,1,17,Aye
5,1,19,Aye
6,1,20,Aye
7,1,41,Absent
8,2,5,Aye
9,2,6,Aye
10,2,10,Aye
11,2,17,Aye
12,2,19,Aye
13,2,20,Aye
14,2,41,Absent
15,3,5,Aye
16,3,6,Aye
17,3,10,Aye
18,3,17,Aye
19,3,19,Aye
20,3,20,Aye
21,3,41,Absent
22,4,5,Aye
23,4,6,Aye
24,4,10,Aye
25,4,17,Aye
26,4,19,Aye
27,4,20,Aye
28,4,41,Absent
29,5,5,Aye
30,5,6,Aye
31,5,10,Aye
32,5,17,Aye
33,5,19,Aye
34,5,20,Aye
35,5,41,Absent
36,6,5,Aye
37,6,6,Aye
38,6,10,Aye
39,6,17,Aye
40,6,19,Aye
41,6,20,Aye
42,6,41,Absent
43,7,5,Aye
44,7,6,Aye
45,7,10,Aye
46,7,17,Aye
47,7,19,Aye
48,7,20,Aye
49,7,41,Absent
50,8,5,Absent
51,8,6,Aye
52,8,10,Aye
53,8,17,Aye
54,8,19,Aye
55,8,20,Absent
56,8,41,Aye
57,9,5,Aye
58,9,6,Aye
59,9,10,Aye
60,9,17,Aye
61,9,19,Aye
62,9,20,Aye
63,9,41,Aye
64,10,5,Aye
65,10,6,Aye
66,10,10,Aye
67,10,17,Aye
68,10,19,Aye
69,10,20,Aye
70,10,41,Aye
71,11,5,Aye
72,11,6,Aye
73,11,10,Aye
74,11,17,Aye
75,11,19,Aye
76,11,20,Aye
77,11,41,Aye
78,12,5,Aye
79,12,6,Aye
80,12,10,Aye
81,12,17,Aye
82,12,19,Aye
83,12,20,Aye
84,12,41,Aye
85,13,5,Aye
86,13,6,Aye
87,13,10,Aye
88,13,17,Aye
89,13,19,Aye
90,13,20,Aye
91,13,41,Aye
92,14,5,Aye
93,14,6,Aye
94,14,10,Aye
95,14,17,Aye
96,14,19,Aye
97,14,20,Aye
98,14,41,Aye
99,15,5,Aye
100,15,6,Aye
101,15,10,Aye
102,15,17,Aye
103,15,19,Aye
104,15,20,Aye
105,15,41,Aye
106,16,5,Aye
107,16,6,Aye
108,16,10,Aye
109,16,17,Aye
110,16,19,Aye
111,16,20,Aye
112,16,41,Aye
113,17,5,Aye
114,17,6,Aye
115,17,10,Aye
116,17,17,Aye
117,17,19,Aye
118,17,20,Aye
119,17,41,Aye
120,18,5,Aye
121,18,6,Aye
122,18,10,Aye
123,18,17,Aye
124,18,19,Aye
125,18,20,Aye
126,18,41,Aye
127,19,5,Aye
128,19,6,Aye
129,19,10,Aye
130,19,17,Aye
131,19,19,Aye
132,19,20,Aye
133,19,41,Aye
134,20,5,Aye
135,20,6,Aye
136,20,10,Aye
137,20,17,Aye
138,20,19,Aye
139,20,20,Aye
140,20,41,Aye
141,21,5,Aye
142,21,6,Aye
143,21,10,Aye
144,21,17,Aye
145,21,19,Aye
146,21,20,Aye
147,21,41,Aye
148,22,5,Aye
149,22,6,Aye
150,22,10,Aye
151,22,17,Aye
152,22,19,Aye
153,22,20,Aye
154,22,41,Aye
155,23,5,Aye
156,23,6,Aye
157,23,10,Aye
158,23,17,Aye
159,23,19,Aye
160,23,20,Aye
161,23,41,Aye
162,24,5,Aye
163,24,6,Aye
164,24,10,Aye
165,24,17,Aye
166,24,19,Aye
167,24,20,Aye
168,24,41,Aye
169,25,5,Aye
170,25,6,Aye
171,25,10,Aye
172,25,17,Aye
173,25,19,Aye
174,25,20,Aye
175,25,41,Aye
176,26,5,Aye
177,26,6,Aye
178,26,10,Aye
179,26,17,Aye
180,26,19,Aye
181,26,20,Aye
182,26,41,Aye
183,27,5,Aye
184,27,6,Aye
185,27,10,Aye
186,27,17,Aye
187,27,19,Aye
188,27,20,Aye
189,27,41,Aye
190,28,5,Aye
191,28,6,Aye
192,28,10,Aye
193,28,17,Aye
194,28,19,Aye
195,28,20,Aye
196,28,41,Aye
197,29,5,Aye
198,29,6,Aye
199,29,10,Aye
