date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2015-12-01,Plan Salt Lake (citywide general plan / 2040 vision),general_plan,https://www.slcdocs.com/Planning/Projects/PlanSaltLake/final.pdf,2026-07-05,text,pdftotext-layout,raw/plan-salt-lake-2015.pdf,50,city,"SLC's adopted citywide GENERAL PLAN (adopted by City Council 2015-12-01); 13 Guiding Principles incl. a Housing principle. This is the framework general plan; SLC delivers its moderate-income-housing element as STANDALONE housing plans (Growing SLC / Housing SLC), not a numbered GP chapter. Born-digital. Sidecar text/plan-salt-lake-2015.txt."
2017-12-12,"Growing SLC: A Five-Year Housing Plan 2018-2022 (full, with attachments)",mih_element,http://www.slcdocs.com/hand/Growing_SLC_Final_Attachments.pdf,2026-07-05,text,pdftotext-layout,raw/growing-slc-five-year-housing-plan-2018-2022.pdf,191,city,"SLC's STANDALONE five-year housing plan, adopted by City Council 2017-12-12 (Ordinance 71 of 2017), published 2018-01-02; first housing plan since the 2000 Community Housing Plan. Serves as the city's moderate-income-housing element for the 2018-2022 period. Full version incl. attachments/appendices. Born-digital. Sidecar text/growing-slc-five-year-housing-plan-2018-2022.txt."
2017-12-12,Salt Lake City Ordinance No. 71 of 2017 -- adopting Growing SLC: A 5 Year Housing Plan,mih_element,http://www.slc.gov/hand/wp-content/uploads/sites/12/2020/11/Growing-SLC-5-Year-Housing-Plan-signed-ordinance-No17-2019.pdf,2026-07-05,scanned,tesseract-ocr,raw/growing-slc-signed-ordinance.pdf,2,city,Signed adopting ordinance (Petition PLNPCM2017-00168); Planning Commission positive recommendation 2017-04-26; replaces the May-2000 Salt Lake City Community Housing Plan. IMAGE-ONLY scan (no text layer) -> OCR'd with tesseract (labeled). Join to meeting_minutes/all_votes.csv by date. Preserved source filename typo 'No17-2019' (document is Ordinance No. 71 of 2017). Sidecar text/growing-slc-signed-ordinance.txt.
2023-07-01,Housing SLC 2023-2027 (current five-year housing plan / moderate income housing element),mih_element,http://www.slcdocs.com/Planning/General%20Plans/Housing/Housing%20SLC%202023-2027.pdf,2026-07-05,text,pdftotext-layout,raw/housing-slc-2023-2027.pdf,157,city,CURRENT adopted standalone five-year housing plan; replaces Growing SLC beginning July 2023. Filed under Planning > General Plans > Housing (functions as SLC's HB462 moderate-income-housing element). Born-digital. Sidecar text/housing-slc-2023-2027.txt.
2023-10-17,Thriving in Place: Salt Lake City's Anti-Displacement Strategy,mih_element,http://www.slcdocs.com/Planning/General%20Plans/Housing/Thriving%20in%20Place.pdf,2026-07-05,text,pdftotext-layout,raw/thriving-in-place-anti-displacement-strategy-2023.pdf,69,city,"Adopted 2023-10-17; companion housing-element strategy (PROTECT/PRESERVE/PRODUCE; 6 goals, 22 action items, 2-year action plan). Filed under Planning > General Plans > Housing. Planning Commission hearing 2023-07-26; City Council adoption 2023-10-17 (join by date). Born-digital. Sidecar text/thriving-in-place-anti-displacement-strategy-2023.txt."
2021,Salt Lake City 2021 Annual Moderate Income Housing Reporting Form,mih_annual_report,http://www.slc.gov/hand/wp-content/uploads/sites/12/2021/11/Salt-Lake-City-Annual-Moderate-Income-Housing-Reporting-Form_2021.pdf,2026-07-05,text,pdftotext-layout,raw/slc-2021-mih-annual-reporting-form.pdf,4,city,City-published copy of SLC's 2021 annual MIH implementation report form filed with the state (Utah Code 10-9a-408). Born-digital. Sidecar text/slc-2021-mih-annual-reporting-form.txt.
2021,Salt Lake City 2021 Moderate Income Housing Plan-Report (narrative),mih_annual_report,http://www.slc.gov/hand/wp-content/uploads/sites/12/2021/11/SLC-Moderate-Income-Housing-Plan-Report-2021.pdf,2026-07-05,text,pdftotext-layout,raw/slc-2021-mih-plan-report.pdf,3,city,City-published 2021 MIH report narrative; notes Growing SLC predated SB 34. Wide-layout born-digital table. Sidecar text/slc-2021-mih-plan-report.txt.
2023,Utah HCD Moderate Income Housing Annual Reports 2023 (statewide compilation; SLC included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-05,text,pymupdf-pagerange,raw/23reports.pdf,1109,state,"State (DWS/HCD) compilation of all municipalities' filed MIH annual reports, report year 2023. Salt Lake City = PDF fitz pages 642-680 (Salt Lake County starts 681). Extracted to text/slc-2023-mih-annual-report.txt. Watch header bleed with adjacent Salt Lake County -- cite the page range; full compilation in raw/ is authoritative."
2024,Utah HCD Moderate Income Housing Annual Reports 2024 (statewide compilation; SLC included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-05,text,pymupdf-pagerange,raw/24reports.pdf,1030,state,Report year 2024. Salt Lake City = PDF fitz pages 605-631 (printed pp. ~1211-1263; Salt Lake County starts 632). Extracted to text/slc-2024-mih-annual-report.txt.
2025,Utah HCD Moderate Income Housing Annual Reports 2025 (statewide compilation; SLC included),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-05,text,pymupdf-pagerange,raw/25reports.pdf,1303,state,Report year 2025. Salt Lake City = PDF fitz pages 765-784 (Salt Lake County starts 785). References SLC Code Ch. 18.98 and the Community Reinvestment Agency. Extracted to text/slc-2025-mih-annual-report.txt.
2021,Utah HCD SB 34 Municipal Progress Summaries 2019-2021 (SLC included),compliance_letter,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-05,text,pymupdf-pagerange,raw/sb34.pdf,199,state,"State (DWS/HCD) SB 34 municipal MIH progress/compliance summaries 2019-2021. Salt Lake City STRATEGIES block = PDF fitz pages 122-131 (header 'SALT LAKE CITY, CITY'; Salt Lake County starts 132). HCD publishes no per-city compliance letter; this progress summary is the closest published compliance artifact. Extracted to text/slc-sb34-2019-2021-progress.txt."
