source,year,week_start,meeting_date,title,slug,chars,ref_id,source_url,file
laserfiche,2020,2020-01-06,2020-01-07,Formal Meeting,formal-meeting,7831,,,minutes/2020/2020-01-06/2020-01-07_formal-meeting.txt
laserfiche,2020,2020-01-06,2020-01-07,Work Session,work-session,23413,,,minutes/2020/2020-01-06/2020-01-07_work-session.txt
laserfiche,2020,2020-01-13,2020-01-14,Work Session,work-session,14801,,,minutes/2020/2020-01-13/2020-01-14_work-session.txt
laserfiche,2020,2020-01-13,2020-01-17,Formal Meeting,formal-meeting,2221,,,minutes/2020/2020-01-13/2020-01-17_formal-meeting.txt
laserfiche,2020,2020-01-13,2020-01-17,Work Session,work-session,7268,,,minutes/2020/2020-01-13/2020-01-17_work-session.txt
laserfiche,2020,2020-01-20,2020-01-21,Formal Meeting,formal-meeting,8403,,,minutes/2020/2020-01-20/2020-01-21_formal-meeting.txt
laserfiche,2020,2020-01-20,2020-01-21,Work Session,work-session,21503,,,minutes/2020/2020-01-20/2020-01-21_work-session.txt
laserfiche,2020,2020-02-03,2020-02-04,Formal Meeting,formal-meeting,6289,,,minutes/2020/2020-02-03/2020-02-04_formal-meeting.txt
laserfiche,2020,2020-02-03,2020-02-04,Work Session,work-session,13733,,,minutes/2020/2020-02-03/2020-02-04_work-session.txt
laserfiche,2020,2020-02-10,2020-02-11,Work Session,work-session,7305,,,minutes/2020/2020-02-10/2020-02-11_work-session.txt
laserfiche,2020,2020-02-17,2020-02-18,Formal Meeting,formal-meeting,17446,,,minutes/2020/2020-02-17/2020-02-18_formal-meeting.txt
laserfiche,2020,2020-02-17,2020-02-18,Work Session,work-session,12032,,,minutes/2020/2020-02-17/2020-02-18_work-session.txt
laserfiche,2020,2020-03-02,2020-03-03,Formal Meeting,formal-meeting,17641,,,minutes/2020/2020-03-02/2020-03-03_formal-meeting.txt
laserfiche,2020,2020-03-02,2020-03-03,Work Session,work-session,36773,,,minutes/2020/2020-03-02/2020-03-03_work-session.txt
laserfiche,2020,2020-03-16,2020-03-17,Formal Meeting,formal-meeting,4393,,,minutes/2020/2020-03-16/2020-03-17_formal-meeting.txt
laserfiche,2020,2020-03-16,2020-03-17,Work Session,work-session,12035,,,minutes/2020/2020-03-16/2020-03-17_work-session.txt
laserfiche,2020,2020-03-23,2020-03-24,Formal Meeting,formal-meeting,18587,,,minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt
laserfiche,2020,2020-03-23,2020-03-24,Work Session,work-session,14002,,,minutes/2020/2020-03-23/2020-03-24_work-session.txt
laserfiche,2020,2020-04-06,2020-04-07,Formal Meeting,formal-meeting,22814,,,minutes/2020/2020-04-06/2020-04-07_formal-meeting.txt
laserfiche,2020,2020-04-06,2020-04-07,Work Session,work-session,13659,,,minutes/2020/2020-04-06/2020-04-07_work-session.txt
laserfiche,2020,2020-04-13,2020-04-14,Formal Meeting,formal-meeting,3868,,,minutes/2020/2020-04-13/2020-04-14_formal-meeting.txt
laserfiche,2020,2020-04-13,2020-04-14,Work Session,work-session,11637,,,minutes/2020/2020-04-13/2020-04-14_work-session.txt
laserfiche,2020,2020-04-20,2020-04-21,Formal Meeting,formal-meeting,17132,,,minutes/2020/2020-04-20/2020-04-21_formal-meeting.txt
laserfiche,2020,2020-04-20,2020-04-21,Work Session,work-session,18269,,,minutes/2020/2020-04-20/2020-04-21_work-session.txt
laserfiche,2020,2020-05-04,2020-05-05,Formal Meeting,formal-meeting,21471,,,minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt
laserfiche,2020,2020-05-04,2020-05-05,Work Session,work-session,23333,,,minutes/2020/2020-05-04/2020-05-05_work-session.txt
laserfiche,2020,2020-05-11,2020-05-12,Work Session,work-session,24781,,,minutes/2020/2020-05-11/2020-05-12_work-session.txt
laserfiche,2020,2020-05-18,2020-05-19,Formal Meeting,formal-meeting,20940,,,minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt
laserfiche,2020,2020-05-18,2020-05-19,Work Session,work-session,11335,,,minutes/2020/2020-05-18/2020-05-19_work-session.txt
laserfiche,2020,2020-05-25,2020-05-26,Work Session,work-session,31358,,,minutes/2020/2020-05-25/2020-05-26_work-session.txt
laserfiche,2020,2020-05-25,2020-05-28,Work Session,work-session,32329,,,minutes/2020/2020-05-25/2020-05-28_work-session.txt
laserfiche,2020,2020-06-01,2020-06-02,Formal Meeting,formal-meeting,21200,,,minutes/2020/2020-06-01/2020-06-02_formal-meeting.txt
laserfiche,2020,2020-06-01,2020-06-02,Work Session,work-session,20314,,,minutes/2020/2020-06-01/2020-06-02_work-session.txt
laserfiche,2020,2020-06-01,2020-06-04,Formal Meeting,formal-meeting,3364,,,minutes/2020/2020-06-01/2020-06-04_formal-meeting.txt
laserfiche,2020,2020-06-08,2020-06-09,Work Session,work-session,17246,,,minutes/2020/2020-06-08/2020-06-09_work-session.txt
laserfiche,2020,2020-06-08,2020-06-11,Work Session,work-session,12366,,,minutes/2020/2020-06-08/2020-06-11_work-session.txt
laserfiche,2020,2020-06-15,2020-06-16,Work Session,work-session,18867,,,minutes/2020/2020-06-15/2020-06-16_work-session.txt
laserfiche,2020,2020-06-29,2020-07-02,Formal Meeting,formal-meeting,3857,,,minutes/2020/2020-06-29/2020-07-02_formal-meeting.txt
laserfiche,2020,2020-06-29,2020-07-02,Work Session,work-session,4245,,,minutes/2020/2020-06-29/2020-07-02_work-session.txt
laserfiche,2020,2020-07-06,2020-07-07,Formal Meeting,formal-meeting,44430,,,minutes/2020/2020-07-06/2020-07-07_formal-meeting.txt
laserfiche,2020,2020-07-06,2020-07-07,Work Session,work-session,25540,,,minutes/2020/2020-07-06/2020-07-07_work-session.txt
laserfiche,2020,2020-07-13,2020-07-14,Formal Meeting,formal-meeting,19110,,,minutes/2020/2020-07-13/2020-07-14_formal-meeting.txt
laserfiche,2020,2020-07-13,2020-07-14,Work Session,work-session,15786,,,minutes/2020/2020-07-13/2020-07-14_work-session.txt
laserfiche,2020,2020-08-10,2020-08-11,Formal Meeting,formal-meeting,4456,,,minutes/2020/2020-08-10/2020-08-11_formal-meeting.txt
laserfiche,2020,2020-08-10,2020-08-11,Formal Meeting 2,formal-meeting-2,23082,,,minutes/2020/2020-08-10/2020-08-11_formal-meeting-2.txt
laserfiche,2020,2020-08-10,2020-08-11,Work Session,work-session,24441,,,minutes/2020/2020-08-10/2020-08-11_work-session.txt
laserfiche,2020,2020-08-17,2020-08-18,Formal Meeting,formal-meeting,22607,,,minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt
laserfiche,2020,2020-08-17,2020-08-18,Work Session,work-session,21684,,,minutes/2020/2020-08-17/2020-08-18_work-session.txt
laserfiche,2020,2020-08-31,2020-09-01,Formal Meeting,formal-meeting,16223,,,minutes/2020/2020-08-31/2020-09-01_formal-meeting.txt
laserfiche,2020,2020-08-31,2020-09-01,Work Session,work-session,22105,,,minutes/2020/2020-08-31/2020-09-01_work-session.txt
laserfiche,2020,2020-09-14,2020-09-15,Formal Meeting,formal-meeting,30233,,,minutes/2020/2020-09-14/2020-09-15_formal-meeting.txt
laserfiche,2020,2020-09-14,2020-09-15,Work Session,work-session,19388,,,minutes/2020/2020-09-14/2020-09-15_work-session.txt
laserfiche,2020,2020-09-28,2020-09-29,Work Session,work-session,12884,,,minutes/2020/2020-09-28/2020-09-29_work-session.txt
laserfiche,2020,2020-10-05,2020-10-06,Formal Meeting,formal-meeting,36759,,,minutes/2020/2020-10-05/2020-10-06_formal-meeting.txt
laserfiche,2020,2020-10-05,2020-10-06,Work Session,work-session,27771,,,minutes/2020/2020-10-05/2020-10-06_work-session.txt
laserfiche,2020,2020-10-12,2020-10-13,Work Session,work-session,16873,,,minutes/2020/2020-10-12/2020-10-13_work-session.txt
laserfiche,2020,2020-10-19,2020-10-20,Formal Meeting,formal-meeting,44224,,,minutes/2020/2020-10-19/2020-10-20_formal-meeting.txt
laserfiche,2020,2020-10-19,2020-10-20,Work Session,work-session,28968,,,minutes/2020/2020-10-19/2020-10-20_work-session.txt
laserfiche,2020,2020-10-26,2020-10-28,Formal Meeting,formal-meeting,5766,,,minutes/2020/2020-10-26/2020-10-28_formal-meeting.txt
laserfiche,2020,2020-11-09,2020-11-10,Formal Meeting,formal-meeting,29402,,,minutes/2020/2020-11-09/2020-11-10_formal-meeting.txt
laserfiche,2020,2020-11-09,2020-11-10,Work Session,work-session,20513,,,minutes/2020/2020-11-09/2020-11-10_work-session.txt
laserfiche,2020,2020-11-16,2020-11-17,Formal Meeting,formal-meeting,19968,,,minutes/2020/2020-11-16/2020-11-17_formal-meeting.txt
laserfiche,2020,2020-11-16,2020-11-17,Work Session,work-session,23620,,,minutes/2020/2020-11-16/2020-11-17_work-session.txt
laserfiche,2020,2020-11-30,2020-12-01,Formal Meeting,formal-meeting,15431,,,minutes/2020/2020-11-30/2020-12-01_formal-meeting.txt
laserfiche,2020,2020-11-30,2020-12-01,Work Session,work-session,20959,,,minutes/2020/2020-11-30/2020-12-01_work-session.txt
laserfiche,2020,2020-12-07,2020-12-08,Formal Meeting,formal-meeting,28010,,,minutes/2020/2020-12-07/2020-12-08_formal-meeting.txt
laserfiche,2020,2020-12-07,2020-12-08,Work Session,work-session,16553,,,minutes/2020/2020-12-07/2020-12-08_work-session.txt
laserfiche,2020,2020-12-07,2020-12-11,Formal Meeting,formal-meeting,9869,,,minutes/2020/2020-12-07/2020-12-11_formal-meeting.txt
primegov,2021,2021-01-04,2021-01-05,Council Formal Meeting ,council-formal-meeting,17738,2270,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2270,minutes/2021/2021-01-04/2021-01-05_council-formal-meeting.md
primegov,2021,2021-01-04,2021-01-05,Council Work Session ,council-work-session,22435,2266,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2266,minutes/2021/2021-01-04/2021-01-05_council-work-session.md
primegov,2021,2021-01-11,2021-01-12,Council Work Session ,council-work-session,36139,2357,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2357,minutes/2021/2021-01-11/2021-01-12_council-work-session.md
primegov,2021,2021-01-18,2021-01-19,Council Formal Meeting ,council-formal-meeting,42805,2282,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2282,minutes/2021/2021-01-18/2021-01-19_council-formal-meeting.md
primegov,2021,2021-01-18,2021-01-19,Council Work Session ,council-work-session,30268,2278,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2278,minutes/2021/2021-01-18/2021-01-19_council-work-session.md
primegov,2021,2021-02-01,2021-02-02,Council Formal Meeting ,council-formal-meeting,21692,2292,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2292,minutes/2021/2021-02-01/2021-02-02_council-formal-meeting.md
primegov,2021,2021-02-01,2021-02-02,Council Work Session ,council-work-session,35118,2288,https://slc.primegov.com/Portal/Meeting?meetingTemplateId=2288,minutes/2021/2021-02-01/2021-02-02_council-work-session.md
