dataset,record_key,title,date,local_path,source_url,source_host,retrieved_date,verified_date,extraction_method,processing_ref
meeting_minutes,2020-01-07_formal-meeting,Formal Meeting,2020-01-07,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_formal-meeting.txt,unrecorded (laserfiche portal — see recon.md),,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-07_work-session,Work Session,2020-01-07,meeting_minutes/minutes/2020/2020-01-06/2020-01-07_work-session.txt,https://www.utah.gov/pmn/files/572073.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-14_work-session,Work Session,2020-01-14,meeting_minutes/minutes/2020/2020-01-13/2020-01-14_work-session.txt,https://www.utah.gov/pmn/files/581689.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-17_formal-meeting,Formal Meeting,2020-01-17,meeting_minutes/minutes/2020/2020-01-13/2020-01-17_formal-meeting.txt,unrecorded (laserfiche portal — see recon.md),,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-17_work-session,Work Session,2020-01-17,meeting_minutes/minutes/2020/2020-01-13/2020-01-17_work-session.txt,https://www.utah.gov/pmn/files/572087.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-21_formal-meeting,Formal Meeting,2020-01-21,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_formal-meeting.txt,unrecorded (laserfiche portal — see recon.md),,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-21_work-session,Work Session,2020-01-21,meeting_minutes/minutes/2020/2020-01-20/2020-01-21_work-session.txt,https://www.utah.gov/pmn/files/576939.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-04_formal-meeting,Formal Meeting,2020-02-04,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_formal-meeting.txt,https://www.utah.gov/pmn/files/581697.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-04_work-session,Work Session,2020-02-04,meeting_minutes/minutes/2020/2020-02-03/2020-02-04_work-session.txt,https://www.utah.gov/pmn/files/581693.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-11_work-session,Work Session,2020-02-11,meeting_minutes/minutes/2020/2020-02-10/2020-02-11_work-session.txt,https://www.utah.gov/pmn/files/581705.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-18_formal-meeting,Formal Meeting,2020-02-18,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_formal-meeting.txt,https://www.utah.gov/pmn/files/581699.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-18_work-session,Work Session,2020-02-18,meeting_minutes/minutes/2020/2020-02-17/2020-02-18_work-session.txt,https://www.utah.gov/pmn/files/590461.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-03_formal-meeting,Formal Meeting,2020-03-03,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_formal-meeting.txt,https://www.utah.gov/pmn/files/590463.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-03_work-session,Work Session,2020-03-03,meeting_minutes/minutes/2020/2020-03-02/2020-03-03_work-session.txt,https://www.utah.gov/pmn/files/602563.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-17_formal-meeting,Formal Meeting,2020-03-17,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_formal-meeting.txt,https://www.utah.gov/pmn/files/590465.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-17_work-session,Work Session,2020-03-17,meeting_minutes/minutes/2020/2020-03-16/2020-03-17_work-session.txt,https://www.utah.gov/pmn/files/594489.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-24_formal-meeting,Formal Meeting,2020-03-24,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_formal-meeting.txt,https://www.utah.gov/pmn/files/594493.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-24_work-session,Work Session,2020-03-24,meeting_minutes/minutes/2020/2020-03-23/2020-03-24_work-session.txt,https://www.utah.gov/pmn/files/594491.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-07_formal-meeting,Formal Meeting,2020-04-07,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_formal-meeting.txt,https://www.utah.gov/pmn/files/602565.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-07_work-session,Work Session,2020-04-07,meeting_minutes/minutes/2020/2020-04-06/2020-04-07_work-session.txt,https://www.utah.gov/pmn/files/640220.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-14_formal-meeting,Formal Meeting,2020-04-14,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_formal-meeting.txt,https://www.utah.gov/pmn/files/600163.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-14_work-session,Work Session,2020-04-14,meeting_minutes/minutes/2020/2020-04-13/2020-04-14_work-session.txt,https://www.utah.gov/pmn/files/645581.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-21_formal-meeting,Formal Meeting,2020-04-21,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_formal-meeting.txt,https://www.utah.gov/pmn/files/640350.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-21_work-session,Work Session,2020-04-21,meeting_minutes/minutes/2020/2020-04-20/2020-04-21_work-session.txt,https://www.utah.gov/pmn/files/640366.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-05_formal-meeting,Formal Meeting,2020-05-05,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_formal-meeting.txt,https://www.utah.gov/pmn/files/640370.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-05_work-session,Work Session,2020-05-05,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_work-session.txt,https://www.utah.gov/pmn/files/678489.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-12_work-session,Work Session,2020-05-12,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_work-session.txt,https://www.utah.gov/pmn/files/698771.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-19_formal-meeting,Formal Meeting,2020-05-19,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_formal-meeting.txt,https://www.utah.gov/pmn/files/640380.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-19_work-session,Work Session,2020-05-19,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_work-session.txt,https://www.utah.gov/pmn/files/645583.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-26_work-session,Work Session,2020-05-26,meeting_minutes/minutes/2020/2020-05-25/2020-05-26_work-session.txt,https://www.utah.gov/pmn/files/698773.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-28_work-session,Work Session,2020-05-28,meeting_minutes/minutes/2020/2020-05-25/2020-05-28_work-session.txt,https://www.utah.gov/pmn/files/698775.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-02_formal-meeting,Formal Meeting,2020-06-02,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_formal-meeting.txt,https://www.utah.gov/pmn/files/640388.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-02_work-session,Work Session,2020-06-02,meeting_minutes/minutes/2020/2020-06-01/2020-06-02_work-session.txt,https://www.utah.gov/pmn/files/709721.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-04_formal-meeting,Formal Meeting,2020-06-04,meeting_minutes/minutes/2020/2020-06-01/2020-06-04_formal-meeting.txt,https://www.utah.gov/pmn/files/640382.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-09_work-session,Work Session,2020-06-09,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_work-session.txt,https://www.utah.gov/pmn/files/689007.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-11_work-session,Work Session,2020-06-11,meeting_minutes/minutes/2020/2020-06-08/2020-06-11_work-session.txt,https://www.utah.gov/pmn/files/678511.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-16_work-session,Work Session,2020-06-16,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_work-session.txt,https://www.utah.gov/pmn/files/709729.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-02_formal-meeting,Formal Meeting,2020-07-02,meeting_minutes/minutes/2020/2020-06-29/2020-07-02_formal-meeting.txt,https://www.utah.gov/pmn/files/640378.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-02_work-session,Work Session,2020-07-02,meeting_minutes/minutes/2020/2020-06-29/2020-07-02_work-session.txt,https://www.utah.gov/pmn/files/640372.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-07_formal-meeting,Formal Meeting,2020-07-07,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_formal-meeting.txt,https://www.utah.gov/pmn/files/645597.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-07_work-session,Work Session,2020-07-07,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_work-session.txt,https://www.utah.gov/pmn/files/678533.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-14_formal-meeting,Formal Meeting,2020-07-14,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_formal-meeting.txt,https://www.utah.gov/pmn/files/650207.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-14_work-session,Work Session,2020-07-14,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_work-session.txt,https://www.utah.gov/pmn/files/659697.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-11_formal-meeting,Formal Meeting,2020-08-11,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting.txt,https://www.utah.gov/pmn/files/645619.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-11_formal-meeting-2,Formal Meeting 2,2020-08-11,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_formal-meeting-2.txt,https://www.utah.gov/pmn/files/645613.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-11_work-session,Work Session,2020-08-11,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_work-session.txt,https://www.utah.gov/pmn/files/678543.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-18_formal-meeting,Formal Meeting,2020-08-18,meeting_minutes/minutes/2020/2020-08-17/2020-08-18_formal-meeting.txt,https://www.utah.gov/pmn/files/640392.pdf,www.utah.gov,,,ocr,meeting_minutes/CLAUDE.md §pipeline
