date,title,body,video_id,video_url,playlist,minutes_match
,Salt Lake City Formal Meeting - 07/02/ 2024,Council,VMfRYmE0L4o,https://www.youtube.com/watch?v=VMfRYmE0L4o,streams,false
,Salt Lake City Oath of Office Ceremony 2024,Other,dsvDLW-TWcU,https://www.youtube.com/watch?v=dsvDLW-TWcU,streams,false
,Planning Commission Meeting - 04/026/2023,PlanningCommission,HNxTNHAkz34,https://www.youtube.com/watch?v=HNxTNHAkz34,streams,false
,Redevelopment Agency (RDA) Meeting,Council,tYt7n2nw2Ic,https://www.youtube.com/watch?v=tYt7n2nw2Ic,streams,false
,"Historic Landmark Commission - Nov. 07, 2019",Other,3eUXFlHhTwE,https://www.youtube.com/watch?v=3eUXFlHhTwE,streams,false
,Salt Lake City Council Formal Meeting,Council,C5fSdR-_QBU,https://www.youtube.com/watch?v=C5fSdR-_QBU,streams,false
,Town Hall,Other,UlWRVL_4l2A,https://www.youtube.com/watch?v=UlWRVL_4l2A,streams,false
,"Historic Planning Commission Meeting - July 19,2018",PlanningCommission,rKEXAQRl9Rk,https://www.youtube.com/watch?v=rKEXAQRl9Rk,streams,false
,Salt Lake City Council Special Work Session,Council,sy0nI5r6lFo,https://www.youtube.com/watch?v=sy0nI5r6lFo,streams,false
,Oath of Office Ceremony 2018,Other,IPHf3PVuIyA,https://www.youtube.com/watch?v=IPHf3PVuIyA,streams,false
,REVISED Council Work Session,Council,wiOKQYCqVKU,https://www.youtube.com/watch?v=wiOKQYCqVKU,streams,false
,Stream test #5,Other,BedEhiPFra4,https://www.youtube.com/watch?v=BedEhiPFra4,streams,false
,Stream test #4,Other,BYc8gJLl0WM,https://www.youtube.com/watch?v=BYc8gJLl0WM,streams,false
,test meeting for streaming #3,Other,HHMRuYcsuv8,https://www.youtube.com/watch?v=HHMRuYcsuv8,streams,false
,Test meeting video streaming,Other,We3U4OV5Ckw,https://www.youtube.com/watch?v=We3U4OV5Ckw,streams,false
,Salt Lake City Council Formal Hearing 5-16-2017,Council,nJWybdJDBSw,https://www.youtube.com/watch?v=nJWybdJDBSw,streams,false
,SLC Live Meetings Live Stream,Other,Z4D_tYn9SkM,https://www.youtube.com/watch?v=Z4D_tYn9SkM,streams,false
,SLC Live Meetings Live Stream,Other,lQMmidbz1bo,https://www.youtube.com/watch?v=lQMmidbz1bo,streams,false
,SLC Live Meetings Live Stream,Other,BLDY14Q0L9M,https://www.youtube.com/watch?v=BLDY14Q0L9M,streams,false
,SLC Live Meetings Live Stream,Other,OdLjVhQ0tv8,https://www.youtube.com/watch?v=OdLjVhQ0tv8,streams,false
,SLC Live Meetings Live Stream,Other,F5qssvK44sc,https://www.youtube.com/watch?v=F5qssvK44sc,streams,false
,Salt Lake City Council Formal Meeting December 13th 2016,Council,Hc0qCbuaRgA,https://www.youtube.com/watch?v=Hc0qCbuaRgA,streams,false
,Salt Lake City Council Work Session (following RDA Meeting) December 13th 2016,Council,zR2DgSJnCJc,https://www.youtube.com/watch?v=zR2DgSJnCJc,streams,false
