date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Daniel Dugan,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Darin Mano,Absent,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Darin Mano,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Eva Lopez Chavez,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Sarah Young,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,1,Adopt Resolution 11 of 2025 approving an amendment to the 2006 Sunrise Metro Acquisition Loan to forgive accrued interest to facilitate the preservation and redevelopment of permanent supportive housing.,Resolution,6-0 Pass,Alejandro Puy,Chris Wharton,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,1,"Approve the work session meeting minutes of March 4, 2025 and March 18, 2025.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Daniel Dugan,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,1,"Moved by Council Member Puy, seconded by Council Member Lopez Chavez to enter into Closed Session for the purposes of: d. strategy sessions to discuss the purchase, exchange, disposition, or lease of real property, and attorney-client matters.",Procedural/Administrative,7-0 Pass,Alejandro Puy,Eva Lopez Chavez,Victoria Petro,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,2,"Enter into Closed Session for the purposes of strategy sessions to discuss the purchase, exchange, or lease of real property, and advice of counsel.",Procedural/Administrative,7-0 Pass,Chris Wharton,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
2025-07-08,2025,Council Formal Meeting,Council,2,Close the public hearing and refer Items B1 through B4 to a future Consent Agenda.,Public Hearing Action,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-formal-meeting.md,minutes
2025-07-08,2025,Council Work Session Meeting,Council,2,"Moved by Council Member Dugan, seconded by Council Member Lopez Chavez to exit Closed Session.",Procedural/Administrative,7-0 Pass,Daniel Dugan,Eva Lopez Chavez,Alejandro Puy,Aye,minutes/2025/2025-07-07/2025-07-08_council-work-session-meeting.md,minutes
2025-07-08,2025,Community Reinvestment Agency Cra Meeting,CRA,2,"Enter into Closed Session for the purposes of strategy sessions to discuss the purchase, exchange, or lease of real property, and advice of counsel.",Procedural/Administrative,7-0 Pass,Chris Wharton,Eva Lopez Chavez,Chris Wharton,Aye,minutes/2025/2025-07-07/2025-07-08_community-reinvestment-agency-cra-meeting.md,minutes
