year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,1,South Jordan City Council District 1,LEONA WINGER,1553,97.43,1,True
2007,municipal general,Council,1,South Jordan City Council District 1,Write-in,41,2.57,2,False
2007,municipal general,Council,2,South Jordan City Council District 2,KATHIE L. JOHNSON,754,50.71,1,True
2007,municipal general,Council,2,South Jordan City Council District 2,GORDON C. MADSEN,730,49.09,2,False
2007,municipal general,Council,2,South Jordan City Council District 2,Write-in,3,0.2,3,False
2007,municipal general,Council,4,South Jordan City Council District 4,ALETA A. TAYLOR,1005,60.29,1,True
2007,municipal general,Council,4,South Jordan City Council District 4,DAVID W. COLTON,658,39.47,2,False
2007,municipal general,Council,4,South Jordan City Council District 4,Write-in,4,0.24,3,False
2009,municipal general,Council,3,South Jordan City Council District 3,BRIAN C. BUTTERS,693,60.52,1,True
2009,municipal general,Council,3,South Jordan City Council District 3,JOSEPH ROSS,452,39.48,2,False
2009,municipal general,Council,3,South Jordan City Council District 3,Write-in,0,0.0,3,False
2009,municipal general,Council,5,South Jordan City Council District 5,LARRY SHORT,614,61.65,1,True
2009,municipal general,Council,5,South Jordan City Council District 5,JOHN C. HEATH,381,38.25,2,False
2009,municipal general,Council,5,South Jordan City Council District 5,Write-in,1,0.1,3,False
2009,municipal general,Mayor,,South Jordan City Mayor,W. KENT MONEY,3219,54.55,1,True
2009,municipal general,Mayor,,South Jordan City Mayor,AARON V. OSMOND,2669,45.23,2,False
2009,municipal general,Mayor,,South Jordan City Mayor,Write-in,13,0.22,3,False
2009,municipal primary,Mayor,,South Jordan City Mayor,W. KENT MONEY,1384,46.46,1,True
2009,municipal primary,Mayor,,South Jordan City Mayor,AARON V. OSMOND,1130,37.93,2,False
2009,municipal primary,Mayor,,South Jordan City Mayor,BOB HILL,465,15.61,3,False
2011,municipal general,Council,1,South Jordan City Council District 1,MARK SEETHALER,877,73.45,1,True
2011,municipal general,Council,1,South Jordan City Council District 1,JIM WRIGHT,309,25.88,2,False
2011,municipal general,Council,1,South Jordan City Council District 1,Write-in,8,0.67,3,False
2011,municipal general,Council,2,South Jordan City Council District 2,CHUCK NEWTON,717,51.92,1,True
2011,municipal general,Council,2,South Jordan City Council District 2,KATHIE JOHNSON,659,47.72,2,False
2011,municipal general,Council,2,South Jordan City Council District 2,Write-in,5,0.36,3,False
2011,municipal general,Council,4,South Jordan City Council District 4,STEVE BARNES,589,57.58,1,True
2011,municipal general,Council,4,South Jordan City Council District 4,ALETA A. TAYLOR,433,42.33,2,False
