year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2007,municipal general,Council,1,South Jordan City Council District 1,3425CA,LEONA WINGER,18,False
2007,municipal general,Council,1,South Jordan City Council District 1,3425CA,Write-in,1,False
2007,municipal general,Council,1,South Jordan City Council District 1,3513,LEONA WINGER,239,False
2007,municipal general,Council,1,South Jordan City Council District 1,3513,Write-in,4,False
2007,municipal general,Council,1,South Jordan City Council District 1,3515,LEONA WINGER,222,False
2007,municipal general,Council,1,South Jordan City Council District 1,3515,Write-in,5,False
2007,municipal general,Council,1,South Jordan City Council District 1,3516,LEONA WINGER,530,False
2007,municipal general,Council,1,South Jordan City Council District 1,3516,Write-in,7,False
2007,municipal general,Council,1,South Jordan City Council District 1,3518,LEONA WINGER,281,False
2007,municipal general,Council,1,South Jordan City Council District 1,3518,Write-in,9,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520,LEONA WINGER,260,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520,Write-in,15,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520B,LEONA WINGER,3,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520B,Write-in,0,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520BC,LEONA WINGER,0,False
2007,municipal general,Council,1,South Jordan City Council District 1,3520BC,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,KATHIE L. JOHNSON,161,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,GORDON C. MADSEN,170,False
2007,municipal general,Council,2,South Jordan City Council District 2,3508,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,KATHIE L. JOHNSON,82,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,GORDON C. MADSEN,95,False
2007,municipal general,Council,2,South Jordan City Council District 2,3509,Write-in,2,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,KATHIE L. JOHNSON,105,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,GORDON C. MADSEN,80,False
2007,municipal general,Council,2,South Jordan City Council District 2,3510,Write-in,1,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,KATHIE L. JOHNSON,42,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,GORDON C. MADSEN,184,False
2007,municipal general,Council,2,South Jordan City Council District 2,3511,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,KATHIE L. JOHNSON,257,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,GORDON C. MADSEN,90,False
2007,municipal general,Council,2,South Jordan City Council District 2,3514,Write-in,0,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,KATHIE L. JOHNSON,107,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,GORDON C. MADSEN,111,False
2007,municipal general,Council,2,South Jordan City Council District 2,3517,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,DAVID W. COLTON,53,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,ALETA A. TAYLOR,86,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,DAVID W. COLTON,25,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,ALETA A. TAYLOR,24,False
2007,municipal general,Council,4,South Jordan City Council District 4,3533BM,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,DAVID W. COLTON,139,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,ALETA A. TAYLOR,188,False
2007,municipal general,Council,4,South Jordan City Council District 4,3534,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,DAVID W. COLTON,214,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,ALETA A. TAYLOR,154,False
2007,municipal general,Council,4,South Jordan City Council District 4,3538,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,DAVID W. COLTON,102,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,ALETA A. TAYLOR,201,False
2007,municipal general,Council,4,South Jordan City Council District 4,3540,Write-in,0,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,DAVID W. COLTON,103,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,ALETA A. TAYLOR,179,False
2007,municipal general,Council,4,South Jordan City Council District 4,3542,Write-in,1,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,DAVID W. COLTON,22,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,ALETA A. TAYLOR,173,False
2007,municipal general,Council,4,South Jordan City Council District 4,3550,Write-in,3,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,BRIAN C. BUTTERS,112,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,JOSEPH ROSS,73,False
2009,municipal general,Council,3,South Jordan City Council District 3,3502,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,BRIAN C. BUTTERS,90,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,JOSEPH ROSS,29,False
2009,municipal general,Council,3,South Jordan City Council District 3,3503,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,BRIAN C. BUTTERS,113,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,JOSEPH ROSS,58,False
2009,municipal general,Council,3,South Jordan City Council District 3,3504,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,BRIAN C. BUTTERS,77,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,JOSEPH ROSS,47,False
2009,municipal general,Council,3,South Jordan City Council District 3,3505,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,BRIAN C. BUTTERS,131,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,JOSEPH ROSS,41,False
2009,municipal general,Council,3,South Jordan City Council District 3,3506,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,BRIAN C. BUTTERS,34,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,JOSEPH ROSS,16,False
2009,municipal general,Council,3,South Jordan City Council District 3,3521,Write-in,0,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,BRIAN C. BUTTERS,48,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,JOSEPH ROSS,71,False
2009,municipal general,Council,3,South Jordan City Council District 3,3524,Write-in,0,False
