precinct,district
SJD001,3
SJD002,3
SJD003,3
SJD004,3
SJD005,3
SJD006,3
SJD007,2
SJD008,2
SJD009,2
SJD010,2
SJD011,5
SJD012,2
SJD013,2
SJD014,2
SJD015,2
SJD016,1
SJD017,1
SJD018,1
SJD019,1
SJD020,1
SJD021,1
SJD022,1
SJD023,3
SJD024,3
SJD025,4
SJD026,5
SJD027,3
SJD028,5
SJD029,4
SJD030,5
SJD031,5
SJD032,5
SJD033,4
SJD034,5
SJD035,3
SJD036,5
SJD037,1
SJD038,4
SJD039,4
SJD040,1
SJD041,4
SJD042,4
SJD043,4
SJD045,3
SJD046,4
SJD047,5
SJD049,4
SJD050,1
SJD051,3
