date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,1,"Council Member Shelton made a motion to approve the March 16, 2021 City Council study meeting minutes, and the March 16, 2021 City Council meeting minutes, as printed",Procedural/Administrative,Unanimous Pass,Don Shelton,,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Study Session Meeting Minutes,Council,1,Council Member Marlor made a motion to amend the agenda switching the order of item E. and F,Procedural/Administrative,Unanimous Pass,Brad Marlor,Jason McGuire,,,minutes/2021/2021-04-05/2021-04-06_city-council-study-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,2,Council Member McGuire made a motion to approve Resolution R2021-07,Resolution,Unanimous Pass,Jason McGuire,,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Study Session Meeting Minutes,Council,2,Council Member Harris made a motion to adjourn,Procedural/Administrative,Unanimous Pass,Patrick Harris,Tamara Zander,,,minutes/2021/2021-04-05/2021-04-06_city-council-study-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,3,Council Member Zander made a motion to recess the City Council meeting and move to a Redevelopment Agency meeting,Land-Use/Zoning,Unanimous Pass,Tamara Zander,Patrick Harris,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,5,Board Member Shelton made a motion to adjourn the Redevelopment Agency Meeting and return to City Council meeting,Land-Use/Zoning,Unanimous Pass,Don Shelton,Jason McGuire,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,6,"Council Member Marlor made a motion to go into executive closed session to discuss the purchase, exchange, or lease of real property and to discuss pending or reasonably imminent litigation",Contract/Purchase,Unanimous Pass,Brad Marlor,Tamara Zander,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,7,"Council Member Harris made a motion to close the discussion of the purchase, exchange, or lease of real property and move to discuss pending or reasonably imminent litigation",Contract/Purchase,Unanimous Pass,Patrick Harris,,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,8,Council Member Zander made a motion to come out of executive closed session,Procedural/Administrative,Unanimous Pass,Tamara Zander,,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,Council,9,Council Member Harris made a motion to adjourn,Procedural/Administrative,Unanimous Pass,Patrick Harris,Brad Marlor,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
2021-04-06,2021,04-06-21 City Council Meeting Minutes,RDA,4,Board Member Shelton made a motion to approve Resolution RDA 2021-05,Resolution,Unanimous Pass,Don Shelton,,,,minutes/2021/2021-04-05/2021-04-06_city-council-regular-meeting.md,minutes
