motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file,provenance
1,1,3,1,Presentation of 2020/2021 RDA Tentative Budget,Budget Amendment,7-0 Pass,Pass,rda_vote,,,unclassified,low,1,singleton,high,24,12,1,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,minutes
2,1,3,2,Presentation of 2020/2021 RDA Tentative Budget. Mayor Wood advised that the RDA,Budget Amendment,7-0 Pass,Pass,rda_vote,,,unclassified,low,2,singleton,high,22,12,1,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,minutes
3,1,3,3,motion to adjourn,Procedural/Administrative,7-0 Pass,Pass,rda_vote,,procedural,keyword,high,3,singleton,high,12,15,1,minutes/2020/2020-05-25/2020-05-27_rda_RC.md,minutes
4,2,3,1,Report of the Executive Director,Other,7-0 Pass,Pass,rda_vote,,,unclassified,low,4,singleton,high,22,5,1,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,minutes
5,2,3,2,motion to carry the budget over to the next RDA meeting on June 17,Other,7-0 Pass,Pass,rda_vote,,,unclassified,low,5,singleton,high,22,5,1,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,minutes
6,2,3,3,(motion — description not captured),Other,7-0 Pass,Pass,rda_vote,,,uncaptured,low,6,singleton,high,5,21,1,minutes/2020/2020-06-01/2020-06-03_rda_RC.md,minutes
7,3,3,1,A Resolution of the Redevelopment Agency of the City,Land-Use/Zoning,7-0 Pass,Pass,rda_vote,,,unclassified,low,7,singleton,high,21,12,1,minutes/2020/2020-06-15/2020-06-17_rda_RC.md,minutes
8,3,3,2,(motion — description not captured),Other,7-0 Pass,Pass,rda_vote,,,uncaptured,low,8,singleton,high,12,24,1,minutes/2020/2020-06-15/2020-06-17_rda_RC.md,minutes
9,4,1,1,motion to approve these minutes,Procedural/Administrative,7-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,22,12,1,minutes/2020/2020-07-06/2020-07-08_council_RC.md,minutes
10,4,1,2,A Resolution of the City of South Salt Lake approving 2020 Financial — motion to move this Resolution to Unfinished Business on July 22,Resolution,7-0 Pass,Pass,council_vote,,approve,keyword,high,,,,21,12,1,minutes/2020/2020-07-06/2020-07-08_council_RC.md,minutes
