name,role,first_seen,last_seen,meetings_present,n_vote_rows
Jeremy Carter,Council/Board Member (observed),2022-01-20,2026-06-18,58,276
Mary Anna Southey,Council/Board Member (observed),2022-01-20,2026-06-04,55,266
George Pechmann,Council/Board Member (observed),2022-01-20,2026-05-07,44,206
Chad Ewell,Council/Board Member (observed),2022-02-03,2026-02-05,37,173
Olivia Spencer,Council/Board Member (observed),2022-05-19,2026-06-18,34,171
Suzanne Slifka,Council/Board Member (observed),2023-03-16,2026-06-18,33,171
Christy Dahlberg,Council/Board Member (observed),2022-01-20,2026-05-07,27,118
Stacey Holscher,Council/Board Member (observed),2022-01-20,2025-06-19,20,108
Sophie Bellina,Council/Board Member (observed),2023-03-16,2024-07-11,16,71
Kathy Self,Council/Board Member (observed),2025-07-10,2026-06-18,10,49
Laura Vernon,Council/Board Member (observed),2022-01-20,2022-11-17,6,24
Liz Gabbitas,Council/Board Member (observed),2022-01-20,2022-04-07,2,10
Oliva Spencer,Council/Board Member (observed),2023-02-16,2023-03-16,2,8
