video_id,title,duration,date,date_source,body,meeting_kind,is_meeting
_YT38atReN4,2026 7 9 Planning Commission Meeting,1520.0,2026-07-09,title,PlanningCommission,PC,yes
wTjmI6zMgXI,2026 7 8 City Council Work Meeting,560.0,2026-07-08,title,CityCouncil,WM,yes
SLCuRD9Kis0,2026 7 8 City Council Regular Meeting,2125.0,2026-07-08,title,CityCouncil,RC,yes
3crgewmtI10,2026 7 6 Civilian Review Board Meeting,1524.0,2026-07-06,title,CivilianReviewBoard,CRB,yes
2yJ_8ozLGrI,2026 6 18 Planning Commission Meeting,2027.0,2026-06-18,title,PlanningCommission,PC,yes
fBsFV0b7DuM,2026 6 17 City Council Regular Meeting,4613.0,2026-06-17,title,CityCouncil,RC,yes
2anYE4ZoNSQ,2026 6 17 Redevelopment Agency Meeting,154.0,2026-06-17,title,RDA,RDA,yes
r7zzWkfddEQ,2026 6 10 City Council Regular Meeting,4777.0,2026-06-10,title,CityCouncil,RC,yes
pYQbRfW3bWc,2026 6 10 City Council Work Meeting,76.0,2026-06-10,title,CityCouncil,WM,yes
tmFn2p9icGU,2026 6 10 Redevelopment Agency Meeting,875.0,2026-06-10,title,RDA,RDA,yes
iIuDx7wVANg,2026 6 4 Planning Commission Meeting,6702.0,2026-06-04,title,PlanningCommission,PC,yes
k-Zba5oL8mU,2026 6 1 Civilian Review Board Meeting,1758.0,2026-06-01,title,CivilianReviewBoard,CRB,yes
uhtCCeTRMpo,2026 5 27 City Council Regular Meeting,6250.0,2026-05-27,title,CityCouncil,RC,yes
QqW7mT8AeHw,2026 5 27 City Council Work Meeting,1194.0,2026-05-27,title,CityCouncil,WM,yes
shFIChfD7kA,2026 5 27 Redevelopment Agency Meeting,724.0,2026-05-27,title,RDA,RDA,yes
odRGk29MhkE,2026 5 13 City Council Regular Meeting,7480.0,2026-05-13,title,CityCouncil,RC,yes
F6BVCYzg-ok,2026 5 13 City Council Work Meeting,1207.0,2026-05-13,title,CityCouncil,WM,yes
UrU8Riu4d3o,2026 5 7 Planning Commission Meeting,5678.0,2026-05-07,title,PlanningCommission,PC,yes
JLf0lxp93SU,2026 5 4 Civilian Review Board Meeting,2239.0,2026-05-04,title,CivilianReviewBoard,CRB,yes
0DabgA_vaOw,2026 4 29 City Council Regular Meeting,3173.0,2026-04-29,title,CityCouncil,RC,yes
v-igSa17EDQ,2026 4 29 City Council Work Meeting,912.0,2026-04-29,title,CityCouncil,WM,yes
OWLa0Tmp8PQ,2026 4 15 City Council Regular Meeting,2238.0,2026-04-15,title,CityCouncil,RC,yes
-d9TeSvLOUE,2026 4 15 City Council Work Meeting,1864.0,2026-04-15,title,CityCouncil,WM,yes
bE83DPFg8W8,2026 4 6 Civilian Review Board,1082.0,2026-04-06,title,CivilianReviewBoard,CRB,yes
V4hO1lCrwZM,2026 3 25 City Council Regular Meeting,2734.0,2026-03-25,title,CityCouncil,RC,yes
WoJhote6jcg,2026 3 25 City Council Work Meeting,3127.0,2026-03-25,title,CityCouncil,WM,yes
MwV7bAvE2Lo,South Salt Lake State of the City Address 2026,3287.0,,,,,no
