date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Sharla Bynum,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,LeAnne Huff,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Portia Mila,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Shane Siwik,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Clarissa Williams,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Natalie Pinkney,Abstain,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,1,A Resolution of the South Salt Lake City Council Authorizing the City to Enter Into and — motion to approve this Resolution,Resolution,5-0 Pass,Portia Mila,Sharla Bynum,Corey Thomas,Abstain,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Sharla Bynum,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,LeAnne Huff,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Portia Mila,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Shane Siwik,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Corey Thomas,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Clarissa Williams,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,2,An Ordinance of the South Salt Lake City Council to Amend the South Salt Lake Zoning — motion to approve this Ordinance,Land-Use/Zoning,6-0 Pass,Portia Mila,Clarissa Williams,Natalie Pinkney,Abstain,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Sharla Bynum,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,LeAnne Huff,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Portia Mila,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Natalie Pinkney,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Shane Siwik,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Corey Thomas,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,3,An Ordinance of the South Salt Lake City Council Amending Section 3.11.110 of the — motion to approve this Ordinance,Ordinance,7-0 Pass,Portia Mila,LeAnne Huff,Clarissa Williams,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Sharla Bynum,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,LeAnne Huff,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Portia Mila,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Natalie Pinkney,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Shane Siwik,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Corey Thomas,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
2023-06-07,2023,Council RC Meeting 2023-06-07,Council,4,motion to Adjourn,Procedural/Administrative,7-0 Pass,Portia Mila,LeAnne Huff,Clarissa Williams,Aye,minutes/2023/2023-06-05/2023-06-07_council_RC.md,agendacenter_minutes
