referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
126,medium,subject,Council,PlanningCommission,30,1337,2024-05-14,A motion was made by Planning Commission Member Fisher to recommend approval of Item #1 amending Title 10-10-1 the Airport Vicinity’s Zones as to the CRM.,646,2024-06-13,"A motion was made by Councilmember Larsen to approve Ordinance No. 2024-035 amending Title 10-10-1, Airport Vicinity Zones, of the City Code, to add various permitted uses associated with movie studios to the C-RM (Mixed-use Commercial) and the ASBP (Airport Supporting Business Park) zones.",,0.18,
131,medium,subject,Council,PlanningCommission,352,1337,2024-05-14,A motion was made by Planning Commission Member Fisher to recommend approval of Item #1 amending Title 10-10-1 the Airport Vicinity’s Zones as to the CRM.,728,2025-05-01,"A motion was made by Councilmember Tanner to approve Ordinance No. 2025-034 amending Section 10-10-1 of City Code related to Airport Vicinity Zones: Allowed Uses to include ""warehouse storage"" as a permitted use in the C-RM zone.",,0.19,
75,medium,subject,Council,PlanningCommission,9,1112,2021-10-12,Commissioner Anderson made a motion to recommend approval of the hillside permit for the Temple Springs Park.,316,2021-10-21,A motion was made by Councilmember Smethurst to approve the hillside development permit for Temple Springs Park improvements on approximately 10 acres located on 700 East Street at its terminus north of St. George Boulevard.,,0.303,
117,medium,subject,Council,PlanningCommission,51,1248,2023-03-14,Commissioner Anderson made a motion to recommend approval of the Hillside Permit for Item 1 to City Council.,529,2023-05-04,"A motion was made by Councilmember Hughes to continue the Hillside Development Permit, item #26.",,0.312,
23,medium,subject,Council,PlanningCommission,9,951,2020-10-27,Commissioner Larsen made a motion to recommend approval of Item 5C a twelve (12) lot residential preliminary plat for Auburn Hills Phase 7B.,120,2020-11-05,A motion was made by Councilmember Randall to approve the preliminary plat for Auburn Hills Phase 6.,,0.314,
26,medium,subject,Council,PlanningCommission,9,951,2020-10-27,Commissioner Larsen made a motion to recommend approval of Item 5C a twelve (12) lot residential preliminary plat for Auburn Hills Phase 7B.,123,2020-11-05,A motion was made by Councilmember Randall to approve the preliminary plat for Auburn Hills Phase 18.,,0.314,
64,medium,subject,Council,PlanningCommission,114,1018,2021-04-13,Commissioner West made a motion to recommend approval of item 6B 81 townhomes for Willow Bend Townhomes.,272,2021-08-05,A motion was made by Councilmember McArthur to approve the preliminary plat for Willow Bend Townhomes with the stipulation that all roads within development be private roads.,,0.32,
106,medium,subject,Council,PlanningCommission,275,1116,2021-10-12,Commissioner West made a motion to recommend approval for item 6D a 19-lot residential subdivision for Desert Reserve phase 3 located at the intersection of Desert Canyons Parkway and Castillo Drive.,438,2022-07-14,"A motion was made by Councilmember Tanner to approve the amended preliminary plat for Desert Canyons Town Center West, a 7-lot commercial subdivision located at the intersection of Desert Center Drive and Desert Canyon Parkway.",,0.322,
30,medium,subject,Council,PlanningCommission,9,980,2020-12-08,Commissioner Nelson made a motion to recommend approval of Item 4A a nine (9) lot residential preliminary plat for Desert Solace Phase 3.,156,2020-12-17,A motion was made by Councilmember Hughes to approve the preliminary plat for Desert Solace Phase 3.,,0.323,
25,medium,subject,Council,PlanningCommission,9,951,2020-10-27,Commissioner Larsen made a motion to recommend approval of Item 5C a twelve (12) lot residential preliminary plat for Auburn Hills Phase 7B.,122,2020-11-05,A motion was made by Councilmember Hughes to approve the preliminary plat for Auburn Hills Phase 17.,,0.324,
40,medium,subject,Council,PlanningCommission,219,918,2020-07-28,"Commissioner Draper made a motion to recommend approval of Item 4B a conditional use permit to operate a vacation short term rental from the landmark site, the St. George Whitehead home, including staff comments that the lot lines must be adjusted.",181,2021-03-04,A motion was made by Councilmember Hughes to approve the conditional use permit to operate a short rental out of a designated landmark site to be known as the JJ Milne home.,,0.326,
24,medium,subject,Council,PlanningCommission,9,951,2020-10-27,Commissioner Larsen made a motion to recommend approval of Item 5C a twelve (12) lot residential preliminary plat for Auburn Hills Phase 7B.,121,2020-11-05,A motion was made by Councilmember McArthur to approve the preliminary plat for Auburn Hills Phase 7B.,,0.327,
129,medium,subject,Council,PlanningCommission,389,1314,2024-01-14,A motion was made by Planning Commission Member Anderson to recommend approval of the South Reiver Commercial changing it from FP (Flood Plain) and LDR (Low Density Residential) to COM (Commercial).,701,2025-02-06,A motion was made by Councilmember Tanner to approve Ordinance No. 2025-010 amending the city General Plan future land-use map from FP (Flood Plain) and LDR (Low Density Residential) to COM (Commercial) on approximately 5.43 acres generally located 500 feet west of River Road on the south side of George Washington Boulevard.,,0.334,
125,medium,subject,Council,PlanningCommission,67,1315,2024-01-14,A motion was made by Planning Commission Member Fisher to recommend approval of the General Plan Amendment from MDR (Medium Density Residential) and LDR (Low Density Residential) to COM (Commercial).,632,2024-03-21,A motion was made by Councilmember Kemp to approve Ordinance No. 2024- 018 amending the City General Plan Future Land Use Map from: 1) MDR (Medium Density Residential) to Commercial on 6.56 acres; 2) LDR (Low Density Residential) to Commercial on 1.22 acres; 3) LDR (Low Density Residential) to MDR (Medium Density Residential) on 4.09 acres; 4) PK (Park) to LDR (Low Density Residential) on 4.19 acres; and 5) LDR (Low Density Residential) to PK (Park) on 3.34 acres located on the northwest corner of 2450 South and 3000 East.,,0.341,
1,medium,subject,Council,PlanningCommission,-45,886,2020-02-23,Commissioner Kemp made a motion to recommend approval on Item 4C a request for a Conditional Use Permit to operate a short term (vacation) rental on a designated landmark site. The project is located at 163 South Main based on the conditions that are listed in the review criteria in the packet.,11,2020-01-09,A motion was made by Smethurst to approve the conditional use permit to operate a short-term rental at an existing Landmark Site known as the Samuel Miles Home located at 306 South Main with the conditions of the Planning Commission.,,0.357,
17,medium,subject,Council,PlanningCommission,9,926,2020-08-25,Commissioner Nelson made a motion to recommend approval of item 2B a five (5) lot commercial subdivision for Desert Canyon Town Center West Commercial and include staff comments.,100,2020-09-03,A motion was made by Councilmember Hughes to approve the preliminary plat for Desert Canyons Town Center West Commercial.,,0.36,
