meeting_id,body_id,meeting_date,title,source_file
1,3,2020-01-06,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-06_city-council-regular-meeting.md
2,3,2020-01-09,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md
3,3,2020-01-16,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-01-13/2020-01-16_city-council-regular-meeting.md
4,3,2020-01-23,City Council Work Meeting,meeting_minutes/minutes/2020/2020-01-20/2020-01-23_city-council-work-meeting.md
5,3,2020-02-06,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-02-03/2020-02-06_city-council-regular-meeting.md
6,3,2020-02-20,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-02-17/2020-02-20_city-council-regular-meeting.md
7,3,2020-02-27,City Council Special Meeting,meeting_minutes/minutes/2020/2020-02-24/2020-02-27_city-council-special-meeting.md
8,3,2020-03-05,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-03-02/2020-03-05_city-council-regular-meeting.md
9,3,2020-03-26,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-03-23/2020-03-26_city-council-regular-meeting.md
10,3,2020-04-02,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-03-30/2020-04-02_city-council-regular-meeting.md
11,3,2020-04-16,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-04-13/2020-04-16_city-council-regular-meeting.md
12,3,2020-04-30,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-04-27/2020-04-30_city-council-regular-meeting.md
13,3,2020-05-07,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-05-04/2020-05-07_city-council-regular-meeting.md
14,3,2020-05-14,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-05-11/2020-05-14_city-council-regular-meeting.md
15,3,2020-05-21,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-05-18/2020-05-21_city-council-regular-meeting.md
16,3,2020-06-04,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-06-01/2020-06-04_city-council-regular-meeting.md
17,3,2020-06-11,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-06-08/2020-06-11_city-council-regular-meeting.md
18,3,2020-06-18,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-06-15/2020-06-18_city-council-regular-meeting.md
19,3,2020-07-09,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-07-06/2020-07-09_city-council-regular-meeting.md
20,3,2020-07-09,City Council Work Meeting,meeting_minutes/minutes/2020/2020-07-06/2020-07-09_city-council-work-meeting.md
21,3,2020-07-16,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-07-13/2020-07-16_city-council-regular-meeting.md
22,3,2020-08-06,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-08-03/2020-08-06_city-council-regular-meeting.md
23,3,2020-08-11,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-regular-meeting.md
24,3,2020-08-20,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-08-17/2020-08-20_city-council-regular-meeting.md
25,3,2020-09-03,City Council Regular Meeting,meeting_minutes/minutes/2020/2020-08-31/2020-09-03_city-council-regular-meeting.md
