referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,11,Council,886,PlanningCommission,subject,medium,,0.357,2020-01-09,2020-02-23,-45,
2,14,Council,855,PlanningCommission,address,low,2046 n tuweap,0.099,2020-02-06,2020-01-14,23,
3,20,Council,868,PlanningCommission,subject,medium,,0.775,2020-02-06,2020-01-28,9,
4,22,Council,903,PlanningCommission,subject,medium,,0.682,2020-03-05,2020-04-28,-54,
5,43,Council,902,PlanningCommission,subject,medium,,0.431,2020-04-16,2020-04-28,-12,
6,47,Council,1309,PlanningCommission,subject,low,,0.658,2020-04-16,2023-12-12,-1335,
7,48,Council,899,PlanningCommission,subject,medium,,0.575,2020-04-16,2020-04-14,2,
8,56,Council,903,PlanningCommission,subject,medium,,0.768,2020-05-07,2020-04-28,9,
9,58,Council,902,PlanningCommission,subject,medium,,0.414,2020-05-21,2020-04-28,23,
10,72,Council,902,PlanningCommission,subject,medium,,0.515,2020-06-18,2020-04-28,51,
11,72,Council,905,PlanningCommission,subject,medium,,0.515,2020-06-18,2020-04-28,51,
12,76,Council,873,PlanningCommission,subject,medium,,0.383,2020-07-09,2020-02-09,151,
13,92,Council,886,PlanningCommission,subject,medium,,0.388,2020-08-20,2020-02-23,179,
14,93,Council,885,PlanningCommission,address+subject,high,217 n 100 w,0.581,2020-08-20,2020-02-23,179,
15,94,Council,919,PlanningCommission,subject,medium,,0.415,2020-08-20,2020-07-28,23,
16,95,Council,871,PlanningCommission,subject,medium,,0.373,2020-08-20,2020-02-09,193,
17,100,Council,926,PlanningCommission,subject,medium,,0.36,2020-09-03,2020-08-25,9,
18,100,Council,1512,PlanningCommission,subject,low,,0.627,2020-09-03,2025-10-28,-1881,
19,105,Council,913,PlanningCommission,subject,medium,,0.659,2020-10-01,2020-07-28,65,
20,109,Council,939,PlanningCommission,subject,medium,,0.585,2020-11-05,2020-10-13,23,
21,117,Council,930,PlanningCommission,subject,medium,,0.576,2020-11-05,2020-09-22,44,
22,117,Council,975,PlanningCommission,subject,medium,,0.657,2020-11-05,2020-12-08,-33,
23,120,Council,951,PlanningCommission,subject,medium,,0.314,2020-11-05,2020-10-27,9,
24,121,Council,951,PlanningCommission,subject,medium,,0.327,2020-11-05,2020-10-27,9,
25,122,Council,951,PlanningCommission,subject,medium,,0.324,2020-11-05,2020-10-27,9,
26,123,Council,951,PlanningCommission,subject,medium,,0.314,2020-11-05,2020-10-27,9,
27,130,Council,961,PlanningCommission,subject,medium,,0.794,2020-11-19,2020-11-10,9,
28,134,Council,975,PlanningCommission,subject,medium,,0.657,2020-12-03,2020-12-08,-5,
29,154,Council,962,PlanningCommission,address,low,600 e riverside,0.164,2020-12-17,2020-11-24,23,
30,156,Council,980,PlanningCommission,subject,medium,,0.323,2020-12-17,2020-12-08,9,
31,161,Council,982,PlanningCommission,subject,medium,,0.535,2021-02-04,2021-01-12,23,
32,164,Council,1003,PlanningCommission,subject,medium,,0.757,2021-02-04,2021-03-23,-47,
33,165,Council,994,PlanningCommission,subject,medium,,0.789,2021-02-04,2021-01-26,9,
34,172,Council,952,PlanningCommission,subject,medium,,0.706,2021-02-25,2020-10-27,121,
35,173,Council,951,PlanningCommission,subject,medium,,0.767,2021-02-25,2020-10-27,121,
36,174,Council,950,PlanningCommission,subject,medium,,0.727,2021-02-25,2020-10-27,121,
37,175,Council,1000,PlanningCommission,subject,medium,,0.614,2021-02-25,2021-03-09,-12,
38,179,Council,995,PlanningCommission,subject,medium,,0.37,2021-02-25,2021-01-26,30,
39,180,Council,995,PlanningCommission,subject,medium,,0.373,2021-02-25,2021-01-26,30,
40,181,Council,918,PlanningCommission,subject,medium,,0.326,2021-03-04,2020-07-28,219,
41,183,Council,872,PlanningCommission,address+subject,high,2241 e cobalt,0.765,2021-03-04,2020-02-09,389,
42,184,Council,877,PlanningCommission,subject,medium,,0.806,2021-03-04,2020-02-09,389,
43,185,Council,1174,PlanningCommission,subject,low,,0.621,2021-03-04,2022-04-12,-404,
44,187,Council,888,PlanningCommission,subject,medium,,0.566,2021-03-04,2020-02-23,375,
45,188,Council,890,PlanningCommission,subject,medium,,0.593,2021-03-04,2020-02-23,375,
46,196,Council,1000,PlanningCommission,subject,medium,,0.81,2021-03-18,2021-03-09,9,
47,197,Council,884,PlanningCommission,subject,medium,,0.933,2021-03-18,2020-02-23,389,
48,197,Council,998,PlanningCommission,address+subject,high,1190 s bluff; 1276 s black ridge,0.93,2021-03-18,2021-03-09,9,
49,199,Council,889,PlanningCommission,subject,medium,,0.82,2021-03-18,2020-02-23,389,
50,200,Council,1001,PlanningCommission,subject,medium,,0.85,2021-03-18,2021-03-09,9,
51,202,Council,885,PlanningCommission,subject,low,217 n 100 w,0.961,2021-04-01,2020-02-23,403,
52,206,Council,989,PlanningCommission,subject,medium,,0.826,2021-04-01,2021-01-26,65,
53,207,Council,1007,PlanningCommission,subject,medium,,0.428,2021-04-01,2021-03-23,9,
54,212,Council,1003,PlanningCommission,subject,medium,,0.674,2021-04-15,2021-03-23,23,
55,214,Council,1018,PlanningCommission,subject,medium,,0.436,2021-04-29,2021-04-13,16,
56,220,Council,1021,PlanningCommission,subject,medium,,0.557,2021-04-29,2021-04-13,16,
57,231,Council,1030,PlanningCommission,subject,medium,,0.805,2021-05-06,2021-04-27,9,
58,234,Council,1032,PlanningCommission,subject,medium,,0.671,2021-05-06,2021-04-27,9,
59,241,Council,1039,PlanningCommission,subject,medium,,0.869,2021-05-20,2021-05-11,9,
60,255,Council,1049,PlanningCommission,address,low,2860 e 850 n,0.526,2021-07-15,2021-06-22,23,
61,259,Council,1054,PlanningCommission,subject,medium,,0.768,2021-07-15,2021-06-22,23,
62,266,Council,1058,PlanningCommission,address+subject,high,900 south,0.441,2021-08-05,2021-07-13,23,
63,271,Council,1072,PlanningCommission,subject,medium,,0.538,2021-08-05,2021-07-27,9,
64,272,Council,1018,PlanningCommission,subject,medium,,0.32,2021-08-05,2021-04-13,114,
65,273,Council,1077,PlanningCommission,address+subject,high,135 s 100 e,0.681,2021-08-19,2021-08-10,9,
66,274,Council,1116,PlanningCommission,subject,medium,,0.576,2021-08-19,2021-10-12,-54,
