year,election_type,office,contest,candidate,votes,pct,rank,is_winner
2019,municipal general,Council,St George City Council,JIMMIE B HUGHES,7717,19.47,1,Y
2019,municipal general,Council,St George City Council,GREGG MCARTHUR,7647,19.29,2,Y
2019,municipal general,Council,St George City Council,DANNIELLE LARKIN,6714,16.94,3,Y
2019,municipal general,Council,St George City Council,ED BACA,6331,15.97,4,N
2019,municipal general,Council,St George City Council,GREG ALDRED,5792,14.61,5,N
2019,municipal general,Council,St George City Council,BETTE O ARIAL,5432,13.71,6,N
2021,municipal general,Council,St George City Council,NATALIE LARSEN,10384,26.56,1,Y
2021,municipal general,Council,St George City Council,MICHELLE TANNER,10216,26.13,2,Y
2021,municipal general,Council,St George City Council,GREG ALDRED,9500,24.3,3,N
2021,municipal general,Council,St George City Council,VARDELL H CURTIS,8992,23.0,4,N
2021,municipal general,Mayor,St George Mayor,MICHELE RANDALL,11614,55.18,1,Y
2021,municipal general,Mayor,St George Mayor,JIMMIE B. HUGHES,9434,44.82,2,N
2021,municipal primary,Council,St George City Council,MICHELLE TANNER,4346,14.88,1,Y
2021,municipal primary,Council,St George City Council,VARDELL H CURTIS,3871,13.25,2,Y
2021,municipal primary,Council,St George City Council,GREG ALDRED,3418,11.7,3,Y
2021,municipal primary,Council,St George City Council,NATALIE LARSEN,3325,11.38,4,Y
2021,municipal primary,Council,St George City Council,M. RICK ERICKSON,3320,11.37,5,N
2021,municipal primary,Council,St George City Council,BRYAN S SMETHURST,2775,9.5,6,N
2021,municipal primary,Council,St George City Council,KENT L. WINDER,2311,7.91,7,N
2021,municipal primary,Council,St George City Council,RONALD WOODBURY,2217,7.59,8,N
2021,municipal primary,Council,St George City Council,CAROLYN MCDONALD,2164,7.41,9,N
2021,municipal primary,Council,St George City Council,KATHERYNE NOVICK,900,3.08,10,N
2021,municipal primary,Council,St George City Council,TORI BUSH,565,1.93,11,N
2021,municipal primary,Mayor,St George Mayor,MICHELE RANDALL,7869,49.6,1,Y
2021,municipal primary,Mayor,St George Mayor,JIMMIE B. HUGHES,4387,27.65,2,Y
2021,municipal primary,Mayor,St George Mayor,WOODY WOODBURY,2700,17.02,3,N
2021,municipal primary,Mayor,St George Mayor,BRETT TOLLY,908,5.72,4,N
2023,municipal general,Council,St George City Council,STEVE KEMP,12334,22.17,1,Y
2023,municipal general,Council,St George City Council,JIMMIE B. HUGHES,12006,21.58,2,Y
2023,municipal general,Council,St George City Council,DANNIELLE LARKIN,11058,19.87,3,Y
2023,municipal general,Council,St George City Council,BRAD BENNETT,10135,18.22,4,N
2023,municipal general,Council,St George City Council,PAULA SMITH,10105,18.16,5,N
2023,municipal primary,Council,St George City Council,DANNIELLE LARKIN,6444,11.78,1,Y
2023,municipal primary,Council,St George City Council,JIMMIE B. HUGHES,5878,10.74,2,Y
2023,municipal primary,Council,St George City Council,STEVE KEMP,5455,9.97,3,Y
2023,municipal primary,Council,St George City Council,PAULA SMITH,5447,9.96,4,Y
2023,municipal primary,Council,St George City Council,BRAD BENNETT,5412,9.89,5,Y
2023,municipal primary,Council,St George City Council,GREGG MCARTHUR,4787,8.75,6,Y
2023,municipal primary,Council,St George City Council,WENDI PRINCE BULKLEY,4077,7.45,7,N
2023,municipal primary,Council,St George City Council,AROS MACKEY,4024,7.36,8,N
2023,municipal primary,Council,St George City Council,GREG ALDRED,3392,6.2,9,N
2023,municipal primary,Council,St George City Council,STEVEN G JENNINGS,3064,5.6,10,N
2023,municipal primary,Council,St George City Council,MATTHEW L HEATON,2937,5.37,11,N
2023,municipal primary,Council,St George City Council,KATHERYNE KNIGHT,1618,2.96,12,N
2023,municipal primary,Council,St George City Council,AUSTIN HODGES,1150,2.1,13,N
2023,municipal primary,Council,St George City Council,KIMBALL WILLARD,1023,1.87,14,N
2025,municipal general,Council,St George City Council,NATALIE LARSEN,12013,30.06,1,Y
2025,municipal general,Council,St George City Council,MICHELLE TANNER,11397,28.52,2,Y
2025,municipal general,Council,St George City Council,JAMI LEAVITT,9018,22.57,3,N
2025,municipal general,Council,St George City Council,GREG ALDRED,7532,18.85,4,N
2025,municipal general,Mayor,St George Mayor,JIMMIE B HUGHES,12334,55.58,1,Y
2025,municipal general,Mayor,St George Mayor,MICHELE RANDALL,9859,44.42,2,N
2025,municipal primary,Council,St George City Council,MICHELLE TANNER,7635,23.53,1,Y
2025,municipal primary,Council,St George City Council,NATALIE LARSEN,6372,19.63,2,Y
2025,municipal primary,Council,St George City Council,JAMI LEAVITT,5629,17.34,3,Y
2025,municipal primary,Council,St George City Council,GREG ALDRED,4724,14.56,4,Y
2025,municipal primary,Council,St George City Council,NATHAN CAPLIN,3299,10.17,5,N
2025,municipal primary,Council,St George City Council,SHANE LOSEE,2562,7.89,6,N
2025,municipal primary,Council,St George City Council,BRYAN D. THIRIOT,2233,6.88,7,N
2025,municipal primary,Mayor,St George Mayor,MICHELE RANDALL,7312,41.32,1,Y
2025,municipal primary,Mayor,St George Mayor,JIMMIE B HUGHES,6597,37.28,2,Y
2025,municipal primary,Mayor,St George Mayor,AROS MACKEY,3313,18.72,3,N
2025,municipal primary,Mayor,St George Mayor,BRANNON R RAZO,473,2.67,4,N
