source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
meeting_minutes/minutes/2020/2020-01-06/2020-01-06_city-council-regular-meeting.md,1,2020-01-06,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),crosswalk,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,1,2020-01-09,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),crosswalk,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,2,2020-01-09,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),crosswalk,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,3,2020-01-09,Council,Other,Other,,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:no-signal,low
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,4,2020-01-09,Council,Other,Other,,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:no-signal,low
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,5,2020-01-09,Council,Other,Other,,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:no-signal,low
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,6,2020-01-09,Council,Other,Other,,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:no-signal,low
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,7,2020-01-09,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,8,2020-01-09,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,9,2020-01-09,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4-0 Pass (The vote was unanimous and the motion carried.),rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,10,2020-01-09,Council,Land-Use/Zoning,Land-Use,Vacation,final-action,pass,4,0,,roll-call,4-0 Pass (The vote was unanimous and the motion carried.),rule:lu-vacate,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,11,2020-01-09,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,4,0,,roll-call,4-0 Pass (The vote was unanimous and the motion carried.),rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,12,2020-01-09,Council,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),rule:lu-subdiv,high
meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-regular-meeting.md,13,2020-01-09,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,5-0 Pass (The vote was unanimous and the motion carried.),crosswalk,high
