date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2025-10-16,2025,City Council Regular Meeting,Council,1,A motion was made by Councilmember Kemp to approve the consent calendar.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Steve Kemp,Dannielle Larkin,Jimmie Hughes,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,1,A motion was made by Councilmember Kemp to approve the consent calendar.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Steve Kemp,Dannielle Larkin,Dannielle Larkin,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,1,A motion was made by Councilmember Kemp to approve the consent calendar.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Steve Kemp,Dannielle Larkin,Natalie Larsen,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,1,A motion was made by Councilmember Kemp to approve the consent calendar.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Steve Kemp,Dannielle Larkin,Michelle Tanner,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,1,A motion was made by Councilmember Kemp to approve the consent calendar.,Procedural/Administrative,5-0 Pass (The vote was unanimous and the motion carried.),Steve Kemp,Dannielle Larkin,Steve Kemp,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,2,"A motion was made by Councilmember Larkin to approve Resolution No. 2025-024R to review and approve amendments to the Fiscal Year 2025-26 Budget as presented, excluding #7.",Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Dannielle Larkin,Michelle Tanner,Jimmie Hughes,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,2,"A motion was made by Councilmember Larkin to approve Resolution No. 2025-024R to review and approve amendments to the Fiscal Year 2025-26 Budget as presented, excluding #7.",Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Dannielle Larkin,Michelle Tanner,Dannielle Larkin,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,2,"A motion was made by Councilmember Larkin to approve Resolution No. 2025-024R to review and approve amendments to the Fiscal Year 2025-26 Budget as presented, excluding #7.",Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Dannielle Larkin,Michelle Tanner,Natalie Larsen,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,2,"A motion was made by Councilmember Larkin to approve Resolution No. 2025-024R to review and approve amendments to the Fiscal Year 2025-26 Budget as presented, excluding #7.",Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Dannielle Larkin,Michelle Tanner,Michelle Tanner,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,2,"A motion was made by Councilmember Larkin to approve Resolution No. 2025-024R to review and approve amendments to the Fiscal Year 2025-26 Budget as presented, excluding #7.",Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Dannielle Larkin,Michelle Tanner,Steve Kemp,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,3,A motion was made by Councilmember Larsen to approve Resolution No. 2025-025R adopting a Joint Agency Regional Water Conservation Plan.,Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Natalie Larsen,Dannielle Larkin,Jimmie Hughes,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
2025-10-16,2025,City Council Regular Meeting,Council,3,A motion was made by Councilmember Larsen to approve Resolution No. 2025-025R adopting a Joint Agency Regional Water Conservation Plan.,Resolution,5-0 Pass (The vote was unanimous and the motion carried.),Natalie Larsen,Dannielle Larkin,Dannielle Larkin,Aye,meeting_minutes/minutes/2025/2025-10-13/2025-10-16_city-council-regular-meeting.md
