folder,files,fetched,county_statute_header,municipal_statute_header,school_board_form,county_office_filings,ocr_needed,verdict
summit_2008,9,9,0,0,6,0,9,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2009 Primary,9,9,0,5,0,0,9,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2011 Municipal,6,6,0,1,0,0,6,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2013 Municipal_Oakley,6,6,0,3,0,0,6,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2015_Park City,6,6,0,0,0,0,6,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_Coalville,16,16,16,0,0,0,16,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_Francis,1,1,0,1,0,0,1,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_Henefer,6,6,4,0,0,0,6,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_Kamas,2,2,0,2,0,0,2,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_Oakley,2,2,2,0,0,0,2,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2017_South Summit Fire District,2,2,2,0,0,0,2,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2019_Coalville City,3,3,3,0,0,0,3,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2019_Oakley City,2,2,2,0,0,0,2,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2019_Park City,6,6,0,6,0,0,4,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2021_Coalville City,28,28,0,28,0,0,28,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2021_Kamas City,10,10,0,1,0,0,10,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2021_Oakley City,14,14,0,0,0,0,14,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2021_South Summit Fire District,1,1,0,0,0,0,1,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2023_Coalville,18,18,0,10,0,0,15,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2023_Kamas,12,12,0,12,0,0,11,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
summit_2023_Oakley City,5,5,0,4,0,0,5,NO county-office filing — every file names a city/town/special-district or school-board office inside the form
