clip_id,date,body,meeting_type,source_file,minutes_status
102,2023-01-04,County Council,County Council,minutes/2023/2023-01-04_council_102.md,final
43,2023-01-05,County Council,County Council,minutes/2023/2023-01-05_council_43.md,final
105,2023-01-11,County Council,County Council,minutes/2023/2023-01-11_council_105.md,final
45,2023-01-25,County Council,County Council,minutes/2023/2023-01-25_council_45.md,final
65,2023-02-01,County Council,County Council,minutes/2023/2023-02-01_council_65.md,final
66,2023-02-08,County Council,County Council,minutes/2023/2023-02-08_council_66.md,final
71,2023-02-15,County Council,County Council,minutes/2023/2023-02-15_council_71.md,final
73,2023-02-22,County Council,County Council,minutes/2023/2023-02-22_council_73.md,final
93,2023-03-01,County Council,County Council,minutes/2023/2023-03-01_council_93.md,final
97,2023-03-03,County Council,County Council,minutes/2023/2023-03-03_council_97.md,final
99,2023-03-08,County Council,County Council,minutes/2023/2023-03-08_council_99.md,final
107,2023-03-13,County Council,County Council,minutes/2023/2023-03-13_council_107.md,final
108,2023-03-15,County Council,County Council,minutes/2023/2023-03-15_council_108.md,final
125,2023-03-29,County Council,County Council,minutes/2023/2023-03-29_council_125.md,final
130,2023-04-05,County Council,County Council,minutes/2023/2023-04-05_council_130.md,final
136,2023-04-12,County Council,County Council,minutes/2023/2023-04-12_council_136.md,final
146,2023-04-19,County Council,County Council,minutes/2023/2023-04-19_council_146.md,final
156,2023-04-24,County Council,County Council,minutes/2023/2023-04-24_council_156.md,final
157,2023-04-25,County Council,County Council,minutes/2023/2023-04-25_council_157.md,final
161,2023-05-03,County Council,County Council,minutes/2023/2023-05-03_council_161.md,final
179,2023-05-10,County Council,County Council,minutes/2023/2023-05-10_council_179.md,final
184,2023-05-15,County Council,County Council,minutes/2023/2023-05-15_council_184.md,final
190,2023-05-24,County Council,County Council,minutes/2023/2023-05-24_council_190.md,final
194,2023-05-31,County Council,County Council,minutes/2023/2023-05-31_council_194.md,final
201,2023-06-07,County Council,County Council,minutes/2023/2023-06-07_council_201.md,final
213,2023-06-21,County Council,County Council,minutes/2023/2023-06-21_council_213.md,final
219,2023-06-28,County Council,County Council,minutes/2023/2023-06-28_council_219.md,final
220,2023-07-05,County Council,County Council,minutes/2023/2023-07-05_council_220.md,final
224,2023-07-11,County Council,County Council Joint Meeting with Park City Council,minutes/2023/2023-07-11_council_224.md,final
226,2023-07-17,County Council,County Council,minutes/2023/2023-07-17_council_226.md,final
232,2023-07-26,County Council,County Council,minutes/2023/2023-07-26_council_232.md,final
236,2023-08-02,County Council,County Council,minutes/2023/2023-08-02_council_236.md,final
243,2023-08-09,County Council,County Council,minutes/2023/2023-08-09_council_243.md,final
247,2023-08-17,County Council,County Council Special Session,minutes/2023/2023-08-17_council_247.md,final
249,2023-08-21,County Council,County Council Special Meeting,minutes/2023/2023-08-21_council_249.md,final
251,2023-08-22,County Council,County Council,minutes/2023/2023-08-22_council_251.md,final
253,2023-08-23,County Council,County Council,minutes/2023/2023-08-23_council_253.md,final
254,2023-08-24,County Council,County Council,minutes/2023/2023-08-24_council_254.md,final
256,2023-08-30,County Council,County Council,minutes/2023/2023-08-30_council_256.md,final
258,2023-09-06,County Council,County Council,minutes/2023/2023-09-06_council_258.md,final
264,2023-09-13,County Council,County Council,minutes/2023/2023-09-13_council_264.md,final
267,2023-09-20,County Council,County Council,minutes/2023/2023-09-20_council_267.md,final
270,2023-09-27,County Council,County Council,minutes/2023/2023-09-27_council_270.md,final
272,2023-10-04,County Council,County Council,minutes/2023/2023-10-04_council_272.md,final
274,2023-10-10,County Council,County Council,minutes/2023/2023-10-10_council_274.md,final
276,2023-10-11,County Council,County Council,minutes/2023/2023-10-11_council_276.md,final
