clip_id,motion_no,member,vote_value
100001,1,Henrie,Nay
100002,1,DeFord,Abstain
100003,4,Hanson,Nay
100003,4,Clyde,Nay
100006,6,Wharton,Abstain
100009,2,Barnes,Abstain
100010,2,Brown,Abstain
100012,1,Brown,Abstain
100014,3,Willoughby,Nay
100014,3,Henrie,Nay
100014,3,Ure,Nay
100014,3,Vernon,Nay
100014,3,Wharton,Nay
100014,6,Clyde,Nay
100014,7,Willoughby,Abstain
100014,8,Willoughby,Abstain
100015,3,Klingenstein,Abstain
100015,4,Barnes,Abstain
100016,1,Clyde,Nay
100016,1,Vernon,Nay
100016,2,Clyde,Abstain
100016,5,Willoughby,Abstain
100016,6,Willoughby,Abstain
100018,1,Willoughby,Abstain
100018,2,Willoughby,Abstain
100019,1,DeFord,Abstain
100022,4,Ure,Nay
100022,4,Wharton,Nay
100022,4,Hanson,Nay
100022,4,Clyde,Nay
100022,6,Vernon,Nay
100022,6,Henrie Willoughby,Nay
100022,7,Clyde,Nay
100022,7,Hanson,Nay
100022,9,Clyde,Nay
100022,9,Hanson,Nay
100022,10,Clyde,Nay
100022,10,Hanson,Nay
100022,14,Hanson,Nay
100022,14,Henrie,Nay
100022,15,Clyde,Nay
100022,15,Hanson,Nay
100022,16,Clyde,Nay
100022,16,Hanson,Nay
100022,17,Ure,Nay
100022,18,Henrie,Nay
100022,18,Willoughby,Nay
100022,18,Ure,Nay
100022,18,Vernon,Nay
100022,19,Clyde,Nay
100022,19,Hanson,Nay
100022,20,Clyde,Nay
100022,21,Clyde,Nay
100022,22,Clyde,Nay
100022,23,Willoughby,Nay
100022,23,Henrie,Nay
100022,23,Ure Vernon,Nay
100022,24,Ure,Nay
100022,25,Clyde,Nay
100022,29,Hanson,Nay
100022,30,Ure,Nay
100023,2,Harte,Abstain
100023,3,Lawson,Abstain
100024,2,Ure,Abstain
100024,3,Vernon,Nay
100024,3,Willoughby,Nay
100024,4,Hanson,Nay
100025,8,Harte,Abstain
100025,9,Harte,Abstain
100025,9,DeFord,Abstain
100028,2,Clyde,Nay
100029,4,Klingenstein,Abstain
100030,4,Ure Vernon,Aye
100030,4,Clyde Wharton,Nay
100030,6,Ure Vernon,Aye
100030,6,Clyde Wharton,Nay
100030,7,Ure Vernon,Aye
100030,7,Clyde Wharton,Nay
100032,1,Clyde,Abstain
100036,2,DeFord,Abstain
100037,1,Clyde,Nay
100037,1,Henrie,Nay
100037,3,Clyde,Nay
100037,3,Hanson,Nay
100037,6,Wharton,Abstain
100037,7,Wharton,Abstain
100037,7,Hanson,Abstain
100037,8,Hanson,Abstain
100037,8,Ure,Abstain
100038,5,Hanson,Abstain
100039,6,Klingenstein,Abstain
100040,4,Clyde,Nay
100040,4,Hansen,Nay
100040,9,Vernon,Nay
100040,9,Clyde,Nay
100040,10,Hanson,Nay
100040,10,Clyde,Nay
100040,17,Ure,Nay
100040,17,Vernon,Nay
100041,7,Clyde,Nay
100041,7,Henrie,Nay
100043,1,Henrie,Nay
100043,3,Ure,Nay
100043,3,Willoughby,Nay
100043,3,Vernon,Nay
100043,4,Willoughby,Nay
100043,4,Ure,Nay
100043,4,Vernon,Nay
100043,5,Clyde,Nay
100043,5,Henrie,Nay
100043,7,Ure,Nay
100043,7,Vernon,Nay
100044,1,Clyde,Nay
100044,1,Henrie,Nay
100045,1,Peck,Nay
100045,1,Harte,Nay
100046,1,Clyde,Nay
100046,1,Henrie,Nay
100046,2,Clyde,Nay
100046,2,Henrie,Nay
100046,3,Wharton,Abstain
100046,4,Wharton,Abstain
100048,1,Willoughby,Aye
100048,1,Vernon,Aye
100048,1,Henrie,Nay
100048,1,Clyde,Nay
100048,1,Hanson,Nay
100048,4,Hanson,Aye
100048,4,Wharton,Aye
100048,4,Vernon,Nay
100048,4,Clyde,Nay
100048,4,Willoughby,Nay
100048,4,Henrie,Nay
100048,5,Willoughby,Aye
100048,5,Vernon,Aye
100048,5,Wharton,Aye
100048,5,Ure,Aye
100048,5,Henrie,Nay
100048,5,Hanson,Nay
100048,5,Clyde,Nay
100054,2,Hanson,Abstain
100055,2,Collins,Abstain
100055,3,Franklin,Abstain
100058,4,Hanson,Abstain
100060,1,Hanson,Nay
100060,1,Sonntag,Nay
100060,2,Willoughby,Abstain
