date,year,title,source,source_url,status,note
2015-03-25,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_03252015-424,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-04-01,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04012015-428,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-04-15,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04152015-438,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-04-22,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04222015-445,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-04-29,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04292015-461,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-05-06,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05062015-467,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-05-08,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05082015-475,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-05-13,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05132015-476,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-05-27,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_05272015-489,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-06-01,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06012015-498,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-06-03,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06032015-497,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-06-10,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06102015-504,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-06-17,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_06172015-510,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-07-01,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07012015-517,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-07-08,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07082015-528,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-07-15,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07152015-533,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-07-29,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_07292015-543,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-08-05,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_08052015-551,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-08-11,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_08112015-555,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-08-12,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_08122015-556,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-08-19,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_08192015-566,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-08-26,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_08262015-574,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-09-08,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_09082015-584,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-09-16,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_09162015-587,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-09-30,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_09302015-603,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-10-07,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_10072015-607,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-10-14,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_10142015-616,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-10-21,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_10212015-617,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-10-26,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_10262015-621,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-10-28,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_10282015-627,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-11-04,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_11042015-630,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-11-05,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_11052015-637,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-11-16,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_11162015-643,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-11-18,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_11182015-646,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-11-23,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_11232015-651,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-12-02,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_12022015-659,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-12-09,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_12092015-665,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-12-15,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_12152015-671,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-12-16,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_12162015-670,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2015-12-28,2015,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_12282015-677,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-01-12,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_01122016-689,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-02-09,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_02092016-715,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-02-23,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_02232016-725,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-03-08,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_03082016-737,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-03-22,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_03222016-753,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
2016-04-12,2016,Summit County Council,agendacenter,https://www.summitcountyutah.gov/AgendaCenter/ViewFile/Minutes/_04122016-771,scanned-image,Pre-Granicus era; image-only scanned PDF (no text layer). OCR-pending backfill.
