application_id,app_key,body_id,name,rep_title
1,Council|s|minutes/2020/2020-03-30/2020-04-01_city-council.md|2,1,,"moved approve Ordinance No. 20-09, amending section 13.19.010 of the City of Taylorsville Municipal Code: Site Specific Development District Regulations Part D- District Designation"
2,Council|s|minutes/2020/2020-03-30/2020-04-01_city-council.md|4,1,,"moved approve Ordinance No. 20-11, approving a zoning map amendment from residential single-family minimum 8,000 square foot lots to (R-1-8) to Site Specific Development Institutional- Temple (SSD-IN-Temple) for the property located at 2603 West 4700 South"
3,Council|s|minutes/2020/2020-03-30/2020-04-01_city-council.md|5,1,,"moved approve Resolution 20-08, approving the Development Agreement for the Church of Jesus Christ of Latter-Day Saints, Taylorsville Temple project"
4,Council|s|minutes/2020/2020-03-30/2020-04-01_city-council.md|6,1,,"moved approve Ordinance 20-12, approving a Zoning Text Amendment to the Taylorsville Municipal Code, Sections 13.07.010(B), Residential Development Standards; 13.20.060, Planned Unit Development (PUD) District; 13.20.070 Residential Multi-Family (RM) District; 13.24.080(B), Parking Space Requirements; 13.30.030(C), Application and Review Process; 13.30.110 Street Dedication, and 13.36, Definitions"
5,Council|s|minutes/2020/2020-05-04/2020-05-06_city-council.md|7,1,,moved recess the City Council meeting and convene as the Redevelopment Agency Board of Directors
6,Council|s|minutes/2020/2020-06-29/2020-07-01_city-council.md|6,1,,"moved adopt Ordinance No. 20-15, approving text amendments to Taylorsville Municipal Code Section 13.08.020(E): Permitted Land Use Matrix by the Commercial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development Districts, and Section 13.23.160: Alcoholic Beverages; Distance Requirements"
7,Council|s|minutes/2020/2020-08-03/2020-08-05_city-council.md|3,1,,"moved adopt Ordinance No. 20-16, approving a Zoning Map Amendment from Residential Single-Family Minimum 8,000 square foot lots (R-1-8) and Limited Commercial (LC) to Residential Multi- Family District, 8 Units per acre (RM-8) for the properties located at 3399 West 4700 South and 3397 West 4700 South respectively"
8,Council|s|minutes/2021/2021-05-03/2021-05-05_city-council.md|2,1,,"moved approve Ordinance No. 21-05, amending the General Plan Proposed Land Use Map for property located at 3815-3879 West 5400 South from RC to HDMU with the conditions that the Mayor is not authorized to sign the ordinance and it will not become effective unless and until the Development Agreement between the City of Taylorsville and the Thackeray Company is approved by the City Council and executed by both parties and the Thackeray Company has finalized purchase of the property. If these conditions are not satisfied on or before December 1, 2021, this ordinance shall not take effect and the "
9,Council|s|minutes/2021/2021-05-03/2021-05-05_city-council.md|3,1,,"moved approve Ordinance No. 21-06, adopting the SSD-X-West Point zoning classification for property located at 3815-3879 West 5400 South with the condition that the Mayor is not authorized to sign the ordinance and it will not become effective unless and until the Development Agreement between the City of Taylorsville and the Thackeray Company is approved by the City Council and executed by both parties and the Thackeray Company has finalized purchase of the property. If these conditions are not satisfied on or before December 1, 2021, this ordinance shall not take effect"
10,Council|s|minutes/2021/2021-05-03/2021-05-05_city-council.md|4,1,,"moved adopt Ordinance No. 21-07, amending the Taylorsville Zoning Map for property located at 3815-3879 West 5400 South from RC to SSD-X-West Point with the conditions that the Mayor is not authorized to sign the ordinance and it will not become effective unless and until the Development Agreement between the City of Taylorsville and the Thackeray Company is approved by the City Council and executed by both parties and the Thackeray Company has finalized purchase of the property. At the completion of the foresaid conditions, the Mayor will then be authorized to sign the ordinance. If these con"
