motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
1,1,1,1,moved adopt the Consent Agenda. Council Member Ernest Burgess,Other,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,7,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
2,1,1,2,"moved adopt Ordinance No. 20-01, as presented. Council Member Meredith Harker",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,18,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
3,1,1,3,"moved adopt Ordinance No. 20-02, as presented. Council Member Curt Cochran",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,13,7,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
4,1,1,4,"moved adopt Ordinance No. 20-03, as presented. Council Member Ernest Burgess",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,18,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
5,1,1,5,"moved adopt Ordinance No. 20-04, as presented. Council Member Ernest Burgess",Ordinance,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,7,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
6,1,1,6,moved adopt Resolution No. 20-01 as presented. Council Member Ernest Burgess,Resolution,5-0 Pass,Pass,council_vote,,approve,keyword,high,,,,5,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
7,1,1,7,moved recess the City Council Meeting and convene an RDA Board Meeting. Council Member Curt Cochran,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,0,minutes/2020/2020-01-06/2020-01-08_city-council.md
8,1,1,8,moved convene a Closed Session to discuss the sale or purchase of real property at 8:40 p.m. Council Member Ernest Burgess,Contract/Purchase,5-0 Pass,Pass,council_vote,,procedural,keyword,high,,,,5,13,1,minutes/2020/2020-01-06/2020-01-08_city-council.md
9,1,1,9,moved adjourn the Closed Session and the City Council Meeting. Council Member Curt Cochran,Procedural/Administrative,Unanimous Pass,Pass,council_vote,,procedural,keyword,high,,,,5,7,0,minutes/2020/2020-01-06/2020-01-08_city-council.md
10,2,1,1,moved appoint Jamie Brooks as the City Recorder. Council Member Armstrong,Appointment,5-0 Pass,Pass,council_vote,,,unclassified,low,,,,5,8,1,minutes/2020/2020-01-20/2020-01-22_city-council.md
