date,year,title,slug,path,source,source_url,format
2020-01-08,2020,City Council Meeting,city-council,minutes/2020/2020-01-06/2020-01-08_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/3943/637214359677770000,pdf-text
2020-01-10,2020,City Priorities Meeting,city-priorities-meeting,minutes/2020/2020-01-06/2020-01-10_city-priorities-meeting.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/3945/637214359424000000,pdf-text
2020-01-22,2020,City Council Meeting,city-council,minutes/2020/2020-01-20/2020-01-22_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/3994/637214359158070000,pdf-text
2020-02-05,2020,City Council Meeting,city-council,minutes/2020/2020-02-03/2020-02-05_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4022/637214358956630000,pdf-text
2020-02-19,2020,City Council Meeting,city-council,minutes/2020/2020-02-17/2020-02-19_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4088/637463092973900000,pdf-text
2020-03-04,2020,City Council Meeting,city-council,minutes/2020/2020-03-02/2020-03-04_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4213/637463090174600000,pdf-text
2020-04-01,2020,City Council Meeting,city-council,minutes/2020/2020-03-30/2020-04-01_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4279/637463078951270000,pdf-text
2020-04-15,2020,City Council Meeting,city-council,minutes/2020/2020-04-13/2020-04-15_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4364/637244469291470000,pdf-text
2020-04-29,2020,City Council Meeting,city-council,minutes/2020/2020-04-27/2020-04-29_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4366/637244470664770000,pdf-text
2020-05-06,2020,City Council Meeting,city-council,minutes/2020/2020-05-04/2020-05-06_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4452/637256565976570000,pdf-text
2020-05-20,2020,City Council Meeting,city-council,minutes/2020/2020-05-18/2020-05-20_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4488/637463076187870000,pdf-text
2020-06-03,2020,City Council Meeting,city-council,minutes/2020/2020-06-01/2020-06-03_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4542/637292771871130000,pdf-text
2020-06-17,2020,City Council Meeting,city-council,minutes/2020/2020-06-15/2020-06-17_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/4598/637463062616270000,pdf-text
2020-07-01,2020,City Council Meeting,city-council,minutes/2020/2020-06-29/2020-07-01_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5693/637463059944000000,pdf-text
2020-08-05,2020,City Council Meeting,city-council,minutes/2020/2020-08-03/2020-08-05_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5743/637463057123470000,pdf-text
2020-08-19,2020,City Council Meeting,city-council,minutes/2020/2020-08-17/2020-08-19_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5767/637347285994170000,pdf-text
2020-09-02,2020,City Council Meeting,city-council,minutes/2020/2020-08-31/2020-09-02_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5820/637463052145570000,pdf-text
2020-09-16,2020,City Council Meeting,city-council,minutes/2020/2020-09-14/2020-09-16_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5876/637377682706800000,pdf-text
2020-09-30,2020,City Council Meeting,city-council,minutes/2020/2020-09-28/2020-09-30_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5942/637463049316330000,pdf-text
2020-10-07,2020,City Council Meeting,city-council,minutes/2020/2020-10-05/2020-10-07_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5952/637463046615530000,pdf-text
2020-10-21,2020,City Council Meeting,city-council,minutes/2020/2020-10-19/2020-10-21_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/5950/637462987570130000,pdf-text
2020-11-04,2020,City Council Meeting,city-council,minutes/2020/2020-11-02/2020-11-04_city-council.md,civicplus,https://www.taylorsvilleut.gov/home/showpublisheddocument/6011/637463037635370000,pdf-text
