ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_type
20-01,2020-01-08,2020-01-08,General Plan Amendment Community Commercial to Low Density Resid,https://www.utah.gov/pmn/files/568203.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-01__568203.pdf,yes,,2020-01-08,2,high,meeting_material
20-02,2020-01-08,2020-01-08,General Plan Amendment Medium Density to Low Density,https://www.utah.gov/pmn/files/568205.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-02__568205.pdf,yes,,2020-01-08,3,high,meeting_material
20-03,2020-01-08,2020-01-08,Zoning Map Amendment from Limited Commercial to R-1-10,https://www.utah.gov/pmn/files/568207.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-03__568207.pdf,yes,,2020-01-08,4,high,meeting_material
20-04,2020-01-08,2020-01-08,Zoning Map Amendment from R-1-15 to R-1-10,https://www.utah.gov/pmn/files/568209.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-04__568209.pdf,yes,,2020-01-08,5,high,meeting_material
20-05,2020-02-05,2020-02-05,Amending Municipal Code Chapter 9.61.020 - Hours of Use of Off Leash Area,https://www.utah.gov/pmn/files/570613.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-05__570613.pdf,no,,2020-02-05,3,high,meeting_material
20-06,2020-07-01,2020-07-01,Municipal Code Amendments - Alcohol and Beer,https://www.utah.gov/pmn/files/615755.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-06__615755.pdf,no,,2020-07-01,4,high,meeting_material
20-07,2020-07-01,2020-07-01,Municipal Code Amendments - Business License Fees,https://www.utah.gov/pmn/files/615757.pdf,2026-07-06,text,pdftotext-layout,raw/ord_20-07__615757.pdf,no,,2020-07-01,5,high,meeting_material
20-09,2020-04-01,2020-04-01,Amending section 13.19.010 of the City of Taylorsville Municipal Code: Site Specific Development District Regulations Part D- District Desig,https://www.taylorsvilleut.gov/home/showpublisheddocument/4279/637463078951270000,2026-07-06,na,derived-from-minutes,,yes,,2020-04-01,2,within_source,none
20-10,2020-04-01,2020-04-01,The alternate adopting Chapter 13.41 of the City of Taylorsville Municipal Code: Site Specific Development Institutional-Temple (SSD-IN-Temp,https://www.taylorsvilleut.gov/home/showpublisheddocument/4279/637463078951270000,2026-07-06,na,derived-from-minutes,,yes,,2020-04-01,3,within_source,none
20-11,2020-04-01,2020-04-01,"Approving a zoning map amendment from residential single-family minimum 8,000 square foot lots to (R-1-8) to Site Specific Development Insti",https://www.taylorsvilleut.gov/home/showpublisheddocument/4279/637463078951270000,2026-07-06,na,derived-from-minutes,,yes,,2020-04-01,4,within_source,none
