commissioner,first_seen,last_seen,n_meetings
Anna Barbieri,2020-01-14,2020-12-08,10
David Wright,2020-01-14,2026-04-28,89
Don Quigley,2020-01-14,2025-12-16,81
Don Russell,2020-01-14,2026-04-28,89
Gordon Willardson,2020-01-14,2026-04-28,87
Kent Burggraaf,2020-01-14,2021-11-09,23
Lynette Wendel,2020-01-14,2025-11-18,75
Marc McElreath,2020-01-14,2026-04-28,89
David Young,2021-02-09,2026-04-28,64
Cindy Wilkey,2022-01-11,2026-04-28,64
Barbara Munoz,2025-06-10,2026-04-28,14
B. Murphy,2026-02-24,2026-04-28,4
