date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2023-03-01,2023,City Council Meeting,Council,1,moved appoint Debbie Barton to serve on the Taylorsville Arts Council,Appointment,4-0 Pass,Ernest Burgess,Meredith Harker,Anna Barbieri,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,1,moved appoint Debbie Barton to serve on the Taylorsville Arts Council,Appointment,4-0 Pass,Ernest Burgess,Meredith Harker,Meredith Harker,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,1,moved appoint Debbie Barton to serve on the Taylorsville Arts Council,Appointment,4-0 Pass,Ernest Burgess,Meredith Harker,Ernest Burgess,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,1,moved appoint Debbie Barton to serve on the Taylorsville Arts Council,Appointment,4-0 Pass,Ernest Burgess,Meredith Harker,Bob Knudsen,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,1,moved appoint Debbie Barton to serve on the Taylorsville Arts Council,Appointment,4-0 Pass,Ernest Burgess,Meredith Harker,Curt Cochran,Absent,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,2,"moved approve the minutes from the February 1, 2023 and February 15, 2023 City Council meetings",Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Meredith Harker,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,2,"moved approve the minutes from the February 1, 2023 and February 15, 2023 City Council meetings",Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Bob Knudsen,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,2,"moved approve the minutes from the February 1, 2023 and February 15, 2023 City Council meetings",Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Anna Barbieri,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,2,"moved approve the minutes from the February 1, 2023 and February 15, 2023 City Council meetings",Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Ernest Burgess,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,2,"moved approve the minutes from the February 1, 2023 and February 15, 2023 City Council meetings",Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Curt Cochran,Absent,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,3,moved adjourn,Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Ernest Burgess,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,3,moved adjourn,Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Meredith Harker,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,3,moved adjourn,Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Bob Knudsen,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,3,moved adjourn,Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Anna Barbieri,Aye,minutes/2023/2023-02-27/2023-03-01_city-council.md
2023-03-01,2023,City Council Meeting,Council,3,moved adjourn,Procedural/Administrative,4-0 Pass,Ernest Burgess,Anna Barbieri,Curt Cochran,Absent,minutes/2023/2023-02-27/2023-03-01_city-council.md
