session,bill_no,title,sponsor,relevance,bill_url
2015GS,HB0001,Higher Education Base Budget,"Rep. Grover, K.",,https://le.utah.gov/~2015/bills/static/HB0001.html
2015GS,HB0002,Public Education Budget Amendments,"Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0002.html
2015GS,HB0003,Current Fiscal Year Supplemental Appropriations,"Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0003.html
2015GS,HB0004,"Business, Economic Development, and Labor Base Budget","Rep. Pitcher, D.",,https://le.utah.gov/~2015/bills/static/HB0004.html
2015GS,HB0005,Retirement and Independent Entities Base Budget,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0005.html
2015GS,HB0006,Infrastructure and General Government Base Budget,"Rep. Froerer, G.",,https://le.utah.gov/~2015/bills/static/HB0006.html
2015GS,HB0007,"National Guard, Veterans' Affairs, and Legislature Base Budget","Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0007.html
2015GS,HB0008,State Agency and Higher Education Compensation Appropriations,"Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0008.html
2015GS,HB0011,Death Penalty Procedure Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0011.html
2015GS,HB0012,Utah Retirement System Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0012.html
2015GS,HB0013,Jail Reimbursement Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0013.html
2015GS,HB0014,Appropriations Limit and Mathematical Formula Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2015/bills/static/HB0014.html
2015GS,HB0015,Clean Fuel Amendments and Rebates,"Rep. Handy, S.",,https://le.utah.gov/~2015/bills/static/HB0015.html
2015GS,HB0016,Alcoholic Beverage Event Permit Amendments,"Rep. Oda, C.",,https://le.utah.gov/~2015/bills/static/HB0016.html
2015GS,HB0017,Motor Vehicle Emissions,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0017.html
2015GS,HB0018,Children's Hearing Aid Program Amendments,"Rep. Edwards, R.",,https://le.utah.gov/~2015/bills/static/HB0018.html
2015GS,HB0019,Insurance Comparison Tables,"Rep. Hawkes, T.",,https://le.utah.gov/~2015/bills/static/HB0019.html
2015GS,HB0020,Jury Duty Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2015/bills/static/HB0020.html
2015GS,HB0021,Department of Workforce Services Sunset Authorization,"Rep. Edwards, R.",,https://le.utah.gov/~2015/bills/static/HB0021.html
2015GS,HB0022,Tourism Marketing Performance Amendments,"Rep. Wilson, B.",,https://le.utah.gov/~2015/bills/static/HB0022.html
2015GS,HB0023,Insurance Licensee Amendments,"Rep. Stanard, J.",,https://le.utah.gov/~2015/bills/static/HB0023.html
2015GS,HB0024,Insurance Modifications,"Rep. Dunnigan, J.",,https://le.utah.gov/~2015/bills/static/HB0024.html
2015GS,HB0025,Water Law - Application Revisions,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0025.html
2015GS,HB0026,Amendments to Driver License Records,"Rep. Hutchings, E.",,https://le.utah.gov/~2015/bills/static/HB0026.html
2015GS,HB0027,Department of Corrections Retirement Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2015/bills/static/HB0027.html
2015GS,HB0028,Medicaid Management of Emergency Department Utilization,"Rep. Kennedy, M.",,https://le.utah.gov/~2015/bills/static/HB0028.html
2015GS,HB0029,Liquefied Petroleum Gas Board Amendments,"Rep. Cox, F.",,https://le.utah.gov/~2015/bills/static/HB0029.html
2015GS,HB0030,Math Teacher Training Program Amendments,"Rep. Edwards, R.",,https://le.utah.gov/~2015/bills/static/HB0030.html
2015GS,HB0031,Natural Gas Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2015/bills/static/HB0031.html
2015GS,HB0032,Local Government Disclosure and Campaign Finance Amendments,"Rep. Draxler, J.",,https://le.utah.gov/~2015/bills/static/HB0032.html
2015GS,HB0033,American Indian-alaskan Native Education Amendments,"Rep. Draxler, J.",,https://le.utah.gov/~2015/bills/static/HB0033.html
2015GS,HB0034,Personal Injury Damages Amendments,"Rep. McIff, K.",,https://le.utah.gov/~2015/bills/static/HB0034.html
2015GS,HB0035,Parent-time Schedule Amendments,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0035.html
2015GS,HB0036,Veterans Definition,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0036.html
2015GS,HB0037,Reauthorization of Administrative Rules,"Rep. Oda, C.",,https://le.utah.gov/~2015/bills/static/HB0037.html
2015GS,HB0038,Supplemental Savings Plan Amendments,"Rep. Cunningham, R.",,https://le.utah.gov/~2015/bills/static/HB0038.html
2015GS,HB0039,Emergency Placement of Children,"Rep. Anderson, Johnny",,https://le.utah.gov/~2015/bills/static/HB0039.html
2015GS,HB0040,Expungement Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2015/bills/static/HB0040.html
2015GS,HB0041,Local Economic Development Amendments,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0041.html
2015GS,HB0042,Annexation Amendments,"Rep. Westwood, J.",annexation,https://le.utah.gov/~2015/bills/static/HB0042.html
2015GS,HB0043,Water Rights - Change Application Amendments,"Rep. McIff, K.",,https://le.utah.gov/~2015/bills/static/HB0043.html
2015GS,HB0044,Surface Leases Procedure Amendments,"Rep. McKell, M.",,https://le.utah.gov/~2015/bills/static/HB0044.html
2015GS,HB0045,Local Governing Body Amendments,"Rep. Cunningham, R.",,https://le.utah.gov/~2015/bills/static/HB0045.html
2015GS,HB0046,Mechanics Lien Revisions,"Rep. McKell, M.",,https://le.utah.gov/~2015/bills/static/HB0046.html
2015GS,HB0047,Protection of Water Rights,"Rep. McIff, K.",,https://le.utah.gov/~2015/bills/static/HB0047.html
2015GS,HB0048,Powdered Alcohol Amendments,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0048.html
