rollcall_id,session,bill_no,date,chamber,committee,body_name,vote_type,motion_desc,action,result,yeas,nays,absent,recorded,source_url
REC_2025GS_H_175,2025GS,SB0023,2/5/2025,House,,House,floor,Substitute 1,,Pass,68,0,7,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=175&house=H
REC_2025GS_H_277,2025GS,HB0256,2/10/2025,House,,House,floor,Substitute 1,,Pass,48,23,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=277&house=H
REC_2025GS_H_293,2025GS,HB0175,2/10/2025,House,,House,floor,Housing Construction Amendments,,Pass,71,1,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=293&house=H
REC_2025GS_H_298,2025GS,HB0266,2/11/2025,House,,House,floor,Veteran Housing Amendments,,Pass,74,0,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=298&house=H
REC_2025GS_H_343,2025GS,HB0255,2/12/2025,House,,House,floor,Substitute 1,,Pass,73,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=343&house=H
REC_2025GS_H_518,2025GS,HB0225,2/19/2025,House,,House,floor,School Zone Speeding Amendments,,Pass,45,26,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=518&house=H
REC_2025GS_H_570,2025GS,HB0037,2/20/2025,House,,House,floor,Substitute 1,,Pass,58,9,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=570&house=H
REC_2025GS_H_713,2025GS,HB0368,2/24/2025,House,,House,floor,Substitute 2,,Pass,53,13,9,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=713&house=H
REC_2025GS_H_716,2025GS,HB0360,2/24/2025,House,,House,floor,Substitute 1,,Pass,51,16,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=716&house=H
REC_2025GS_H_768,2025GS,HB0295,2/25/2025,House,,House,floor,Substitute 3,,Pass,44,20,11,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=768&house=H
REC_2025GS_H_867,2025GS,HB0435,2/26/2025,House,,House,floor,Substitute 1,,Pass,67,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=867&house=H
REC_2025GS_H_1054,2025GS,HB0550,3/3/2025,House,,House,floor,Building Permit Fee Prohibition Amendments,,Pass,69,0,6,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=1054&house=H
REC_2025GS_H_1086,2025GS,HB0540,3/4/2025,House,,House,floor,Substitute 1,,Pass,53,19,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=1086&house=H
