rollcall_id,session,bill_no,legislator_verbatim,chamber,district,party,vote_value
REC_2025GS_H_175,2025GS,SB0023,"Abbott, N.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Acton, C.K.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Albrecht, C.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Auxier, T.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Ballard, M.G.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Barlow, S.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Bennion, G.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Bolinder, B.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Brooks, W.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Burton, J.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Chew, S.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Christofferson, K.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Clancy, T.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Cutler, P.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Dailey-Provost, J.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Defay, A.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Dominguez, R.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Dunnigan, J.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Eliason, S.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Elison, J.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Fiefia, D.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Fitisemanu, J.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Gricius, S.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Gwynn, M.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Hall, K.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Hayes, S.",House,,,Yea
REC_2025GS_H_175,2025GS,SB0023,"Hollins, S.",House,,,Yea
