candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-18,Google,Google,Ads,500.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,174,high,utahcounty_schedab/text,0,p6:l174:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-18,Facebook,Facebook,Ads,111.59,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,175,high,utahcounty_schedab/text,0,p6:l175:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-18,Facebook,Facebook,Ads,5.55,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,176,high,utahcounty_schedab/text,0,p6:l176:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-20,Gurus,Gurus,Meeting,18.32,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,177,high,utahcounty_schedab/text,0,p6:l177:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-21,Steve Fisher,Steve Fisher,Website/Design,500.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,178,high,utahcounty_schedab/text,0,p6:l178:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-22,Milagros,Milagros,Meeting,68.42,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,179,high,utahcounty_schedab/text,0,p6:l179:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-22,Oteo,Oteo,Meeting,81.42,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,180,high,utahcounty_schedab/text,0,p6:l180:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-22,Richard Jaussi,Richard Jaussi,Consulting Services,1200.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,181,high,utahcounty_schedab/text,0,p6:l181:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-25,Topgolf,Topgolf,Event for Volunteers,230.89,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,182,high,utahcounty_schedab/text,0,p6:l182:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-26,NY Times,NY Times,News & Education,21.50,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,183,high,utahcounty_schedab/text,0,p6:l183:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-26,Chevron,Chevron,Transportation,12.32,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,184,high,utahcounty_schedab/text,0,p6:l184:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-26,Brian and Kim Santiago,Brian and Kim Santiago,In‐kind Food & Event Space,795.77,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,185,high,utahcounty_schedab/text,0,p6:l185:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-27,CVS,Cvs,Supplies,4.37,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,186,high,utahcounty_schedab/text,0,p6:l186:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-27,Ezra Nair,Ezra Nair,Campaign Services,1200.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,187,high,utahcounty_schedab/text,0,p6:l187:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-27,Peyton Reeve,Peyton Reeve,Campaign Night Event,100.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,188,high,utahcounty_schedab/text,0,p6:l188:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-28,Chick‐fil‐A,Chick‐fil‐A,Meeting,11.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,189,high,utahcounty_schedab/text,0,p6:l189:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-28,Uhaul,Uhaul,Rental for Campaign Cleanup,106.39,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,190,high,utahcounty_schedab/text,0,p6:l190:c64-72
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-28,Uhaul,Uhaul,Supplies,9.71,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,191,high,utahcounty_schedab/text,0,p6:l191:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-28,JCWs,JCWs,Meeting,19.92,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,192,high,utahcounty_schedab/text,0,p6:l192:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-28,Google,Google,Ads,64.58,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,193,high,utahcounty_schedab/text,0,p6:l193:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-29,Gurus,Gurus,Meeting,19.05,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,194,high,utahcounty_schedab/text,0,p6:l194:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-06-29,Squarespace Inc.,Squarespace Inc,Domain,16.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,195,high,utahcounty_schedab/text,0,p6:l195:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-03,Google,Google,Ads,10.68,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,196,high,utahcounty_schedab/text,0,p6:l196:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-10,Regus,Regus,Office & Printing,383.15,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,197,high,utahcounty_schedab/text,0,p6:l197:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-18,Facebook,Facebook,Ads,271.69,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,198,high,utahcounty_schedab/text,0,p6:l198:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-18,Facebook,Facebook,Ads,17.64,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,199,high,utahcounty_schedab/text,0,p6:l199:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-24,NY Times,NY Times,News & Education,16.50,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,200,high,utahcounty_schedab/text,0,p6:l200:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-07-30,Squarespace Inc.,Squarespace Inc,Domain,16.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,201,high,utahcounty_schedab/text,0,p6:l201:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-08-02,Google,Google,Ads,10.68,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,202,high,utahcounty_schedab/text,0,p6:l202:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-08-08,Regus,Regus,Office & Printing,459.39,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,203,high,utahcounty_schedab/text,0,p6:l203:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-08-20,NY Times,NY Times,News & Education,21.50,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,204,high,utahcounty_schedab/text,0,p6:l204:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-08-23,Wall Street Journal,Wall Street Journal,News & Education,37.99,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,205,high,utahcounty_schedab/text,0,p6:l205:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-08-29,Squarespace Inc.,Squarespace Inc,Domain,16.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,206,high,utahcounty_schedab/text,0,p6:l206:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-09-04,Google,Google,Ads,10.68,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,207,high,utahcounty_schedab/text,0,p6:l207:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-09-08,Regus,Regus,Office & Printing,421.34,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,208,high,utahcounty_schedab/text,0,p6:l208:c65-73
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-09-18,NY Times,NY Times,News & Education,21.50,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,209,high,utahcounty_schedab/text,0,p6:l209:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-09-27,Wall Street Journal,Wall Street Journal,News & Education,37.99,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,210,high,utahcounty_schedab/text,0,p6:l210:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-10-01,Squarespace Inc.,Squarespace Inc,Domain,16.00,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,211,high,utahcounty_schedab/text,0,p6:l211:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-10-02,Google,Google,Ads,10.68,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,212,high,utahcounty_schedab/text,0,p6:l212:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-10-07,Anedot,Anedot,Transaction Fees,14.50,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,213,high,utahcounty_schedab/text,0,p6:l213:c65-75
Tanner Ainge,County Commission Seat A,,2018,2018-10-29,General - Ainge,2018-10-09,Regus,Regus,Office & Printing,348.90,False,True,raw/2018/2018_TAinge.pdf,raw/2018/2018_TAinge.pdf|r1,214,high,utahcounty_schedab/text,0,p6:l214:c65-73
