date,body,dev_type,title,matter,location,outcome,names_recorded,motion_id,minutes_path,applicant,from_zone,to_zone,motion_no
2025-01-21,PlanningCommission,ordinance_text_amendment,"Timpanogos Special Service District - Proposed Utah County Land Use Ordinance text amendment to Section 12.56, and any other applicable section, to include bio-solids handling operations owned and operated by a governmental entity as a permitted use in the Public Facilities (PF) Zone (continued from December 17, 2024 meeting)",,,"Continued to February 18, 2025",true,11149,land_use/minutes/2025/2025-01-21_planning_commission.md,Timpanogos Special Service District,,PF,4
2025-01-21,PlanningCommission,general_plan_amendment,"Timpanogos Special Service District - Proposed amendment of the Utah County General Plan Land Use Element Map from Agricultural to Manufacturing, and amendment of the Official Utah County Zone Map from the Residential Agricultural (RA-5) and Mining and Grazing (M&G-1) Zones to the Public Facilities (PF) Zone for property located in Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area of unincorporated Utah County (continued from December 17, 2024 meeting)",,"Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area","Continued to February 18, 2025",true,11150,land_use/minutes/2025/2025-01-21_planning_commission.md,Timpanogos Special Service District,RA-5 and M&G-1,PF,5
2025-01-21,PlanningCommission,ordinance_text_amendment,"Robert and Leslie Hight - Proposed Utah County Land Use Ordinance text amendment to Chapter 4.44 (Frontage on an Approved Public Street Required, Exceptions), and any other applicable sections, to amend requirements for lots or parcels separated from official frontage by railroad right-of-way",,Countywide (prompted by property in Spanish Fork Canyon),Recommend approval (with modifications to Sections 4.44.A.8.H and 4.44.A.8.D),true,11151,land_use/minutes/2025/2025-01-21_planning_commission.md,Robert and Leslie Hight,,,6
2025-01-21,PlanningCommission,ordinance_text_amendment,"J L.C. - Proposed Utah County Land Use Ordinance text amendment to Sections 12.08.D, 12.08.E, and any other applicable section, to reduce the minimum area required for a single-family dwelling from 5 acres to 2.5 acres and reduce the minimum lot/parcel width required for a single-family dwelling from 250 feet to 125 feet in the Residential Agricultural (RA-5) Zone",,,Continued to February 18th meeting,true,11152,land_use/minutes/2025/2025-01-21_planning_commission.md,J L.C.,RA-5,,7
2025-01-21,PlanningCommission,ordinance_text_amendment,"Utah County Planning Commission - Proposed Utah County Land Use Ordinance text amendment to Sections 2.08, 6.16, and any other applicable section, related to assigning administration of special flood hazard areas in the unincorporated areas to the Engineering Division of the Utah County Public Works Department",,Unincorporated Utah County,Recommend approval,true,11153,land_use/minutes/2025/2025-01-21_planning_commission.md,Utah County Planning Commission,,,8
2025-02-18,PlanningCommission,ordinance_text_amendment,Timpanogos Special Service District - (Applicant has withdrawn this application) Proposed Utah County Land Use Ordinance text amendment to Section 12.56 to include the storage and sale of Class A bio-solids owned and operated by a governmental entity as a permitted use in the Public Facilities (PF) Zone (continued from 12/17/24 and 1/21/25 meetings),,,Withdrawn by applicant (no action),true,,land_use/minutes/2025/2025-02-18_planning_commission.md,Timpanogos Special Service District,,PF,
2025-02-18,PlanningCommission,general_plan_amendment,"Timpanogos Special Service District - (Applicant has withdrawn this application) Proposed amendment of the Utah County General Plan Land Use Element Map from Agricultural to Manufacturing, and amendment of the Official Utah County Zone Map from RA-5 and M&G-1 to the Public Facilities (PF) Zone for property located in Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area (continued from 12/17/24 and 1/21/25 meetings)",,"Sections 5 and 8, T9S R1W, approximately 48 acres, Chimney Rock Pass Road area",Withdrawn by applicant (no action),true,,land_use/minutes/2025/2025-02-18_planning_commission.md,Timpanogos Special Service District,RA-5 and M&G-1,PF,
2025-02-18,PlanningCommission,ordinance_text_amendment,"J L.C. - Proposed Utah County Land Use Ordinance text amendment to Sections 12.08.D, 12.08.E, to reduce the minimum area required for a single-family dwelling from 5 acres to 2.5 acres and reduce the minimum lot/parcel width from 250 feet to 125 feet in the Residential Agricultural (RA-5) Zone (continued from 1/21/25 meeting)",,,Recommend denial,true,11160,land_use/minutes/2025/2025-02-18_planning_commission.md,J L.C.,RA-5,,3
2025-02-18,PlanningCommission,ordinance_text_amendment,Brad Ling - Proposed Utah County Land Use Ordinance text amendment to Section 12.32.B related to adding truck and trailer leasing accessory to commercial storage units as a permitted use in the Neighborhood Commercial (NC-1) Zone,,Countywide (site expected to annex to Spanish Fork City),Recommend approval (with modifications),true,11161,land_use/minutes/2025/2025-02-18_planning_commission.md,Brad Ling (representing U-Haul),NC-1,,4
2025-02-18,PlanningCommission,rezone,"CW & CW LP - Proposed amendment of the Official Utah County Zone Map from the Critical Environment (CE-1) Zone to the Residential Agricultural (RA-5) for property located in Section 13, T9S R1E, approximately 110 acres, West Mountain area of unincorporated Utah County",,"Section 13, T9S R1E, approximately 110 acres, West Mountain area",Recommend approval,true,11162,land_use/minutes/2025/2025-02-18_planning_commission.md,CW & CW LP,CE-1,RA-5,5
