year,election_type,city,contest,sovc_first_choice_contest,in_sovc,seats,primary_slug,all_slugs,final_winners,final_source,confidence,note
2021,municipal general,Elk Ridge,Elk Ridge Mayor,Elk Ridge Mayor 1st Choice,rank_position_columns,1,21g_er_m_u4,21g_er_m_u4,ROBERT HADDOCK,rcvis (county-linked),high,"3 candidates; Haddock elected round 2. rcvis slug from the county's own 2021RankedResults.asp (Wayback 2021-11-23)."
2021,municipal general,Elk Ridge,Elk Ridge City Council,Elk Ridge City Council 1st Choice,rank_position_columns,2,,21g_er_cc_1_u4; 21g_er_cc_2_u4,TANYA WILLIS; JARED PETERSON,county summary PDF (2021_General_PDF),high,"Only 2 candidates for 2 seats — both elected by construction. The county-linked rcvis pages (er_cc_1/er_cc_2) are dead (404, no Wayback capture); the county's official 2021 summary PDF prints the tabulation (WILLIS 684 / PETERSON 539, 'Two Seats')."
2021,municipal general,Genola,Genola Mayor,Genola Mayor 1st Choice,rank_position_columns,1,,21g_ge_m_u4,MARTY LARSON,county summary PDF (2021_General_PDF),high,"2 candidates; county summary PDF prints the final (LARSON 279 / MURDOCH 114, 'One Seat'). County-linked rcvis page dead (404, no Wayback capture)."
2021,municipal general,Genola,Genola City Council,Genola City Council 1st Choice,rank_position_columns,2,21g_ge_cc_1_u4,21g_ge_cc_1_u4; 21g_ge_cc_2_u4,HALE ROBISON; GRANT LUNDBERG,rcvis (county-linked),high,"Sequential single-seat tabulations: seat 1 Robison (round 1), seat 2 Lundberg."
2021,municipal general,Lehi,Lehi Mayor,Lehi Mayor 1st Choice,rank_position_columns,1,,21g_le_m_u4,MARK I. JOHNSON,county summary PDF (2021_General_PDF),high,"2 candidates; county summary PDF prints the final (JOHNSON 6994 61.95% / RIDDLE 4295, 'One Seat'). County-linked rcvis page dead (404, no Wayback capture)."
2021,municipal general,Lehi,Lehi City Council,Lehi City Council 1st Choice,rank_position_columns,2,21g_le_cc_1_u4,21g_le_cc_1_u4; 21g_le_cc_2_u4,CHRIS CONDIE; PAUL HANCOCK,rcvis (county-linked),high,"9 candidates (SOVC carries 1st..9th Choice rank-position columns); seat 1 Condie (8 rounds), seat 2 Hancock (7 rounds)."
2021,municipal general,Springville,Springville Mayor,Springville Mayor 1st Choice,rank_position_columns,1,21g_sp_m_u4,21g_sp_m_u4,MATT PACKARD,rcvis (county-linked),high,"Packard elected round 1 (majority of first choices)."
2021,municipal general,Springville,Springville City Council (4 year),Springville City Council (4 year) 1st Choice,rank_position_columns,2,21g_sp_cc4y_1_u4,21g_sp_cc4y_1_u4; 21g_sp_cc4y_2_u4,MICHAEL SNELSON; CRAIG JENSEN,rcvis (county-linked),high,"Seat 1 Snelson (6 rounds), seat 2 Jensen (5 rounds)."
2021,municipal general,Springville,Springville City Council (2 year),Springville City Council (2 year) 1st Choice,rank_position_columns,1,21g_sp_cc2y_u4,21g_sp_cc2y_u4,CHRIS SORENSEN,rcvis (county-linked),high,"Sorensen elected round 2."
2021,municipal general,Vineyard,Vineyard Mayor,Vineyard Mayor 1st Choice,rank_position_columns,1,21g_vi_m_u4,21g_vi_m_u4,JULIE FULLMER,rcvis (county-linked),high,"Fullmer elected round 1."
