round,candidate,votes,status
1,MICHELLE STALLINGS,1884,
1,HEATHER NEWALL,1567,
1,NICOLE KUNZE,1275,
1,KENNETH ROBERTS,933,
1,K. CASEY GLADE,593,eliminated
1,Inactive Ballots,0,
2,MICHELLE STALLINGS,2192,
2,HEATHER NEWALL,1655,
2,NICOLE KUNZE,1350,
2,KENNETH ROBERTS,1035,eliminated
2,Inactive Ballots,20,
3,MICHELLE STALLINGS,2462,
3,HEATHER NEWALL,1958,
3,NICOLE KUNZE,1672,eliminated
3,Inactive Ballots,160,
4,MICHELLE STALLINGS,2983,elected
4,HEATHER NEWALL,2832,
4,Inactive Ballots,437,
