round,candidate,votes,status
1,BRIAN V. HULET,597,
1,RYAN ROWLEY,561,
1,LACEE MAE SMITH,238,
1,ANNE MOSS,237,
1,TYLER WILLIAM MOORE,165,
1,EASTON BRADY,150,
1,KIRK BEECHER,144,
1,TEANCUM J. CLARK,98,
1,CARL BRINES,85,eliminated
1,Inactive Ballots,0,
2,BRIAN V. HULET,611,
2,RYAN ROWLEY,576,
2,ANNE MOSS,249,
2,LACEE MAE SMITH,249,
2,TYLER WILLIAM MOORE,169,
2,EASTON BRADY,156,
2,KIRK BEECHER,156,
2,TEANCUM J. CLARK,108,eliminated
2,Inactive Ballots,1,
3,BRIAN V. HULET,635,
3,RYAN ROWLEY,593,
3,LACEE MAE SMITH,266,
3,ANNE MOSS,263,
3,TYLER WILLIAM MOORE,182,
3,EASTON BRADY,170,
3,KIRK BEECHER,160,eliminated
3,Inactive Ballots,6,
4,BRIAN V. HULET,677,
4,RYAN ROWLEY,644,
4,ANNE MOSS,284,
4,LACEE MAE SMITH,280,
4,TYLER WILLIAM MOORE,196,
4,EASTON BRADY,183,eliminated
4,Inactive Ballots,11,
5,BRIAN V. HULET,709,
5,RYAN ROWLEY,690,
5,LACEE MAE SMITH,327,
5,ANNE MOSS,319,
5,TYLER WILLIAM MOORE,208,eliminated
5,Inactive Ballots,22,
6,BRIAN V. HULET,776,
6,RYAN ROWLEY,726,
6,LACEE MAE SMITH,370,
6,ANNE MOSS,363,eliminated
6,Inactive Ballots,40,
7,BRIAN V. HULET,864,
7,RYAN ROWLEY,860,
7,LACEE MAE SMITH,492,eliminated
7,Inactive Ballots,59,
8,RYAN ROWLEY,1094,elected
8,BRIAN V. HULET,1022,
8,Inactive Ballots,159,
