round,candidate,votes,status
1,PAUL HANCOCK,2986,
1,NICOLE KUNZE,1580,
1,MICHELLE MILES,1543,
1,LORI MCINTOSH LE,1304,
1,AARON BULLEN,1277,
1,CAMI PURTSCHERT,1153,
1,MONTANE C HAMILTON,596,
1,ETHAN M. ERICKSON,402,eliminated
1,Inactive Ballots,0,
2,PAUL HANCOCK,3034,
2,NICOLE KUNZE,1624,
2,MICHELLE MILES,1607,
2,AARON BULLEN,1371,
2,LORI MCINTOSH LE,1328,
2,CAMI PURTSCHERT,1238,
2,MONTANE C HAMILTON,619,eliminated
2,Inactive Ballots,20,
3,PAUL HANCOCK,3176,
3,NICOLE KUNZE,1714,
3,MICHELLE MILES,1694,
3,LORI MCINTOSH LE,1461,
3,AARON BULLEN,1434,
3,CAMI PURTSCHERT,1335,eliminated
3,Inactive Ballots,27,
4,PAUL HANCOCK,3404,
4,NICOLE KUNZE,2090,
4,MICHELLE MILES,1889,
4,LORI MCINTOSH LE,1699,
4,AARON BULLEN,1673,eliminated
4,Inactive Ballots,86,
5,PAUL HANCOCK,3684,
5,MICHELLE MILES,2707,
5,NICOLE KUNZE,2351,
5,LORI MCINTOSH LE,1892,eliminated
5,Inactive Ballots,207,
6,PAUL HANCOCK,4342,
6,MICHELLE MILES,3166,
6,NICOLE KUNZE,3007,eliminated
6,Inactive Ballots,326,
7,PAUL HANCOCK,5867,elected
7,MICHELLE MILES,4434,
7,Inactive Ballots,540,
