round,candidate,votes,status
1,MICHAEL SNELSON,1803,
1,CRAIG JENSEN,937,
1,CRAIG CONOVER,895,
1,XIMENA M. BISHOP,893,
1,MARCIA CONOVER-HARRIS,528,
1,DALE WATSON,511,
1,AMANDA MILLER,464,eliminated
1,Inactive Ballots,0,
2,MICHAEL SNELSON,1852,
2,CRAIG JENSEN,985,
2,XIMENA M. BISHOP,965,
2,CRAIG CONOVER,938,
2,MARCIA CONOVER-HARRIS,663,
2,DALE WATSON,579,eliminated
2,Inactive Ballots,49,
3,MICHAEL SNELSON,2041,
3,CRAIG JENSEN,1100,
3,XIMENA M. BISHOP,1079,
3,CRAIG CONOVER,1024,
3,MARCIA CONOVER-HARRIS,709,eliminated
3,Inactive Ballots,78,
4,MICHAEL SNELSON,2149,
4,CRAIG CONOVER,1332,
4,XIMENA M. BISHOP,1275,
4,CRAIG JENSEN,1172,eliminated
4,Inactive Ballots,103,
5,MICHAEL SNELSON,2719,
5,CRAIG CONOVER,1644,
5,XIMENA M. BISHOP,1495,eliminated
5,Inactive Ballots,173,
6,MICHAEL SNELSON,3576,elected
6,CRAIG CONOVER,2163,
6,Inactive Ballots,292,
