year,view,name,ts,statuscode,mime,original
0,674,2016-FINAL-Vineyard-Audit-Report,20200815164348,200,application/pdf,http://www.vineyardutah.org/DocumentCenter/View/674/2016-FINAL-Vineyard-Audit-Report
0,698,Vineyard-2016-Water-Quality-Report,20191020130921,200,application/pdf,http://www.vineyardutah.org:80/DocumentCenter/View/698/Vineyard-2016-Water-Quality-Report?bidId=
0,1765,Vineyard-2018-Water-Quality-Report,20190823200659,200,application/pdf,http://vineyardutah.org/DocumentCenter/View/1765/Vineyard-2018-Water-Quality-Report
0,2091,Vineyard-2019-Water-Quality-Report,20200804030931,200,application/pdf,http://vineyardutah.org/DocumentCenter/View/2091/Vineyard-2019-Water-Quality-Report
0,2336,Vineyard-2020-Water-Quality-Report,20210802161001,200,application/pdf,https://vineyardutah.org/DocumentCenter/View/2336/Vineyard-2020-Water-Quality-Report
0,2664,2021-Vineyard-Audit-Report-,20220630202503,200,application/pdf,https://vineyardutah.org/DocumentCenter/View/2664/2021-Vineyard-Audit-Report-
0,2867,2021-Water-Quality-Report,20230119231449,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://www.vineyardutah.org/DocumentCenter/View/2867/2021-Water-Quality-Report
0,3131,Permit-Report-2023,20231212054154,301,text/html,https://vineyardutah.org/DocumentCenter/View/3131/Permit-Report-2023
0,3158,2022-Vineyard-City-Audit-Report,20240304130947,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/3158/2022-Vineyard-City-Audit-Report
2015,242,Wayne-T-Holdaway-Primary-Financial-Disclosure-Report-PDF,20210810144424,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/242/Wayne-T-Holdaway-Primary-Financial-Disclosure-Report-PDF?bidId=
2015,244,Sean-Fernandez-Primary-Financial-Disclosure-Report-PDF,20210810145654,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/244/Sean-Fernandez-Primary-Financial-Disclosure-Report-PDF?bidId=
2015,247,Nathan-Riley-Financial-Disclosure-Report-PDF,20210810144523,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/247/Nathan-Riley-Financial-Disclosure-Report-PDF?bidId=
2015,249,James-Booth-Primary-Financial-Disclosure-Report-PDF,20210810145702,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/249/James-Booth-Primary-Financial-Disclosure-Report-PDF?bidId=
2015,250,G-Tyce-Flake-Primary-Financial-Disclosure-Report-PDF,20210810145620,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/250/G-Tyce-Flake-Primary-Financial-Disclosure-Report-PDF?bidId=
2015,253,Chris-Judd-Primary-Financial-Disclosure-Report-PDF,20210810144442,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/253/Chris-Judd-Primary-Financial-Disclosure-Report-PDF?bidId=
2015,274,Wayne-T-Holdaway-Financial-Report-PDF,20210809173122,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/274/Wayne-T-Holdaway-Financial-Report-PDF?bidId=
2015,275,Wayne-T-Holdaway-financial-report-PDF,20210809173112,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/275/Wayne-T-Holdaway-financial-report-PDF?bidId=
2015,277,simpson-financial-report2-PDF,20210809171626,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/277/simpson-financial-report2-PDF?bidId=
2015,278,simpson-financial-report-PDF,20210809171644,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/278/simpson-financial-report-PDF?bidId=
2015,280,Randy-E-Farnworth-Financial-Report-2-PDF,20210809171526,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/280/Randy-E-Farnworth-Financial-Report-2-PDF?bidId=
2015,281,Randy-E-Farnworth-Financial-Report-PDF,20210809171508,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/281/Randy-E-Farnworth-Financial-Report-PDF?bidId=
2015,283,Julie-Fullmer-Financial-Report-2-PDF,20210809171549,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/283/Julie-Fullmer-Financial-Report-2-PDF?bidId=
2015,284,Julie-Fullmer-Financial-Report-PDF,20210809171541,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/284/Julie-Fullmer-Financial-Report-PDF?bidId=
2015,287,Jeff-R-Gillespie-Financial-Report-PDF,20210809173036,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/287/Jeff-R-Gillespie-Financial-Report-PDF?bidId=
2015,290,Dale-E-Goodman-Financial-Report-2-PDF,20210809171614,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/290/Dale-E-Goodman-Financial-Report-2-PDF?bidId=
2015,291,Dale-E-Goodman-Financial-Report-PDF,20210809171603,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/291/Dale-E-Goodman-Financial-Report-PDF?bidId=
2017,943,Herring-Shawn-Scott---Elimination-Financial-Disclosure-Form-92017,20210810174026,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/943/Herring-Shawn-Scott---Elimination-Financial-Disclosure-Form-92017?bidId=
2017,949,Demographic-report-of-Vineyard,20180829110147,200,application/pdf,http://www.vineyardutah.org/DocumentCenter/View/949/Demographic-report-of-Vineyard?bidId=
2017,1004,Shawn-Herring---General-Financial-Disclosure-Statement,20210810173941,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1004/Shawn-Herring---General-Financial-Disclosure-Statement?bidId=
2017,1005,Farnworth-Randy---General-Financial-Disclosure-Statement,20210810173916,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1005/Farnworth-Randy---General-Financial-Disclosure-Statement?bidId=
2017,1006,Judd-Chris---General-Financial-Disclosure-Statement,20210810173803,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1006/Judd-Chris---General-Financial-Disclosure-Statement?bidId=
2017,1010,Earnest-John---General-Financial-Disclosure,20210810172152,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1010/Earnest-John---General-Financial-Disclosure?bidId=
2017,1012,Mehner-Kevin---General-Financial-Disclosure-Statement,20210810173811,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1012/Mehner-Kevin---General-Financial-Disclosure-Statement?bidId=
2017,1014,Fullmer-Julie---General-Financial-Disclosure-Statement,20210810173839,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1014/Fullmer-Julie---General-Financial-Disclosure-Statement?bidId=
2017,1038,Judd-Chris---Final-2017-Election-Financial-Disclosure-Statement,20210810173807,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1038/Judd-Chris---Final-2017-Election-Financial-Disclosure-Statement?bidId=
2017,1054,Fullmer---Final-Financial-Disclosure-Statement,20210810173855,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1054/Fullmer---Final-Financial-Disclosure-Statement?bidId=
2017,1055,Farnworth---Final-Financial-Dislosure-Statement,20210810173925,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1055/Farnworth---Final-Financial-Dislosure-Statement?bidId=
2017,1056,Earnest-Final-Financial-Statement,20210810173759,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1056/Earnest-Final-Financial-Statement?bidId=
2017,1060,Herring---Final-Municipal-Campaign-Financial-Disclosure-Form,20210810174011,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1060/Herring---Final-Municipal-Campaign-Financial-Disclosure-Form?bidId=
2017,1068,Mehner---Final-Financial-Discloure-Statement,20210810173825,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1068/Mehner---Final-Financial-Discloure-Statement?bidId=
2017,1175,Vineyard-Demographic-Report,20210421143514,200,application/pdf,https://vineyardutah.org/DocumentCenter/View/1175/Vineyard-Demographic-Report
2019,1862,Vineyard-2018-Water-Quality-Report,20191219052308,200,application/pdf,http://www.vineyardutah.org:80/DocumentCenter/View/1862/Vineyard-2018-Water-Quality-Report
2019,1863,Jenkins---General-Election-Campaign-Financial-Statement-,20210118083608,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1863/Jenkins---General-Election-Campaign-Financial-Statement-
2019,1867,Hernandez---General-Election-Campaign-Financial-Statement,20210118082311,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1867/Hernandez---General-Election-Campaign-Financial-Statement
2019,1868,Keith-Kuder---General-Election-Campaign-Financial-Statement,20210118063505,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1868/Keith-Kuder---General-Election-Campaign-Financial-Statement
2019,1870,Flake-General-Election-Finacial-Campaign-Disclosure-Statement,20210118062143,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1870/Flake-General-Election-Finacial-Campaign-Disclosure-Statement
