referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
6,medium,subject,Council,PlanningCommission,21,264,2022-09-07,"APPROVE THE JIFFY LUBE SITE PLAN AS REQUESTED BY ELLIOTT SMITH WITH THE PROPSED SIX CONDITIONS • THE APPLICANT PAYS ANY OUTSTANDING FEES AND MAKES ANY REDLINE CORRECTIONS. • THE APPLICANT IS SUBJECT TO ALL FEDERAL, STATE, AND LOCAL LAWS. • THE LANDSCAPING ALONG GENEVA ROAD MUST BE IN ACCORDANCE W...",132,2022-09-28,"APPROVE THE HOLDAWAY FIELDS PHASE 1 FINAL PLAT APPLICATION, AS REQUESTED BY RYAN BYBEE (WITH CADENCE HOMES), WITH THE PROPOSED CONDITIONS PRESENTED BY STAFF AND COUNSEL: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES AND MAKES ANY REDLINE CORRECTIONS. 2. THE APPLICANT IS SUBJECT TO ALL FEDERAL, STATE...",,0.571,
1,medium,subject,Council,PlanningCommission,0,234,2020-04-01,RECOMMEND APPROVAL OF THE PRELIMINARY AND FINAL YARD C PLAT WITH CONDITIONS AS RECOMMENDED BY STAFF. CONDITIONS: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT. 3. ALL CITY AND COUNTY REQUIREMENTS WILL NEED TO BE MET...,30,2020-04-01,"APPROVE BUSINESS ITEM 4.4, 1600 NORTH EXTENSION ROAD DEDICATION FINAL PLAT, ALONG WITH NOTED REQUIREMENTS BY STAFF. CONDITIONS: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES. 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT",,0.574,
8,medium,subject,Council,PlanningCommission,0,284,2023-12-06,RECOMMEND APPROVAL OF ORDINANCE 2023-30 MEDICAL AND COMMERCIAL ZONING USES TO THE CITY COUNCIL WITH THE FOLLOWING AMENDMENTS: THE HELIPAD AND VERTIPORT AS CONDITIONAL USE,171,2023-12-06,ADOPT ORDINANCE 2023-30 MEDICAL AND COMMERCIAL USES WITH STATED AMENDMENTS: A PERMITTED USE FOR HELIPORTS AND VERTIPORTS ON ALL MEDICAL FACILITIES AND A CONDITIONAL USE ON ALL OTHER INSTANCES,,0.589,
10,medium,subject,Council,PlanningCommission,7,286,2023-12-06,RECOMMEND APPROVAL OF RESOLUTION 2023-51 EAST GENEVA LAND DONATION AND DEVELOPMENT AGREEMENT TO THE CITY COUNCIL,176,2023-12-13,"APPROVE THE TWO AGREEMENTS, LAND DONATION AND THE DEVELOPMENT AGREEMENT WITH ANDERSON GENEVA LLC WITH THE ADDITION AS NOTED BY THE OWNER",,0.657,
7,medium,subject,Council,RDA,-35,180,2023-12-13,"CONTINUE THIS ITEM TO THE NEXT MEETING ON DECEMBER 27, 2023",168,2023-11-08,"CONTINUE THE PUBLIC HEARING FOR THE HOMESTEAD POD ONE, LIVE/WORK DEVELOPMENT AGREEMENT TO THE DECEMBER 13, 2023 CITY COUNCIL MEETING",,0.668,
4,medium,subject,Council,RDA,399,69,2021-06-23,APPROVE CHAIR FULLMER TO SIGN A CONTRACT WITH FFKR AND EDSA FOR THE VINEYARD WATERFRONT PLANNING AND DESIGN SERVICES,122,2022-07-27,"ADOPT ORDINANCE 2022-13 VINEYARD WATERFRONT MASTER PLAN, AS PRESENTED",,0.67,
5,medium,subject,Council,RDA,350,76,2021-08-11,APPROVE CHAIR FULLMER TO SIGN A CONTRACT WITH FFKR AND EDSA FOR THE VINEYARD WATERFRONT PLANNING AND DESIGN SERVICES AS PRESENTED,122,2022-07-27,"ADOPT ORDINANCE 2022-13 VINEYARD WATERFRONT MASTER PLAN, AS PRESENTED",,0.67,
12,medium,subject,Council,PlanningCommission,-7,301,2025-03-19,RECOMMEND THE PARKS AND RECREATION MASTER PLAN AT 6:24PM. NATALIE,219,2025-03-12,MOVE THE PUBLIC HEARING TO THE NEXT CITY COUNCIL MEETING ON MARCH 26TH 2025 at 6:00 PM. SHE ALSO MOTIONED TO MOVE THE PARKS AND RECREATION MASTER PLAN TO THE NEXT MEETING,,0.702,
13,medium,subject,Council,PlanningCommission,70,301,2025-03-19,RECOMMEND THE PARKS AND RECREATION MASTER PLAN AT 6:24PM. NATALIE,225,2025-05-28,"ADOPT RESOLUTION 2025-23, CONSOLIDATED FEE SCHEDULE AMENDMENTS, WITH THE EXCEPTION OF REMOVING THE PARKS AND RECREATION FACILITIES MASTER PLAN IMPACT FEES AND THE GROVE PARK CONCESSIONS CONTRACT FEES",,0.702,
9,medium,subject,Council,PlanningCommission,0,285,2023-12-06,RECOMMEND APPROVAL OF RESOLUTION 2023-50 HOMESTEADS POD 1 LIVE/WORK UNITS DEVELOPMENT AGREEMENT TO THE CITY COUNCIL WITH THE CONDITIONS AS STATED: ONLY TWO (2) OFF-SITE EMPLOYEES AND FROM SECTION 2: THE SITE PLAN FOR THE PROJECT SHALL BE INFORMED BY ANALYSIS PERFORMED BY A QUALIFIED TRANSPORTATIO...,172,2023-12-06,ADOPT RESOLUTION 2023-50 HOMESTEADS POD 1 LIVE/WORK DEVELOPMENT AGREEMENT AS AMENDED,,0.811,
2,medium,subject,Council,PlanningCommission,378,234,2020-04-01,RECOMMEND APPROVAL OF THE PRELIMINARY AND FINAL YARD C PLAT WITH CONDITIONS AS RECOMMENDED BY STAFF. CONDITIONS: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT. 3. ALL CITY AND COUNTY REQUIREMENTS WILL NEED TO BE MET...,56,2021-04-14,APPROVE THE GENEVA RETAIL FRONTAGE SUBDIVISION B PRELIMINARY AND FINAL PLAT WITH THE CONDITIONS AS PROPOSED: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES. 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT. 3. ALL CITY AND COUNTY REQUIREMENTS WILL NEED TO BE MET PRI...,,0.869,
3,medium,subject,Council,PlanningCommission,7,246,2021-04-07,APPROVE THE GENEVA RETAIL FRONTAGE SUBDIVISION B PRELIMINARY PLAT,56,2021-04-14,APPROVE THE GENEVA RETAIL FRONTAGE SUBDIVISION B PRELIMINARY AND FINAL PLAT WITH THE CONDITIONS AS PROPOSED: 1. THE APPLICANT PAYS ANY OUTSTANDING FEES. 2. THE APPLICANT MAKES ANY REDLINE CORRECTIONS PRIOR TO THE RECORDATION OF THE PLAT. 3. ALL CITY AND COUNTY REQUIREMENTS WILL NEED TO BE MET PRI...,,1.0,
11,medium,subject,Council,RDA,0,181,2023-12-13,APPROVE THE REQUESTED FIRST AMENDMENT TO THE LAND DONATION DEVELOPMENT AGREEMENT AS DESCRIBED IN THE ATTACHED RESOLUTION,177,2023-12-13,APPROVE REQUESTED FIRST AMENDMENT TO THE LAND DONATION AND DEVELOPMENT AGREEMENT AS DESCRIBED IN THE ATTACHED RESOLUTION AS DISCUSSION,,1.0,
14,medium,subject,Council,RDA,147,213,2025-01-29,postpone this item to the meeting,228,2025-06-25,"POSTPONE THE PUBLIC HEARING FOR THE TRANSPORTATION MASTER PLAN AND IMPACT FEE ANALYSIS TO THE AUGUST 13, 2025, CITY COUNCIL MEETING",,1.0,
15,medium,subject,PlanningCommission,RDA,0,174,2023-12-06,ADOPT RESOLUTION U2023-10 APPROVING THE ANDERSON GENEVA EAST RDA APPLICATION AND ALLOWING THE CHAIR TO SIGN THIS RDA REIMBURSEMENT AGREEMENT WITH STIPULATIONS AS NOTED. • LAND DONATION FOR A FIRE STATION AND A CEMETERY,286,2023-12-06,RECOMMEND APPROVAL OF RESOLUTION 2023-51 EAST GENEVA LAND DONATION AND DEVELOPMENT AGREEMENT TO THE CITY COUNCIL,,1.0,
