referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,30,Council,234,PlanningCommission,subject,medium,,0.574,2020-04-01,2020-04-01,0,
2,56,Council,234,PlanningCommission,subject,medium,,0.869,2021-04-14,2020-04-01,378,
3,56,Council,246,PlanningCommission,subject,medium,,1.0,2021-04-14,2021-04-07,7,
4,122,Council,69,RDA,subject,medium,,0.67,2022-07-27,2021-06-23,399,
5,122,Council,76,RDA,subject,medium,,0.67,2022-07-27,2021-08-11,350,
6,132,Council,264,PlanningCommission,subject,medium,,0.571,2022-09-28,2022-09-07,21,
7,168,Council,180,RDA,subject,medium,,0.668,2023-11-08,2023-12-13,-35,
8,171,Council,284,PlanningCommission,subject,medium,,0.589,2023-12-06,2023-12-06,0,
9,172,Council,285,PlanningCommission,subject,medium,,0.811,2023-12-06,2023-12-06,0,
10,176,Council,286,PlanningCommission,subject,medium,,0.657,2023-12-13,2023-12-06,7,
11,177,Council,181,RDA,subject,medium,,1.0,2023-12-13,2023-12-13,0,
12,219,Council,301,PlanningCommission,subject,medium,,0.702,2025-03-12,2025-03-19,-7,
13,225,Council,301,PlanningCommission,subject,medium,,0.702,2025-05-28,2025-03-19,70,
14,228,Council,213,RDA,subject,medium,,1.0,2025-06-25,2025-01-29,147,
15,286,PlanningCommission,174,RDA,subject,medium,,1.0,2023-12-06,2023-12-06,0,
