year,election_type,office,contest,candidate,votes,pct,rank,is_winner,final_round_votes
2019,municipal general (RCV),Council,Vineyard City Council,CRISTY WELSH,347,31.6,1,Y,589
2019,municipal general (RCV),Council,Vineyard City Council,G. TYCE FLAKE,277,25.23,2,Y,660
2019,municipal general (RCV),Council,Vineyard City Council,DAVID LAURET,155,14.12,3,N,
2019,municipal general (RCV),Council,Vineyard City Council,KEITH KUDER,101,9.2,4,N,
2019,municipal general (RCV),Council,Vineyard City Council,ANTHONY JENKINS,94,8.56,5,N,
2019,municipal general (RCV),Council,Vineyard City Council,HECTOR RAFAEL HERNANDEZ,89,8.11,6,N,
2019,municipal general (RCV),Council,Vineyard City Council,TAY GUDMUNDSON,35,3.19,7,N,
2021,municipal general (RCV),Mayor,Vineyard Mayor,JULIE FULLMER,1329,86.64,1,Y,1329
2021,municipal general (RCV),Mayor,Vineyard Mayor,MARC BRIMHALL,132,8.6,2,N,
2021,municipal general (RCV),Mayor,Vineyard Mayor,MARIA GUADALUPE CANE,73,4.76,3,N,
2021,municipal general (RCV),Council,Vineyard City Council,MARDI SIFUENTES,756,50.43,1,Y,764
2021,municipal general (RCV),Council,Vineyard City Council,AMBER RASMUSSEN,324,21.61,2,Y,749
2021,municipal general (RCV),Council,Vineyard City Council,KRISTAL C. PRICE,313,20.88,3,N,
2021,municipal general (RCV),Council,Vineyard City Council,NEF PACHECO,106,7.07,4,N,
2023,municipal general (RCV),Council,Vineyard City Council,JACOB HOLDAWAY,533,29.83,1,Y,1097
2023,municipal general (RCV),Council,Vineyard City Council,SARA CAMERON,459,25.69,2,Y,907
2023,municipal general (RCV),Council,Vineyard City Council,CRISTY WELSH,291,16.28,3,N,
2023,municipal general (RCV),Council,Vineyard City Council,CADEN RHOTON,212,11.86,4,N,
2023,municipal general (RCV),Council,Vineyard City Council,NATALIE HARBIN,208,11.64,5,N,
2023,municipal general (RCV),Council,Vineyard City Council,ALEXANDER TEEMSMA,75,4.2,6,N,
2023,municipal general (RCV),Council,Vineyard City Council,JOSHUA HENDRIX,9,0.5,7,N,
2025,municipal primary,Council,Vineyard City Council,JACOB WOOD,743,16.4,1,Y,
2025,municipal primary,Council,Vineyard City Council,PARKER MCCUMBER,690,15.23,2,Y,
2025,municipal primary,Council,Vineyard City Council,EZRA NAIR,603,13.31,3,Y,
2025,municipal primary,Council,Vineyard City Council,DAVID LAURET,595,13.13,4,Y,
2025,municipal primary,Council,Vineyard City Council,CADEN RHOTON,580,12.8,5,Y,
2025,municipal primary,Council,Vineyard City Council,BRETT CLAWSON,579,12.78,6,Y,
2025,municipal primary,Council,Vineyard City Council,TERRY EWING,473,10.44,7,N,
2025,municipal primary,Council,Vineyard City Council,STEVE TERRY,267,5.89,8,N,
2025,municipal general,Mayor,Vineyard Mayor,ZACK STRATTON,1417,54.71,1,Y,
2025,municipal general,Mayor,Vineyard Mayor,MARDI SIFUENTES,1173,45.29,2,N,
2025,municipal general,Council,Vineyard City Council,PARKER MCCUMBER,1460,20.69,1,Y,
2025,municipal general,Council,Vineyard City Council,JACOB WOOD,1389,19.68,2,Y,
2025,municipal general,Council,Vineyard City Council,DAVID LAURET,1348,19.1,3,Y,
2025,municipal general,Council,Vineyard City Council,EZRA NAIR,1002,14.2,4,N,
2025,municipal general,Council,Vineyard City Council,BRETT CLAWSON,998,14.14,5,N,
2025,municipal general,Council,Vineyard City Council,CADEN RHOTON,861,12.2,6,N,
