year,election_type,office,contest,precinct,candidate,votes
2025,municipal primary,Council,Vineyard City Council,25VI01,BRETT CLAWSON,30
2025,municipal general,Council,Vineyard City Council,25VI01,BRETT CLAWSON,57
2025,municipal primary,Council,Vineyard City Council,25VI01,CADEN RHOTON,26
2025,municipal general,Council,Vineyard City Council,25VI01,CADEN RHOTON,44
2025,municipal primary,Council,Vineyard City Council,25VI01,DAVID LAURET,17
2025,municipal general,Council,Vineyard City Council,25VI01,DAVID LAURET,53
2025,municipal primary,Council,Vineyard City Council,25VI01,EZRA NAIR,31
2025,municipal general,Council,Vineyard City Council,25VI01,EZRA NAIR,56
2025,municipal primary,Council,Vineyard City Council,25VI01,JACOB WOOD,35
2025,municipal general,Council,Vineyard City Council,25VI01,JACOB WOOD,73
2025,municipal primary,Council,Vineyard City Council,25VI01,PARKER MCCUMBER,33
2025,municipal general,Council,Vineyard City Council,25VI01,PARKER MCCUMBER,68
2025,municipal primary,Council,Vineyard City Council,25VI01,STEVE TERRY,16
2025,municipal primary,Council,Vineyard City Council,25VI01,TERRY EWING,24
2025,municipal primary,Council,Vineyard City Council,25VI02,BRETT CLAWSON,86
2025,municipal general,Council,Vineyard City Council,25VI02,BRETT CLAWSON,92
2025,municipal primary,Council,Vineyard City Council,25VI02,CADEN RHOTON,34
2025,municipal general,Council,Vineyard City Council,25VI02,CADEN RHOTON,50
2025,municipal primary,Council,Vineyard City Council,25VI02,DAVID LAURET,108
2025,municipal general,Council,Vineyard City Council,25VI02,DAVID LAURET,209
2025,municipal primary,Council,Vineyard City Council,25VI02,EZRA NAIR,66
2025,municipal general,Council,Vineyard City Council,25VI02,EZRA NAIR,69
2025,municipal primary,Council,Vineyard City Council,25VI02,JACOB WOOD,142
2025,municipal general,Council,Vineyard City Council,25VI02,JACOB WOOD,213
2025,municipal primary,Council,Vineyard City Council,25VI02,PARKER MCCUMBER,136
2025,municipal general,Council,Vineyard City Council,25VI02,PARKER MCCUMBER,209
2025,municipal primary,Council,Vineyard City Council,25VI02,STEVE TERRY,26
2025,municipal primary,Council,Vineyard City Council,25VI02,TERRY EWING,91
2025,municipal primary,Council,Vineyard City Council,25VI03,BRETT CLAWSON,34
2025,municipal general,Council,Vineyard City Council,25VI03,BRETT CLAWSON,75
2025,municipal primary,Council,Vineyard City Council,25VI03,CADEN RHOTON,53
2025,municipal general,Council,Vineyard City Council,25VI03,CADEN RHOTON,100
2025,municipal primary,Council,Vineyard City Council,25VI03,DAVID LAURET,73
2025,municipal general,Council,Vineyard City Council,25VI03,DAVID LAURET,129
2025,municipal primary,Council,Vineyard City Council,25VI03,EZRA NAIR,59
2025,municipal general,Council,Vineyard City Council,25VI03,EZRA NAIR,88
2025,municipal primary,Council,Vineyard City Council,25VI03,JACOB WOOD,89
2025,municipal general,Council,Vineyard City Council,25VI03,JACOB WOOD,146
2025,municipal primary,Council,Vineyard City Council,25VI03,PARKER MCCUMBER,60
2025,municipal general,Council,Vineyard City Council,25VI03,PARKER MCCUMBER,141
2025,municipal primary,Council,Vineyard City Council,25VI03,STEVE TERRY,18
2025,municipal primary,Council,Vineyard City Council,25VI03,TERRY EWING,56
2025,municipal primary,Council,Vineyard City Council,25VI04,BRETT CLAWSON,6
2025,municipal general,Council,Vineyard City Council,25VI04,BRETT CLAWSON,17
2025,municipal primary,Council,Vineyard City Council,25VI04,CADEN RHOTON,7
2025,municipal general,Council,Vineyard City Council,25VI04,CADEN RHOTON,12
2025,municipal primary,Council,Vineyard City Council,25VI04,DAVID LAURET,9
2025,municipal general,Council,Vineyard City Council,25VI04,DAVID LAURET,13
2025,municipal primary,Council,Vineyard City Council,25VI04,EZRA NAIR,16
