member,first_seen,last_seen,n_votes
Fullmer,2020-01-08,2025-10-22,988
Welsh,2020-01-08,2023-12-27,720
Flake,2020-01-08,2023-12-27,719
Sifuentes,2022-01-12,2025-10-22,700
Rasmussen,2022-01-12,2024-09-25,523
Holdaway,2024-01-10,2026-06-09,330
Earnest,2020-01-08,2021-12-30,298
Judd,2020-01-08,2021-12-30,298
Cameron,2024-01-10,2025-10-22,280
Clawson,2024-11-20,2025-10-22,176
Lauret,2026-01-14,2026-06-09,52
Nair,2026-01-14,2026-06-09,52
Wood,2026-01-14,2026-06-09,52
McCumber,2026-01-14,2026-06-09,50
Stratton,2026-02-03,2026-02-03,2
