date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,1,APPROVE CONSENT ITEMS 6.1 THROUGH 6.3 AS NOTED,Procedural/Administrative,Carried unanimously,Flake,Judd,Earnest,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,1,APPROVE CONSENT ITEMS 6.1 THROUGH 6.3 AS NOTED,Procedural/Administrative,Carried unanimously,Flake,Judd,Flake,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,1,APPROVE CONSENT ITEMS 6.1 THROUGH 6.3 AS NOTED,Procedural/Administrative,Carried unanimously,Flake,Judd,Fullmer,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,1,APPROVE CONSENT ITEMS 6.1 THROUGH 6.3 AS NOTED,Procedural/Administrative,Carried unanimously,Flake,Judd,Judd,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,1,APPROVE CONSENT ITEMS 6.1 THROUGH 6.3 AS NOTED,Procedural/Administrative,Carried unanimously,Flake,Judd,Welsh,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,2,APPOINT LINDSAY BEEKMAN AS AN ALTERNATE ON THE BICYCLE ADVISORY COMMISSION,Appointment,Carried unanimously,Judd,Flake,Earnest,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,2,APPOINT LINDSAY BEEKMAN AS AN ALTERNATE ON THE BICYCLE ADVISORY COMMISSION,Appointment,Carried unanimously,Judd,Flake,Flake,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,2,APPOINT LINDSAY BEEKMAN AS AN ALTERNATE ON THE BICYCLE ADVISORY COMMISSION,Appointment,Carried unanimously,Judd,Flake,Fullmer,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,2,APPOINT LINDSAY BEEKMAN AS AN ALTERNATE ON THE BICYCLE ADVISORY COMMISSION,Appointment,Carried unanimously,Judd,Flake,Judd,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,2,APPOINT LINDSAY BEEKMAN AS AN ALTERNATE ON THE BICYCLE ADVISORY COMMISSION,Appointment,Carried unanimously,Judd,Flake,Welsh,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,3,"POSTPONE ITEM 8.1, SHARED MAINTENANCE AGREEMENT",Procedural/Administrative,Carried unanimously,Judd,Welsh,Earnest,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,3,"POSTPONE ITEM 8.1, SHARED MAINTENANCE AGREEMENT",Procedural/Administrative,Carried unanimously,Judd,Welsh,Flake,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,3,"POSTPONE ITEM 8.1, SHARED MAINTENANCE AGREEMENT",Procedural/Administrative,Carried unanimously,Judd,Welsh,Fullmer,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,3,"POSTPONE ITEM 8.1, SHARED MAINTENANCE AGREEMENT",Procedural/Administrative,Carried unanimously,Judd,Welsh,Judd,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,3,"POSTPONE ITEM 8.1, SHARED MAINTENANCE AGREEMENT",Procedural/Administrative,Carried unanimously,Judd,Welsh,Welsh,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,4,"APPROVE THE INTERLOCAL AGREEMENT WITH UDOT, RESOLUTION 2020-13",Interlocal,Carried unanimously,Flake,Welsh,Earnest,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,4,"APPROVE THE INTERLOCAL AGREEMENT WITH UDOT, RESOLUTION 2020-13",Interlocal,Carried unanimously,Flake,Welsh,Flake,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,4,"APPROVE THE INTERLOCAL AGREEMENT WITH UDOT, RESOLUTION 2020-13",Interlocal,Carried unanimously,Flake,Welsh,Fullmer,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,4,"APPROVE THE INTERLOCAL AGREEMENT WITH UDOT, RESOLUTION 2020-13",Interlocal,Carried unanimously,Flake,Welsh,Judd,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,4,"APPROVE THE INTERLOCAL AGREEMENT WITH UDOT, RESOLUTION 2020-13",Interlocal,Carried unanimously,Flake,Welsh,Welsh,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,5,"APPROVE RESOLUTION 2020-14 TO ENTER INTO AN INTERLOCAL AGREEMENT WITH SALEM CITY, AS PRESENTED TONIGHT IN CITY COUNCIL MEETING, FOR THE PURPOSE OF PROVIDING BUILDING INSPECTION SERVICES",Interlocal,Carried unanimously,Judd,Earnest,Earnest,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,5,"APPROVE RESOLUTION 2020-14 TO ENTER INTO AN INTERLOCAL AGREEMENT WITH SALEM CITY, AS PRESENTED TONIGHT IN CITY COUNCIL MEETING, FOR THE PURPOSE OF PROVIDING BUILDING INSPECTION SERVICES",Interlocal,Carried unanimously,Judd,Earnest,Flake,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
2020-08-12,2020,City Council Meeting - Regular Agenda,Council,5,"APPROVE RESOLUTION 2020-14 TO ENTER INTO AN INTERLOCAL AGREEMENT WITH SALEM CITY, AS PRESENTED TONIGHT IN CITY COUNCIL MEETING, FOR THE PURPOSE OF PROVIDING BUILDING INSPECTION SERVICES",Interlocal,Carried unanimously,Judd,Earnest,Fullmer,Aye,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-meeting-regular.md,minutes
