city,candidate,election_year,office,seat,regime,regime_basis,raised_gross,spent_gross,carryover_opening,carryover_basis,raised_net_of_carryover,ending_balance,chain_closes,n_filings,n_live,n_governing,chain_len,is_floor,in_kind_basis,confidence,governing_filings,excluded_filings,gap_reason,itemized_check_raised,itemized_check_spent,itemized_check_note,review_flag
washington_county,Alan Dean Gardner,2008,Commission Seat C,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,no-stated-total: no live filing prints a parseable total-contributions figure,,,,
washington_county,Gregory Aldred,2008,Commission Seat C,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,no-stated-total: no live filing prints a parseable total-contributions figure,,,,
washington_county,Lin Alder,2008,Commission Seat C,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,no-stated-total: no live filing prints a parseable total-contributions figure,,,,
washington_county,Arthur Partridge,2010,Assessor,,undetermined,none,,,,,,,,3,3,0,3,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Brock Belnap,2010,Attorney,,undetermined,none,,,,,,,,3,3,0,3,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Brock R. Belnap,2010,Attorney,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,neither-basis: the filer's own arithmetic closes on neither the per-period nor the cumulative reading,,,,
washington_county,Kim Hafen,2010,Clerk/Auditor,,undetermined,none,,,,,,,,3,3,0,3,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Kim M Hafen,2010,Clerk/Auditor,,undetermined,single-filing,0.00,500.00,0.00,governing-report-bb,,-500.00,,1,1,1,0,1,unknown,C,raw/state_disclosures/washington_2010 Elections_kim hafen 4-7-10.pdf,,,,500.00,latest-ledger,
washington_county,Arlin Hughes,2010,Commission Seat A,,cumulative-single,single-filing,0.00,225.00,,,,-225.00,,1,1,1,0,,unknown,B,raw/wayback_2010elections/County Candidate Summary - Arlin Hughes.pdf,,,,,no itemized layer,
washington_county,Arlin S. Hughes,2010,Commission Seat A,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,mixed-county-no-evidence: this county's regime varies per filer and the cycle's own arithmetic is silent (a required printed figure is blank on every live filing),,,,
washington_county,Greg Aldred,2010,Commission Seat A,,undetermined,none,,,,,,,,3,3,0,2,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,James Eardley,2010,Commission Seat A,,undetermined,none,,,,,,,,3,3,0,2,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Dennis Bruce Drake,2010,Commission Seat B,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,neither-basis: the filer's own arithmetic closes on neither the per-period nor the cumulative reading,,,,
washington_county,Denny Drake,2010,Commission Seat B,,undetermined,none,,,,,,,,3,3,0,1,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Slade Rudy Hughes,2010,Commission Seat B,,cumulative,filing-arithmetic,0.00,225.00,,,,,,2,2,1,1,,unknown,B,raw/state_disclosures/washington_2010 Elections_Slade Hughes 4-6-10.pdf,raw/wayback_2010elections/County Candidate Summary - Slade Hughes.pdf=duplicate-restatement,,,225.00,latest-ledger,
washington_county,Russell Baird Shirts,2010,Recorder,,undetermined,none,,,,,,,,1,1,0,0,,unknown,,,,neither-basis: the filer's own arithmetic closes on neither the per-period nor the cumulative reading,,,,
washington_county,Russell Shirts,2010,Recorder,,undetermined,none,,,,,,,,3,3,0,3,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Cory Clarke Pulsipher,2010,Sheriff,,cumulative-single,single-filing,5300.00,2493.77,,,,2806.23,,1,1,1,0,,unknown,B,raw/state_disclosures/washington_2010 Elections_Cory Pulsipher 4-6-10.pdf,,,5300.00,2493.77,latest-ledger,
washington_county,Cory Pulsipher,2010,Sheriff,,cumulative,filing-arithmetic,18260.00,18194.05,,,,3072.18,,2,2,1,2,,unknown,B,raw/wayback_2010elections/6-15-2010 County Candidate Summary - Cory Pulsipher.pdf,raw/wayback_2010elections/County Candidate Summary - Cory Pulsipher.pdf=duplicate-restatement,,,,no itemized layer,
washington_county,Kevin E Brooks,2010,Sheriff,,cumulative,filing-arithmetic,2634.05,2318.49,0.00,chain-first-bb,,316.56,,3,3,1,2,,unknown,B,raw/wayback_financialreports/County Candidate Summary - Kevin Brooks_04-05-2011.pdf,raw/wayback_2010elections/6-15-2010 County Candidate Summary - Kevin Brooks.pdf=duplicate-restatement;raw/wayback_2010elections/County Candidate Summary - Kevin Brooks.pdf=duplicate-restatement,,,,no itemized layer,
washington_county,Kevin Edward Brooks,2010,Sheriff,,undetermined,none,,,,,,,,2,2,0,1,,unknown,,,,"chain-broken: 1 of 2 live filings close on their own arithmetic, but their balances do not link into a chain (longest chain 1), so the periods cannot be proved disjoint and are never summed",,,,
washington_county,Rob Tersigni,2010,Sheriff,,undetermined,none,,,,,,,,3,3,0,2,,unknown,,,,regime-conflict: period-only and cumulative-only filings coexist and no chain resolves them,,,,
washington_county,Steven Despain,2010,Sheriff,,cumulative-single,single-filing,900.00,80.00,,,,820.00,,1,1,1,0,,unknown,B,raw/wayback_2010elections/County Candidate Summary - Steven Despain.pdf,,,,,no itemized layer,
washington_county,Steven W. Despain,2010,Sheriff,,cumulative-single,single-filing,900.00,80.00,,,,820.00,,1,1,1,0,,unknown,B,raw/state_disclosures/washington_2010 Elections_Steven Despain 4-9-10.pdf,,,850.00,80.00,latest-ledger,
