All Expeditures for                                                        Position
                      GREG ALDRED                      COUNTY COMMISSION SEAT C
Recipient                     Received      Amount     In Kind Description

Washington County Clerk        03/09/2012    $225.00            Filing Fee

Washington UT Post Office      03/09/2012     $45.00            Stamps

Staples                        03/10/2012     $13.60            Brochures

Discount Copies                02/17/2012    $217.82            Letters

Discount Copies                02/19/2012    $228.43            Brochures

Discount Copies                03/09/2012    $282.63            Brochures

Discount Copies                03/15/2012     $40.37            Brochures

Wal Mart                       03/19/2012     $11.62            Envelopes

Red Rocks PO                   03/19/2012     $48.60            Stamps

Red Rocks PO                   03/19/2012     $48.60            Stamps

Red Rocks PO                   03/19/2012     $40.50            Stamps

Little Cesars                  03/20/2012     $32.12            Envelope mail out party

Red Rocks PO                   03/20/2012     $48.60            Stamps

Red Rocks PO                   03/20/2012     $24.30            Stamps

Discount Copies                03/20/2012     $29.65            B&W Letters

Costco                         03/25/2012     $44.75            Stamps

Wal Mart                       03/26/2012     $65.61            Ice cream social

Dr Don's Buttons               03/28/2012     $96.68            500 Campaign Stickers

