meeting_date,motion_no,person,vote_value
2015-01-06,1,Bell,Aye
2015-01-06,1,Ebert,Aye
2015-01-06,1,Gibson,Aye
2015-01-06,2,Bell,Aye
2015-01-06,2,Ebert,Aye
2015-01-06,2,Gibson,Aye
2015-01-06,3,Bell,Aye
2015-01-06,3,Ebert,Aye
2015-01-06,3,Gibson,Aye
2015-01-06,4,Bell,Aye
2015-01-06,4,Ebert,Aye
2015-01-06,4,Gibson,Aye
2015-01-06,5,Bell,Aye
2015-01-06,5,Ebert,Aye
2015-01-06,5,Gibson,Aye
2015-01-06,6,Bell,Aye
2015-01-06,6,Ebert,Aye
2015-01-06,6,Gibson,Aye
2015-01-06,7,Bell,Aye
2015-01-06,7,Ebert,Aye
2015-01-06,7,Gibson,Aye
2015-01-06,8,Bell,Aye
2015-01-06,8,Ebert,Aye
2015-01-06,8,Gibson,Aye
2015-01-06,9,Bell,Aye
2015-01-06,9,Ebert,Aye
2015-01-06,9,Gibson,Aye
2015-01-06,10,Gibson,Aye
2015-01-06,10,Ebert,Aye
2015-01-06,10,Gibson,Aye
2015-01-06,11,Bell,Aye
2015-01-06,11,Ebert,Aye
2015-01-06,11,Gibson,Aye
2015-01-13,1,Bell,Aye
2015-01-13,1,Ebert,Aye
2015-01-13,1,Gibson,Aye
2015-01-13,2,Bell,Aye
2015-01-13,2,Ebert,Aye
2015-01-13,2,Gibson,Aye
2015-01-13,3,Bell,Aye
2015-01-13,3,Ebert,Aye
2015-01-13,3,Gibson,Aye
2015-01-13,4,Bell,Aye
2015-01-13,4,Ebert,Aye
2015-01-13,4,Gibson,Aye
2015-01-13,5,Bell,Aye
2015-01-13,5,Ebert,Aye
2015-01-13,5,Gibson,Aye
2015-01-13,6,Bell,Aye
2015-01-13,6,Ebert,Aye
2015-01-13,6,Gibson,Aye
2015-01-13,7,Bell,Aye
2015-01-13,7,Ebert,Aye
2015-01-13,7,Gibson,Aye
2015-01-13,8,Bell,Aye
2015-01-13,8,Ebert,Aye
2015-01-13,8,Gibson,Aye
2015-01-13,9,Bell,Aye
2015-01-13,9,Ebert,Aye
2015-01-13,9,Gibson,Aye
2015-01-20,1,Bell,Aye
2015-01-20,1,Ebert,Aye
2015-01-20,1,Gibson,Aye
2015-01-20,2,Bell,Aye
2015-01-20,2,Ebert,Aye
2015-01-20,2,Gibson,Aye
2015-01-20,3,Bell,Aye
2015-01-20,3,Ebert,Aye
2015-01-20,3,Gibson,Aye
2015-01-20,4,Bell,Aye
2015-01-20,4,Ebert,Aye
2015-01-20,4,Gibson,Aye
2015-01-20,5,Bell,Aye
2015-01-20,5,Ebert,Aye
2015-01-20,5,Gibson,Aye
2015-01-20,6,Bell,Aye
2015-01-20,6,Ebert,Aye
2015-01-20,6,Gibson,Aye
2015-01-20,7,Bell,Aye
2015-01-20,7,Ebert,Aye
2015-01-20,7,Gibson,Aye
2015-01-20,8,Bell,Aye
2015-01-20,8,Ebert,Aye
2015-01-20,8,Gibson,Aye
2015-01-20,9,Bell,Aye
2015-01-20,9,Ebert,Aye
2015-01-20,9,Gibson,Aye
2015-01-20,10,Bell,Aye
2015-01-20,10,Ebert,Aye
2015-01-20,10,Gibson,Aye
2015-01-20,11,Bell,Aye
2015-01-20,11,Ebert,Aye
2015-01-20,11,Gibson,Aye
2015-01-20,12,Bell,Aye
2015-01-20,12,Ebert,Aye
2015-01-20,12,Gibson,Aye
2015-01-20,13,Bell,Aye
2015-01-20,13,Ebert,Aye
2015-01-20,13,Gibson,Aye
2015-01-20,14,Bell,Aye
2015-01-20,14,Ebert,Aye
2015-01-20,14,Gibson,Aye
2015-01-20,15,Bell,Aye
2015-01-20,15,Ebert,Aye
2015-01-20,15,Gibson,Aye
2015-01-20,16,Bell,Aye
2015-01-20,16,Ebert,Aye
2015-01-20,16,Gibson,Aye
2015-01-20,17,Bell,Aye
2015-01-20,17,Ebert,Aye
2015-01-20,17,Gibson,Aye
2015-01-27,1,Bell,Aye
2015-01-27,1,Ebert,Aye
2015-01-27,1,Gibson,Aye
2015-01-27,2,Bell,Aye
2015-01-27,2,Ebert,Aye
2015-01-27,2,Gibson,Aye
2015-01-27,3,Bell,Aye
2015-01-27,3,Ebert,Aye
2015-01-27,3,Gibson,Aye
2015-01-27,4,Bell,Aye
2015-01-27,4,Ebert,Aye
2015-01-27,4,Gibson,Aye
2015-01-27,5,Bell,Aye
2015-01-27,5,Ebert,Aye
2015-01-27,5,Gibson,Aye
2015-01-27,6,Bell,Aye
2015-01-27,6,Ebert,Aye
2015-01-27,6,Gibson,Aye
2015-02-03,1,Ebert,Aye
2015-02-03,1,Gibson,Aye
2015-02-03,2,Bell,Aye
2015-02-03,2,Ebert,Aye
2015-02-03,2,Gibson,Aye
2015-02-03,3,Bell,Aye
2015-02-03,3,Ebert,Aye
2015-02-03,3,Gibson,Aye
2015-02-03,4,Bell,Aye
2015-02-03,4,Ebert,Aye
2015-02-03,4,Gibson,Aye
2015-02-03,5,Bell,Aye
2015-02-03,5,Ebert,Aye
2015-02-03,5,Gibson,Aye
2015-02-03,6,Bell,Aye
2015-02-03,6,Ebert,Aye
2015-02-03,6,Gibson,Aye
2015-02-03,7,Bell,Aye
2015-02-03,7,Ebert,Aye
2015-02-03,7,Gibson,Aye
2015-02-03,8,Bell,Aye
2015-02-03,8,Ebert,Aye
2015-02-03,8,Gibson,Aye
2015-02-17,1,Bell,Aye
2015-02-17,1,Ebert,Aye
2015-02-17,1,Gibson,Aye
2015-02-17,2,Bell,Aye
2015-02-17,2,Ebert,Aye
2015-02-17,2,Gibson,Aye
2015-02-17,3,Ebert,Aye
2015-02-17,3,Gibson,Aye
2015-02-17,4,Bell,Aye
2015-02-17,4,Ebert,Aye
2015-02-17,4,Gibson,Aye
2015-02-17,5,Bell,Aye
2015-02-17,5,Ebert,Aye
2015-02-17,5,Gibson,Aye
2015-02-17,6,Bell,Aye
2015-02-17,6,Ebert,Aye
2015-02-17,6,Gibson,Aye
2015-02-17,7,Bell,Aye
2015-02-17,7,Ebert,Aye
2015-02-17,7,Gibson,Aye
2015-02-17,8,Bell,Aye
2015-02-17,8,Ebert,Aye
2015-02-17,8,Gibson,Aye
2015-02-17,9,Bell,Aye
2015-02-17,9,Ebert,Aye
2015-02-17,9,Gibson,Aye
2015-02-17,10,Bell,Aye
2015-02-17,10,Ebert,Aye
2015-02-17,10,Gibson,Aye
2015-02-17,11,Bell,Aye
2015-02-17,11,Ebert,Aye
2015-02-17,11,Gibson,Aye
2015-02-17,12,Bell,Aye
2015-02-17,12,Ebert,Aye
2015-02-17,12,Gibson,Aye
2015-02-17,13,Bell,Aye
2015-02-17,13,Ebert,Aye
2015-02-17,13,Gibson,Aye
2015-02-17,14,Bell,Aye
2015-02-17,14,Ebert,Aye
2015-02-17,14,Gibson,Aye
2015-03-03,1,Bell,Aye
2015-03-03,1,Ebert,Aye
2015-03-03,1,Gibson,Aye
2015-03-03,2,Bell,Aye
2015-03-03,2,Ebert,Aye
2015-03-03,2,Gibson,Aye
2015-03-03,3,Bell,Aye
2015-03-03,3,Ebert,Aye
2015-03-03,3,Gibson,Aye
2015-03-03,4,Bell,Aye
2015-03-03,4,Ebert,Aye
2015-03-03,4,Gibson,Aye
2015-03-10,1,Ebert,Aye
2015-03-10,1,Bell,Aye
2015-03-10,2,Ebert,Aye
2015-03-10,2,Bell,Aye
2015-03-10,3,Ebert,Aye
2015-03-10,3,Bell,Aye
2015-03-10,4,Ebert,Aye
2015-03-10,4,Bell,Aye
2015-03-10,5,Ebert,Aye
2015-03-10,5,Bell,Aye
2015-03-10,6,Ebert,Aye
2015-03-10,6,Bell,Aye
2015-03-10,7,Ebert,Aye
2015-03-10,7,Bell,Aye
2015-03-10,8,Ebert,Aye
2015-03-10,8,Bell,Aye
2015-03-10,9,Ebert,Aye
2015-03-10,9,Bell,Aye
2015-03-10,10,Bell,Aye
2015-03-10,10,Ebert,Aye
2015-03-10,10,Gibson,Aye
2015-03-24,1,Bell,Aye
2015-03-24,1,Ebert,Aye
2015-03-24,1,Gibson,Aye
2015-03-24,2,Bell,Aye
2015-03-24,2,Ebert,Aye
2015-03-24,2,Gibson,Aye
2015-03-24,3,Bell,Aye
2015-03-24,3,Ebert,Aye
2015-03-24,3,Gibson,Aye
2015-03-24,4,Bell,Aye
2015-03-24,4,Ebert,Aye
2015-03-24,4,Gibson,Aye
2015-03-24,5,Bell,Aye
2015-03-24,5,Ebert,Aye
2015-03-24,5,Gibson,Aye
2015-03-24,6,Bell,Aye
2015-03-24,6,Ebert,Aye
2015-03-24,6,Gibson,Aye
2015-03-24,7,Bell,Aye
2015-03-24,7,Ebert,Aye
2015-03-24,7,Gibson,Aye
